"Model","Shapiro_W","Shapiro_p","Shapiro_expl","BreuschPagan_stat","BreuschPagan_p","BreuschPagan_expl","CV10_RMSE","CV10_expl","AIC","AIC_expl","BIC","BIC_expl"
"OLS",0.989692639200657,0.054410611783249,"Shapiro–Wilk: p > 0.05 desirable.",0.0351944944495204,0.851188691645727,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.829368800202076,"10-fold CV RMSE (log-space).",661.700465220814,"Not used for ranking.",672.473426162346,"Not used for ranking."
"WLS",0.989647448886983,0.0532933355060179,"Shapiro–Wilk: p > 0.05 desirable.",253.035357905406,5.65874234667479e-57,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",661.726819498081,"Not used for ranking.",672.499780439613,"Not used for ranking."
"OLS_weighted",0.988176167561384,0.0271803168567596,"Shapiro–Wilk: p > 0.05 desirable.",17736.6310744969,0,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",788.726977570257,"Not used for ranking.",799.499938511789,"Not used for ranking."
"WLS_weighted",0.98961898971789,0.052601554461371,"Shapiro–Wilk: p > 0.05 desirable.",44.1851214125448,2.98743354291733e-11,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",NA,"10-fold CV RMSE (log-space).",661.816062941063,"Not used for ranking.",672.589023882596,"Not used for ranking."
"Bayes",0.993557652029201,0.306303078975493,"Shapiro–Wilk: p > 0.05 desirable.",28.7026719441949,6.92460964448501e-05,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.73294668717106,"10-fold CV RMSE (log-space).",578.463608938088,"Not used for ranking.",607.191504782175,"Not used for ranking."
"RF",0.992133230659851,0.165352842651626,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.656891235581288,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
"PLS_LOO",0.98942759135814,0.0481775670440428,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.762985283258762,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
"PLS_kfold",0.98942759135814,0.0481775670440428,"Shapiro–Wilk: p > 0.05 desirable.",NA,NA,"Breusch–Pagan: p < 0.05 indicates heteroscedasticity.",0.762985283258762,"10-fold CV RMSE (log-space).",NA,"Not used for ranking.",NA,"Not used for ranking."
