"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit2","K_lwr2","K_upr2"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-8.39496670917362,-10.697560651686,7.48560726800855,6.25557599090682,7.24089679502064,4.85117023839083,9.63062335165045
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-8.37602788638916,-10.6800163420351,7.19403248256761,6.25903051977997,7.25211651633917,4.87035171185587,9.63388132082247
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.36187890312968,-10.6627745356006,7.34292552813836,6.37991334620736,7.26049864499197,4.88468180711806,9.63631548286588
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-8.18875312649229,-10.4904745372677,8.51167617120909,7.22530484583096,7.36306167063675,5.06001146641823,9.66611187485528
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-7.29016130310354,-9.59306599311486,9.70852820561717,8.28918792007013,7.8954046759158,5.96959450971582,9.82121484211579
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-8.20778754375304,-10.5086238557734,9.28808227205149,7.69169163362017,7.35178531731973,5.04073587833455,9.6628347563049
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.97366032888239,-10.2774539935849,11.1074916836214,9.47327168717847,7.49048676322409,5.27780859380133,9.70316493264685
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-8.39939682251541,-10.7019952487539,7.8159441609251,6.44958660815693,7.23827231103502,4.84668332765975,9.6298612944103
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-8.91384227511996,-11.2128208725199,10.0604577084739,8.19178565524037,6.93350497266902,4.32555455544541,9.54145538989263
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-7.33904139858332,-9.64112328806864,6.76619014300013,6.00050036388099,7.86644717124154,5.92014010690915,9.81275423557393
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-7.4600871590999,-9.76198799026243,8.95758858231473,7.60610726799621,7.79473734454105,5.79765868007471,9.79181600900739
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-7.7589303125675,-10.0613116377297,7.58747244830713,6.59085933024035,7.61769693722456,5.49519657176968,9.74019730267944
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-8.10310867073715,-10.404362845449,9.57217944611186,8.20625808685403,7.41379908641942,5.14673741873979,9.68086075409904
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-9.31237309754133,-11.6149581905354,8.03772748025162,6.89014412222533,6.69740768112673,3.92174332556679,9.47307203668667
