"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,42,15.8113883008419,1557.061769,23.70865277,5556.71197671623,-5375.65109114409,16489.0750445765
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,43.0833333333333,12.12404322998,1397.543318,16.95048652,5582.14788114475,-5350.12419631361,16514.4199586031
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,56.5,15.8200103436353,2547.021617,33.02866289,5897.16177445179,-5034.00786072587,16828.3314096295
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,125.083333333333,20.7822403785423,6361.863436,96.22229039,7507.45018558033,-3418.79088360391,18433.6912547646
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,217.7,27.9087799805008,8442.247188,102.4072847,9682.02435341541,-1239.43969668698,20603.4884035178
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,171.727272727273,21.74898116736,8467.75867,27.42631931,8602.617063667,-2320.94819182171,19526.1823191557
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,248,30.2397824801113,10818.31417,94.24288942,10393.4470342008,-526.923278135384,21313.8173465369
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,201.454545454545,15.5843744588202,6975.196896,67.76762951,9300.59251106214,-1621.55321825121,20222.7382403755
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,175,17.3723918905832,7326.374157,349.9533771,8679.45839732517,-2243.93967718436,19602.8564718347
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,270.909090909091,43.279220292086,5816.665099,70.73844961,10931.336369808,11.6393925484754,21851.0333470676
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,387.833333333333,65.1513389708682,9084.977882,46.04204392,13676.6353135127,2758.31376412172,24594.9568629036
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,238.5,43.0591559263638,6626.492173,12.55357407,10170.393718443,-750.294616125193,21091.0820530111
