"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Ln_C_org","Ln_C_org_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Isla Hermite","HER42PB","HER42PB1A",2,1.2,1.8,1.8,1.2,0.6,-66,-53,-62,-62,7,0.4077,0.14201,16465.7142857143,45928.4285714286,1.31571428571429,84.5714285714286,382.857142857143,107.142857142857,121,7042.28571428571,21.1428571428571,148.142857142857,782.285714285714,656.285714285714,27205,4835.28571428571,5.62980939142857,1.72784275891078,0.177709285285714,-1.72784275791464,32040.2857142857,364.497240175064,1711.69203393824,0.0965845299650593,28.3951706155416,38.9719068536494,17.3150086286298,24.9666444147653,1062.29840664566,37.2667348155097,76.8926276731144,135.622901563753,84.5787882898037,725.897146065933,196.684785283216,0.130214732111664,0.0233986143240341,0.00420704242919463,0.0233986130676846,894.189523961171,77.68,22.32,1.12,35.3,1.77,20.48,1.77,3.01944880017131,0.26095822149918,4.7687,0.3195,0.9029,0.2594,0.0304,0.1058,0.0492,46.5
"Isla Hermite","HER42PB","HER42PB1A",3,2.5,3.1,3.1,2.5,0.6,-65,-42,-60,-58,12,0.4116,0.01546,19219.7142857143,52847.5714285714,1.32857142857143,69.2857142857143,441.857142857143,148.142857142857,119.714285714286,7603.42857142857,22.8571428571429,123.428571428571,675.571428571429,680.142857142857,31968.4285714286,5356.71428571429,5.96938572485714,1.78643536995883,0.167590926857143,-1.78643536997776,37325.1428571429,294.422437033205,1304.46500619256,0.0448807944925857,19.7206683939658,38.5375512603338,78.9418109990487,33.7328439640769,1362.89102733159,26.4476121885548,84.2711044642174,102.469275302172,148.344675863824,671.75860176675,121.7096466811,0.132506991081902,0.0219988752885902,0.00365304735119984,0.0219988749197825,740.467966575064,79.48,20.52,1.03,41.92,2.1,24.32,2.1,3.19129905709797,0.275564474502703,5.0921,0.3895,0.9496,0.2452,0.031,0.1009,0.0166,16.4
"Isla Hermite","HER42PB","HER42PB1A",4,3.9,4.5,4.5,3.9,0.6,-65,-30,-57,-55,17,0.4092,-0.06608,18864.1428571429,52131.5714285714,1.43,100.428571428571,482.428571428571,148.857142857143,151.714285714286,8591.71428571429,0.357142857142857,108.571428571429,722,673.142857142857,30640.4285714286,5152.85714285714,5.95252932485714,1.78324592304474,0.168188108285714,-1.78324592356714,35793.2857142857,612.257959951367,2292.62614026963,0.124096736459909,13.327379623131,61.1633254569467,30.1298775936698,23.8447358670929,1092.07260355188,0.944911182523068,98.7519740610403,76.887363504458,125.2217081439,899.513360497934,230.310969901876,0.216495732238084,0.0365347171239457,0.0061716285660841,0.036534716465496,1049.77659754917,77.27,22.73,1.14,37.42,1.87,21.7,1.87,3.07731226054641,0.26518773858165,5.8875,0.5299,0.8513,0.2505,0.0351,0.1025,-0.0022,-2.1
"Isla Hermite","HER42PB","HER42PB1A",5,5.3,5.9,5.9,5.3,0.6,-64,-19,-55,-51,23,0.4081,-0.1335,18524.2857142857,52431.2857142857,1.43285714285714,76,482.285714285714,157,154.142857142857,10177.8571428571,0.357142857142857,156.857142857143,1007.57142857143,652.142857142857,28922.4285714286,5319.57142857143,5.43927447285714,1.69323286622107,0.183999063857143,-1.69323286598909,34242,485.12600228728,2026.48692028723,0.0778276484107213,16.5931712862049,79.199567098384,47.7493455452533,37.4629976173316,1422.47582622359,0.944911182523068,76.3662852560574,162.161295364479,62.6483002467707,935.464743170092,176.31303330805,0.169749114617209,0.0309511574357615,0.00564737550521574,0.0309511580912661,1043.88441250297,71.58,28.42,1.42,22.91,1.15,13.29,1.15,2.58701187272515,0.223857310280958,5.7703,0.5741,0.9087,0.3608,0.0539,0.1472,-0.0262,-17.8
"Isla Hermite","HER42PB","HER42PB1A",6,6.7,7.3,7.3,6.7,0.6,-64,-8,-52,-48,28,0.4103,-0.20377,19571.4285714286,57552.8571428571,1.34571428571429,66,413.571428571429,111.285714285714,125.142857142857,13753.2857142857,2.42857142857143,132.714285714286,936.714285714286,678.285714285714,30147.7142857143,5354.71428571429,5.63069368314286,1.72800203733693,0.17768016,-1.72800203707643,35502.4285714286,343.504418769666,3006.03234782836,0.0591205386920493,8.64098759787715,63.7778883910329,31.4150403772582,30.7648531684484,3598.93293048026,6.42539604115686,45.0396650583841,147.534983744776,49.3515088783659,742.065072233272,93.196413174389,0.130269677209677,0.0232279257481684,0.0041436426607364,0.0232279266512385,787.290047598481,69.69,30.31,1.52,28.64,1.43,16.61,1.43,2.8100049236252,0.241920953689587,5.4259,0.586,0.8766,0.3812,0.0602,0.1564,-0.053,-33.9
"Isla Hermite","HER42PB","HER42PB1A",8,9.5,10.1,10.1,9.5,0.6,-62,15,-46,-40,39,0.0853,-0.07685,19921.2857142857,57765.7142857143,1.36428571428571,77.7142857142857,426.285714285714,121.571428571429,112.142857142857,14440.2857142857,6,145.714285714286,913.142857142857,635.714285714286,30389,5449.85714285714,5.57412812657143,1.71743125330453,0.179655665714286,-1.71743125317685,35838.8571428571,888.425144902618,3707.86747849694,0.0519156825558336,35.0699980311485,87.0913587097179,24.6431676999065,25.5501374518714,4950.75313173951,13.0511813003013,56.9318724023556,170.972150335884,135.702756402507,2367.38139442437,327.50339874645,0.223907011486292,0.0407420182830926,0.00742281443722285,0.0407420188048188,2654.92199688123,68.61,31.39,1.57,31.04,1.55,18,1.55,2.89037175789616,0.248893123596614,5.6544,0.7294,0.8022,0.367,0.0657,0.0313,-0.0226,-72.2
"Isla Hermite","HER42PB","HER42PB1A",9,10.9,11.5,11.5,10.9,0.6,-56,33,-29,-24,45,0.0853,-0.15703,20444,62930.4285714286,1.41428571428571,107.142857142857,637,291.142857142857,157.857142857143,19232.2857142857,0.357142857142857,155.428571428571,919.285714285714,781.285714285714,30279.8571428571,5440.42857142857,5.56645999028571,1.71644754488185,0.179760078571429,-1.71644754430853,35720.2857142857,222.754723107427,2539.29175540103,0.0832380407540412,20.2272800233461,75.2750512011339,115.148351517262,50.8901711906093,3407.73236988498,0.944911182523068,54.8903669230985,150.554214250453,236.203100661073,923.956245098837,122.84388079029,0.149270687471833,0.0270488519798273,0.00490355952275918,0.0270488512007714,994.009174049837,75.75,24.25,1.21,32.46,1.62,18.83,1.63,2.93545134266906,0.254104391319733,5.7703,0.805,0.9124,0.2921,0.0554,0.0249,-0.0412,-165.1
"Isla Hermite","HER42PB","HER42PB1A",10,12.3,12.9,12.9,12.3,0.6,-53,66,-14,-8,60,0.0853,-0.65065,20683.2857142857,62784.8571428571,1.39428571428571,108.428571428571,575.714285714286,211.571428571429,140.285714285714,19096.7142857143,0.857142857142857,178.857142857143,869.714285714286,662.571428571429,30766.5714285714,5476,5.62343960285714,1.72574216842083,0.178254514714286,-1.72574216747744,36242.5714285714,1002.71260659701,7135.27484704389,0.0953689577128643,26.51953457898,90.5809293499728,89.8254921924676,49.3582626845607,6560.66426297129,2.26778683805536,82.1491094928983,105.649916052521,156.289109391172,1146.89637095698,140.423169977987,0.297903317981328,0.0529295055777739,0.0094187936526956,0.052929505414993,1101.72544328474,72.33,27.67,1.38,38.04,1.9,22.07,1.9,3.09421922026864,0.266380449411437,5.3969,0.8095,0.9458,0.3618,0.0724,0.0309,-0.2293,-742.8
"Isla Hermite","HER42PB","HER42PB1A",11,13.6,14.2,14.2,13.6,0.6,-50,107,0,8,78,0.0853,0.88905,19344.4285714286,54893.7142857143,1.43714285714286,102.714285714286,493.142857142857,181,117.142857142857,12046.8571428571,0.357142857142857,172.285714285714,1008.71428571429,676.857142857143,30094.7142857143,5501.57142857143,5.47238158685714,1.69944165013425,0.182834907571429,-1.69944164986229,35596.2857142857,231.149920428898,2999.97720626261,0.0745462464322843,41.5159177734448,164.148742071968,77.6316086827181,47.2984445531019,3432.65186255813,0.944911182523068,64.5541485517244,126.049876749529,121.969160817299,769.880881324229,170.222263666123,0.13851402861819,0.0251520804038471,0.00456955844748494,0.0251520800649765,885.76101259232,68.58,31.42,1.57,23.17,1.16,13.44,1.16,2.598235335095,0.224252454517128,5.1832,0.8241,0.8701,0.3987,0.0833,0.034,0.3616,1063.2
"Isla Hermite","HER42PB","HER42PB1A",12,14.9,15.5,15.5,14.9,0.6,-48,149,14,23,99,0.0859,0.36456,18154.7142857143,49548.4285714286,1.33571428571429,77.7142857142857,433.285714285714,172.142857142857,144,7877.85714285714,6.71428571428571,125,919.428571428571,712.571428571429,29383.2857142857,5496.28571428571,5.34655409042857,1.67612120765693,0.187159945142857,-1.67612120796758,34879.5714285714,265.437823407362,1162.90195303858,0.070676998346266,24.5065588888246,89.9550152126315,111.684717801838,29.6704117486316,1803.85359980343,14.1975853077708,86.8964901477614,124.048185722131,137.064288009748,881.510013988443,103.325882987943,0.148939131364068,0.0277613921852746,0.00517719082821999,0.0277613919169373,929.102946779465,71.17,28.83,1.44,28.92,1.45,16.77,1.45,2.81959157583512,0.243792950802679,4.9832,0.8272,0.9945,0.4028,0.087,0.0346,0.1543,446
