labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
living grass1,-58.8,0.1,0,0,0,0,3,4
living grass2,-58.8,0.1,12,0,0,0,3,4
Exter 1,-58.4,1,13,0,0,0,3,4
Exter 2,-57.3,1.1,14.1,0,0,0,3,4
Exter 3,-56.2,1.2,15.2,0,0,0,3,4
Exter 4,-56.1,1.2,16.3,0,0,0,3,4
SG-POB4-1602-23,-500,30,16.4,3,0,0,3,4
Exter 5,-56,1.2,17.4,0,0,0,3,4
SG-POB4-1602-30,-470,30,17.8,3,0,0,3,4
Exter 6,-54.7,1.2,18.5,0,0,0,3,4
SG-POB4-1602-47,-565,30,19.2,3,0,0,3,4
Exter 7,-53.2,1.2,19.6,0,0,0,3,4
Exter 8,-51.4,1.3,20.7,0,0,0,3,4
SG-POB4-1602-54,-490,30,20.7,3,0,0,3,4
Exter 9,-49.6,1.3,21.8,0,0,0,3,4
SG-POB4-1602-61,-620,30,22.2,3,0,0,3,4
Exter 10,-47.6,1.4,22.9,0,0,0,3,4
Exter 11,-45.3,1.4,24,0,0,0,3,4
Exter 12,-42.9,1.5,25.1,0,0,0,3,4
Exter 13,-40.4,1.5,26.2,0,0,0,3,4
Exter 14,-37.5,1.6,27.3,0,0,0,3,4
Exter 15,-33.7,1.6,28.4,0,0,0,3,4
Exter 16,-29.2,1.7,29.5,0,0,0,3,4
Exter 17,-22.8,1.9,30.6,0,0,0,3,4
Exter 18,-16.8,2,31.7,0,0,0,3,4
Exter 19,-7.9,2.2,32.8,0,0,0,3,4
LuS-12478,395,40,33.1,3,0,0,3,4
Exter 20,4.32,2.5,33.9,0,0,0,3,4
Exter 21,14.83,2.6,35,0,0,0,3,4
Exter 22,30.78,3.2,36.1,0,0,0,3,4
Exter 23,69.46,6.1,37.2,0,0,0,3,4
LuS-12479,1525,40,67.5,3,0,0,3,4
LuS-12480,2895,45,117.1,3,0,0,3,4
LuS-12481,3640,40,190.8,3,0,0,3,4
Beta-516807,3550,30,240,3,0,0,3,4
LuS-12482,3890,50,291.9,3,0,0,3,4
Beta-516808,6120,30,316.7,3,0,0,3,4
LuS-12483,7780,50,334.7,3,0,0,3,4
Beta-271303,8110,50,379,3,0,0,3,4
