LabID,age,error,depth,cc,dR,dSTD,t.a,t.b
coring-date,-66,1,0,0,0,0,3,4
95355,925,21,48,3,0,0,3,4
95356,2164,21,86,3,0,0,3,4
95357,5326,23,131,3,0,0,3,4
95358,7301,24,160,3,0,0,3,4
95359,9517,26,179,3,0,0,3,4
BETA-482178,9670,30,208,3,0,0,3,4
