"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,88,47.1826239202527,4.369649931,0.022750235,11.2396343427283,-26.9364418317727,49.4157105172293
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,98.9166666666667,46.7555700781557,3.255429522,0.010150183,16.6771965799755,-21.4717600757912,54.8261532357423
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,71.25,53.7623136001081,5.828405269,0.020076539,2.89650449779171,-35.3399455567929,41.1329545523763
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,87.4166666666667,47.7768645672651,18.80830619,0.176446353,10.9490775819594,-27.2287196885482,49.126874852467
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,137.5,51.6682795447179,25.3957986,0.092788179,35.8954508994066,-2.23525808425305,74.0261598830662
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,143,51.5014562900895,25.1006547,0.200410389,38.6349860723708,0.497018395088134,76.7729537496535
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,142.2,30.1101680869141,12.41602198,0.076135345,38.2365082290305,0.0997491768046856,76.3732672812564
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,125.090909090909,36.7190809946397,30.70187991,0.12301453,29.7145161703219,-8.40885218734306,67.8378845279868
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,129.454545454545,54.4763501647525,12.23274868,0.369735042,31.8880316794504,-6.23649007500532,70.012553433906
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,131.818181818182,61.3413696974859,44.61646774,0.152122701,33.0653525802287,-5.06044071839569,71.1911458788531
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,155.666666666667,37.5991618217344,36.59073739,0.331067449,44.944218591925,6.78018719670908,83.1082499871409
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,190.333333333333,43.3491812512245,34.06414422,0.025144385,62.2115918033357,23.9098216122213,100.51336199445
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,171.545454545455,48.6258442319794,39.61078518,0.154761353,52.853400027921,14.6383217100471,91.068478345795
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,128.909090909091,34.9212100175654,37.01157435,0.426171368,31.6163422408095,-6.50795062214522,69.7406351037643
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,99.0909090909091,68.6461281434788,25.20300712,0.083140624,16.7639862617636,-21.3846159408163,54.9125884643436
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,94.0909090909091,41.0596019110136,18.81424853,0.085012501,14.2734997408871,-23.8862530426513,52.4332525244254
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,103.363636363636,42.2475389277831,19.39416739,0.073912797,18.8922201977853,-19.2484617610516,57.0329021566221
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,134.181818181818,45.8493580801698,42.10225675,0.101834918,34.2426734810065,-3.88484580727284,72.3701927692859
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,169,40.0444197804832,62.86286744,0.567434644,51.5855159809291,13.3799938114815,89.7910381503766
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,161.454545454545,39.9683966062279,77.32937965,0.189230748,47.8271454130606,9.64687158566691,86.0074192404542
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,166.363636363636,39.8227892726583,40.6484082,0.139015902,50.2723503608303,12.0761734774206,88.4685272442401
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,194.5,48.1106678776793,67.58862806,0.371106986,64.2869972373997,25.9621571056652,102.611837369134
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,153.909090909091,62.8258777025113,58.21751812,0.419583377,44.0687748451925,5.909138104515,82.22841158587
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,128.117647058824,45.5643533271092,34.00992075,0.690963856,31.2221261925854,-6.9018775923273,69.3461299774981
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,158.727272727273,33.8203811601552,31.39605337,0.356175262,46.4686982198555,8.29641615312004,84.640980286591
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,161.363636363636,60.1236604462382,28.97367916,0.196486418,47.7818638399538,9.60186611280314,85.9618615671044
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,142.363636363636,43.9619670335001,26.9304948,0.044764677,38.3180150606227,0.181013021052465,76.4550171001929
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,143.090909090909,52.6354529674715,46.72905914,0.124522427,38.6802676454776,0.542159333431314,76.8183759575239
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,138.111111111111,38.8472793270148,68.09335946,0.816242088,36.1998436964025,-1.93155036647173,74.3312377592768
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,131.727272727273,24.2160727992419,34.46389212,0.171217055,33.0200710071219,-5.10566498240755,71.1458069966513
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,147.363636363636,35.5985188660223,60.20244341,0.548086843,40.8085015814993,2.66302599816512,78.9539771648335
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,143.727272727273,32.7874698904655,73.19734621,0.669512032,38.9972386572257,0.858127097241272,77.1363502172102
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,128.916666666667,51.199180272794,116.9107903,0.841170558,31.6201157052352,-6.50418017101913,69.7444115814896
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,94.7,50.2284779781351,32.9760233,0.203795286,14.5768862807029,-23.5813996375057,52.7351721989116
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,150,69.3368588847231,145.5334854,0.604259635,42.121667201598,3.97090611752245,80.2724282856736
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,145.454545454545,56.0987765220662,49.70613596,0.602315252,39.8575885462555,1.71558801853716,77.9995890739738
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,168.666666666667,43.1516002723028,80.36054861,0.943852418,51.4194835462041,13.2151740009407,89.6237930914676
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,203,44.409458452001,78.52750915,0.406648955,68.5208243228899,30.1446133036139,106.897035342166
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,135.2,41.8245010596527,51.06064778,0.387827921,34.7498270998033,-3.37857572138206,72.8782299209887
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,114.833333333333,47.5850116458253,50.54112884,0.613078987,24.6052453380992,-13.5215125834714,62.7320032596697
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,145.833333333333,36.5335047551829,35.29243706,0.37314492,40.046261767534,1.90359528783269,78.1889282472354
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,125.818181818182,40.4173680039118,54.25753022,0.451401204,30.0767687551768,-8.04668425593044,68.200221766284
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,222.636363636364,53.1944973230742,93.06939632,0.991321257,78.3016441139691,39.7847681498812,116.818520078057
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,160.181818181818,41.2645566602095,61.1989585,0.484100081,47.1932033895648,9.01673404498358,85.3696727341461
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,129.8,38.9381275587024,84.15061701,1.054966543,32.0601016572566,-6.06457758055218,70.1847808950654
