Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content_pc,Dry_mass_pc,Dry_mass_pc_err,LOI550_pc,LOI550_err,C_org,C_org_err,Ln_C_org,Ln_C_org_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr-1,DMAR_err_pc
Bird Island,BI10,BI10.1,11,13,14.1,13.6,13.6,0.55,-25,197.8,64.6,72.1,111.4,0.10573,0.16754,22684.66667,54462.83333,1.348333333,9.583333333,82.58333333,22.08333333,17.75,1965.416667,5.666666667,43.08333333,27.83333333,875.6666667,42389.33333,6183.5,6.858782011,1.92525403,0.145878702,-1.925254029,48572.83333,650.2283981,1078.283723,0.100980046,8.229197833,23.40729619,13.78707124,18.25140094,211.2058274,16.72957823,45.7551951,26.12499094,83.5793943,748.16519,179.458529,0.168785087,0.024496269,0.003558087,0.02449627,858.3266843,87.73,12.27,0.61,94.25,4.71,47.13,2.36,3.852909741,0.192931614,5.5054,0.3386,1.0436,0.1281,0.0128,0.0135,0.0022,16.2
Bird Island,BI10,BI10.1,12,14.3,15.4,14.8,14.8,0.53,-18.9,208,79.8,83.5,113.4,0.10569,0.14735,22702,54065.91667,1.351666667,13.08333333,114.3333333,20.08333333,27.91666667,1448.416667,0.272727273,60.16666667,102.1666667,857.25,42063.66667,6271.916667,6.709842202,1.903307523,0.149114837,-1.903307523,48335.58333,474.9417189,1174.762681,0.076732515,9.912878064,12.36809189,18.04770614,14.40617502,188.7434326,0.904534034,59.45637566,66.13599396,108.4922494,797.5128763,178.8500938,0.161925902,0.024200969,0.003619893,0.024200968,906.7628194,87.08,12.92,0.65,91.54,4.58,45.77,2.29,3.823628855,0.191306753,4.6493,0.2697,1.0602,0.137,0.0137,0.0145,0.0023,15.8
Bird Island,BI10,BI10.1,13,15.6,16.6,16.1,16.1,0.5,-15,225.8,93.5,95.8,120.4,0.10573,0.13621,22805,55418.72727,1.424545455,14.72727273,93,24.27272727,37.18181818,1711.545455,7.090909091,76.63636364,163.4545455,868.2727273,42944.54545,6384.090909,6.729450084,1.906285438,0.148662457,-1.906285438,49328.63636,304.7096979,752.7416676,0.118605534,9.133355452,11.10855526,14.54022633,20.28703124,239.5559908,23.51788488,60.8330054,88.20925534,108.9441058,509.7935589,150.0616237,0.14377003,0.02140476,0.003187817,0.021404759,588.3497723,87.03,12.97,0.65,82.62,4.13,41.31,2.07,3.721104601,0.186460579,4.5216,0.2623,1.1125,0.1443,0.0144,0.0153,0.0024,15.8
Bird Island,BI10,BI10.1,14,16.8,17.8,17.3,17.3,0.5,-11.9,245.6,104.6,107.1,128.7,0.10563,0.13001,23332.63636,55972.09091,1.357272727,7.909090909,95.45454545,19.63636364,32.90909091,1532.909091,0.545454545,39.09090909,169.3636364,937.9090909,43502.18182,6432.727273,6.766233446,1.911650284,0.147879791,-1.911650285,49934.90909,425.7077102,1045.964192,0.11181153,6.024193647,25.28779799,17.85089761,13.39742173,231.5972602,1.809068067,45.07428213,106.359083,111.6229856,743.1342837,184.2243691,0.172024417,0.025455159,0.003768137,0.02545516,845.222628,87.37,12.63,0.63,83.65,4.18,41.83,2.09,3.733613785,0.186546804,5.3066,0.329,1.1418,0.1442,0.0144,0.0152,0.0025,16.2
Bird Island,BI10,BI10.1,15,18,19,18.5,18.5,0.53,-8.5,265.5,115.7,118.5,137,0.10578,0.12534,22147.63636,53672.72727,1.32,12.54545455,120.4545455,44.45454545,41,1594.090909,1.090909091,84,228,897.4545455,41452.09091,6197,6.69142675,1.900659292,0.149495154,-1.900659293,47649.09091,300.716901,884.3879342,0.1001998,7.501514999,20.79597863,26.03214796,22.27554713,479.1522628,2.46797672,72.06663583,114.8816783,78.83192708,606.0378626,157.1082429,0.128522676,0.019219772,0.002875694,0.019219771,717.0752338,85.89,14.11,0.71,65.63,3.28,32.82,1.64,3.491038086,0.174445535,4.9476,0.2944,1.0572,0.1492,0.0149,0.0158,0.0025,16
Bird Island,BI10,BI10.1,16,19.2,20.3,19.8,19.8,0.53,-4.9,284.4,129.1,130.8,144.6,0.0905,0.10249,22327.83333,54138.91667,1.348333333,32.58333333,133.1666667,60,42.08333333,1912.25,11.5,97.91666667,303.0833333,859.9166667,41379.75,6263.5,6.609357685,1.887952068,0.151462747,-1.887952068,47643.25,807.0488138,1269.359714,0.093985815,37.33742537,23.67904073,35.40672766,27.27122471,663.0941418,27.42427591,94.37204742,134.4932971,111.9784544,1310.194234,174.6713798,0.225274119,0.034180538,0.005192651,0.034180537,1382.586386,84.33,15.67,0.78,61.98,3.1,30.99,1.55,3.433664572,0.171738628,5.1516,0.3117,1.0868,0.1703,0.017,0.0154,0.0025,16.1
Bird Island,BI10,BI10.1,17,20.5,21.5,21,21,0.53,13,297.5,141.6,144,142.3,0.08804,0.08915,22784.45455,55453,1.375454545,11.09090909,140.6363636,29,25.90909091,2046,5.363636364,60.81818182,167.1818182,876,42661.18182,6346.636364,6.723699323,1.905402339,0.148797493,-1.90540234,49007.81818,333.4082673,905.8863063,0.040832251,8.572683891,17.71594043,16.56502339,16.80151508,204.6391947,17.78916933,67.38222048,109.0209321,107.0420478,786.1313908,130.5934705,0.154179101,0.022725583,0.003351012,0.022725583,837.4903961,84.43,15.57,0.78,75.73,3.79,37.86,1.89,3.633895146,0.18140681,5.4653,0.3388,1.1266,0.1755,0.0175,0.0154,0.0025,16.2
Bird Island,BI10,BI10.1,18,21.7,22.7,22.2,22.2,0.5,32.7,308.6,154.5,157.7,138,0.08802,0.07901,22947.90909,55432.54545,1.324545455,10.54545455,132.6363636,39,36.36363636,2175.454545,19.81818182,63.81818182,227.5454545,948,42505.72727,6336.090909,6.71293783,1.903709363,0.149063951,-1.903709364,48841.81818,414.4527608,1056.325836,0.056100559,9.842394387,20.44638221,38.91786222,19.91618803,327.0416988,28.2270019,59.06914284,85.23070296,88.06588443,472.8619441,185.185558,0.179535466,0.026880219,0.004026509,0.026880218,570.8419778,84.29,15.71,0.79,65.61,3.28,32.8,1.64,3.490428515,0.174521426,5.1045,0.3114,1.1895,0.1869,0.0187,0.0165,0.0026,16.1
Bird Island,BI10,BI10.1,19,23,24,23.5,23.5,0.53,47.3,325.7,169.1,172.4,139.2,0.08804,0.07304,21469.27273,52618.90909,1.275454545,13.45454545,122.5454545,36.81818182,29,2094,2.454545455,33.90909091,266.7272727,894.2727273,40284.09091,6147.454545,6.555460234,1.880069619,0.152614062,-1.880069619,46431.54545,844.6284498,1967.453301,0.065629816,8.47777844,19.00191378,19.51316572,15.79873413,376.1090267,5.680909018,41.31211577,75.07475063,98.27216382,1381.823321,238.2718463,0.147724219,0.022379837,0.003391741,0.022379838,1584.644526,85.74,14.26,0.71,75.43,3.77,37.72,1.89,3.630190458,0.181894485,5.049,0.3029,1.2398,0.1767,0.0177,0.0156,0.0025,16
Bird Island,BI10,BI10.1,20,24.2,25.3,24.7,24.7,0.53,61.1,343.2,182.5,186.1,141,0.08802,0.06858,21002.91667,50515.75,1.28,12.33333333,113.0833333,37.08333333,25.25,1588.166667,17.25,99.41666667,314.0833333,850.75,39063.66667,5850.166667,6.679716697,1.898701805,0.149819491,-1.898701805,44913.83333,577.2150156,1410.810865,0.053257522,13.84546748,27.98525044,16.44527196,19.72135437,317.0591666,23.51836806,108.98662,118.5936211,82.97439364,1210.445172,176.1336442,0.189768484,0.028632329,0.004323657,0.028632329,1317.754346,83.5,16.5,0.82,57.98,2.9,28.99,1.45,3.366950943,0.168405618,5.7883,0.3676,1.0354,0.1708,0.0171,0.015,0.0025,16.4
