depth	min	max	median	mean
19.6	-0.58	211.89	106.27	105.54
19.7	-0.27	213.66	107.45	106.76
19.8	0.18	215.47	108.81	107.99
19.9	0.63	216.17	109.89	109.21
20	1.05	217.63	110.83	110.43
20.1	2.64	218.01	112.12	111.63
20.2	3.99	218.4	113.28	112.82
20.3	5.64	218.68	114.82	114.02
20.4	6.87	219.35	115.95	115.21
20.5	8.39	220.08	116.79	116.4
20.6	10.04	220.78	118.3	117.6
20.7	11.15	221.43	119.65	118.79
20.8	11.76	221.64	121.29	119.99
20.9	13.67	222.07	122.7	121.18
21	14.2	222.77	124.45	122.38
21.1	15.22	223.03	126.27	123.57
21.2	16.45	223.3	127.35	124.77
21.3	17.48	223.55	128.72	125.96
21.4	18.42	224.12	130.31	127.16
21.5	19.27	224.77	131.76	128.35
21.6	20.19	225.6	133.06	129.54
21.7	21.1	225.97	134.48	130.74
21.8	21.63	226.23	135.57	131.93
21.9	22.46	226.53	136.86	133.13
22	23.56	226.96	138.28	134.32
22.1	23.8	227.52	139.71	135.52
22.2	24.45	228.33	141.47	136.71
22.3	25.18	229	143.19	137.91
22.4	25.64	229.69	144.5	139.1
22.5	27.16	230.37	145.96	140.3
22.6	27.85	231.12	147.82	141.49
22.7	28.62	232.5	149.52	142.68
22.8	29.07	233.25	150.72	143.88
22.9	30.38	234.06	152.09	145.07
23	30.7	234.86	153.61	146.27
23.1	30.76	235.87	155.12	147.46
23.2	31.54	236.77	156.82	148.66
23.3	31.79	237.29	158.38	149.85
23.4	32.48	238.15	159.64	151.05
23.5	33.25	238.88	161.1	152.24
23.6	34.05	240.11	162.79	153.44
23.7	34.83	241.25	164.25	154.63
23.8	35.61	242.21	165.89	155.82
23.9	36.15	243.39	167.11	157.02
24	36.43	244.06	168.33	158.21
24.1	36.91	245.11	169.77	159.41
24.2	37.95	245.97	171.04	160.6
24.3	38.57	246.94	172.53	161.8
24.4	39.26	248.35	173.63	162.99
24.5	39.98	250.09	174.89	164.19
24.6	40.87	251.63	176.21	165.38
24.7	41.35	253.14	177.45	166.58
24.8	42.03	254.53	178.69	167.77
24.9	42.8	255.96	179.79	168.96
25	43.18	257.31	181.11	170.16
25.1	45.31	257.65	182.46	171.38
25.2	47.02	258.25	183.74	172.59
25.3	48.76	258.51	184.92	173.81
