"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,172.727272727273,26.4616360382003,2.467420581,0.015066934,13.0021254588386,-12.4810189112083,38.4852698288856
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,238.75,34.793220342736,2.98969441,0.02200764,10.8131330159215,-14.7131081253594,36.3393741572025
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,191.916666666667,24.6002894784643,3.556521683,0.014282314,12.3658985101399,-13.1147703370118,37.8465673572917
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,203.333333333333,17.3065060458531,7.052448962,0.06465722,11.9873773843251,-13.4976555013852,37.4724102700355
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,213,38.5544348220078,9.844407416,0.040880493,11.6668777449491,-13.8252530632991,37.1590085531972
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,227.454545454545,38.944482629414,10.02079263,0.096502178,11.1876353374808,-14.320924212906,36.6961948878677
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,219.5,38.7792900055343,9.325702706,0.028353619,11.451369366748,-14.0472873828151,36.950026116311
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,235.454545454545,31.4304426833719,9.672030755,0.061309265,10.9223942566179,-14.5982498082466,36.4430383214825
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,242.636363636364,31.4078739403759,6.289145655,1.766837081,10.6842801044796,-14.8490254683491,36.2175856773082
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,197,28.7228132326901,7.635178907,0.081872982,12.197359906675,-13.2847143498304,37.6794341631803
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,221.083333333333,27.5300111723827,5.960197779,0.068926753,11.3988737361605,-14.1015860573773,36.8993335296983
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,221.25,31.077981097409,6.674238754,0.048794576,11.3933478803092,-14.1073065685892,36.8940023292076
