"depth","SH20_mean_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
5.1,-62.26,6.07,21028,48722,1.52,141,179,4,74,757,0,153,71,847,38247,5362,7.132972771,0.140194002,43609
5.2,-61.23,6.09,20234,46486,1.3,74,102,13,61,561,0,26,39,847,37076,5322,6.966553927,0.143542993,42398
5.3,-60.19,6.11,20329,46710,1.21,84,118,13,51,583,0,108,0,829,37133,5339,6.955047762,0.143780465,42472
5.4,-59.16,6.11,20653,47454,1.36,62,99,0,31,674,0,0,188,868,37564,5480,6.854744526,0.145884357,43044
5.5,-58.13,6.08,21066,48811,1.37,46,133,41,51,1119,0,0,0,944,38449,5595,6.872028597,0.145517439,44044
5.6,-57.09,6.1,21602,49890,1.35,50,113,16,75,809,0,68,62,779,39448,5782,6.82255275,0.146572703,45230
5.7,-56.06,6.1,21959,51151,1.46,69,45,39,67,1206,0,34,52,852,39997,5857,6.828922657,0.146435983,45854
5.8,-55.02,6.1,22064,50855,1.51,87,133,26,48,915,0,0,117,932,40128,5569,7.205602442,0.138780901,45697
5.9,-53.99,6.11,22803,52843,1.49,32,129,49,73,914,0,53,74,914,41760,6109,6.835816009,0.146288314,47869
6,-52.95,6.11,23091,54502,1.21,66,107,44,34,1400,0,0,49,833,42495,6304,6.740958122,0.148346864,48799
6.1,-51.92,6.12,22926,54426,1.28,59,157,67,79,1533,0,0,0,969,42267,6142,6.881634647,0.145314311,48409
6.2,-50.89,6.13,23348,56050,1.26,53,108,34,49,1325,0,0,74,963,43624,6523,6.687720374,0.149527783,50147
6.3,-49.85,6.15,23418,56369,1.34,18,80,54,23,1701,0,7,84,950,43503,6368,6.831501256,0.146380709,49871
6.4,-48.82,6.17,22941,53944,1.35,28,105,28,51,1365,0,0,33,828,42120,6081,6.926492353,0.144373219,48201
6.5,-47.78,6.18,22790,53450,1.42,31,129,43,70,1985,0,101,0,845,41782,5932,7.04349292,0.141975013,47714
6.6,-46.75,6.19,22853,53798,1.39,41,114,38,24,1917,0,120,159,899,41601,6079,6.843395295,0.146126295,47680
6.7,-45.71,6.19,22900,53579,1.23,37,92,26,50,1505,0,23,48,888,42198,5952,7.089717742,0.141049339,48150
6.8,-44.68,6.2,23162,54448,1.47,26,101,56,27,1356,0,0,0,758,42643,6038,7.062437893,0.141594166,48681
6.9,-43.65,6.19,23228,55556,1.24,61,113,36,32,1633,0,0,118,813,43464,6324,6.872865275,0.145499724,49788
7,-42.61,6.2,22963,54547,1.35,36,134,49,39,1980,5,34,9,770,42389,6314,6.713493823,0.148953738,48703
7.1,-41.58,6.21,23245,54778,1.36,37,117,75,24,1886,0,25,64,840,42689,6173,6.915438199,0.144603996,48862
7.2,-40.54,6.23,22473,53545,1.42,57,98,74,34,1889,0,0,99,917,41290,5969,6.917406601,0.144562848,47259
7.3,-39.51,6.23,21869,52449,1.16,74,107,15,37,1446,57,0,126,1085,40599,5970,6.800502513,0.147047957,46569
7.4,-38.47,6.24,21482,51310,1.37,38,108,34,48,1530,0,0,6,843,39955,5777,6.916219491,0.144587661,45732
7.5,-37.44,6.24,22381,53811,1.39,33,107,41,53,1345,0,0,101,973,41967,6381,6.576868829,0.152048038,48348
7.6,-36.41,6.25,23591,56039,1.32,28,102,62,67,1730,0,0,130,1025,43422,6443,6.739407108,0.148381005,49865
7.7,-35.37,6.25,24332,56873,1.32,41,110,20,49,1684,0,0,123,1029,44202,6330,6.982938389,0.14320619,50532
7.8,-34.34,6.25,24067,57134,1.38,12,114,74,47,1636,0,0,70,871,44726,6809,6.568659128,0.152238072,51535
7.9,-33.3,6.26,23982,56793,1.28,21,72,10,30,1290,0,0,84,968,44694,6360,7.027358491,0.14230098,51054
8,-32.27,6.26,24213,58289,1.82,38,139,89,89,1811,0,5,128,884,45176,6513,6.936281284,0.144169471,51689
8.1,-31.23,6.26,24364,57686,1.53,49,112,30,57,1986,0,15,165,864,44438,6484,6.853485503,0.145911157,50922
8.2,-30.2,6.26,24008,58405,1.16,42,94,25,47,2413,0,29,122,1133,44009,6533,6.736415123,0.148446909,50542
8.3,-29.17,6.26,24049,58731,1.2,45,129,46,49,2443,0,0,70,1022,44547,6713,6.635930285,0.150694772,51260
8.4,-28.13,6.27,24083,57535,1.18,37,186,54,16,2579,0,0,61,939,43878,6380,6.877429467,0.145403163,50258
8.5,-27.1,6.26,22697,55355,1.35,26,140,86,37,1937,0,0,0,1116,42180,6570,6.420091324,0.155761024,48750
8.6,-26.06,6.25,20326,49517,1.3,36,63,10,11,1258,0,60,0,1008,38465,5862,6.561753668,0.152398284,44327
8.7,-25.03,6.24,21525,53210,1.2,38,127,37,24,1860,0,15,87,965,40702,6059,6.717610167,0.148862464,46761
8.8,-23.99,6.23,22234,53768,1.21,48,112,45,35,1920,0,0,0,958,41274,6070,6.799670511,0.14706595,47344
8.9,-22.96,6.23,22648,54506,1.29,19,122,31,10,1669,0,107,80,859,42408,6176,6.866580311,0.145632899,48584
9,-21.92,6.24,23290,55962,1.24,38,113,44,33,1785,0,0,70,961,42749,6508,6.568684696,0.152237479,49257
9.1,-20.89,6.26,23055,54752,1.24,35,111,40,38,2172,0,0,74,850,42145,6165,6.836171938,0.146280698,48310
9.2,-19.86,6.28,23122,55909,1.31,39,104,49,13,2641,0,0,188,873,42404,6261,6.772720013,0.147651165,48665
9.3,-18.82,6.3,23650,57386,1.22,16,116,51,34,2788,0,100,39,934,43403,6553,6.623378605,0.150980347,49956
9.4,-17.79,6.31,23456,57311,1.28,37,130,71,28,3181,4,25,217,956,42977,6463,6.649698283,0.150382763,49440
9.5,-16.75,6.33,23271,56132,1.31,22,112,48,32,3125,0,0,194,788,42133,6254,6.73696834,0.148434719,48387
