"Location","Site","Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","section_cut_loss","section_depth_top","section_depth_bottom","section_depth_mid","field_depth_top","field_depth_bottom","field_depth_mid","strat_depth_top","strat_depth_bottom","strat_depth_mid","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate_cmyr-1","accrate_err_cmyr-1","Bag_mass","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Water_Content_pc","Dry_mass","Dry_mass_err","Ash_Mass","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1A","PB1.1A_1","A",1,1.6,1.2,1,0.1219,0,1,0.5,0,1,0.5,0,1,0.5,0.5,0.5,-68.7,-65.5,-67,-67,2,1.27841,1.24808,1.1476,2.8098,1.2689,1.6622,0.1213,92.7,-1.46362628432036,0.36,NA,NA,NA,NA,NA,1.4841,0.0557,1.12,-1.33450196718413,0.0071,0.1045,0.1111,106.4
"Marion Island","PB1","PB1.1A","PB1.1A_2","A",2,1.7,1.5,1.9,0.1219,1.1,3,2,1.1,3,2,1.1,3,2,2,0.9,-67.7,-63.7,-65.8,-65.8,2,1.20177,0.50575,1.1476,3.4924,1.3041,2.3448,0.1565,93.33,-1.49795488816348,0.33,NA,NA,NA,NA,NA,3.7178,0.1933,0.6307,-1.46542990872104,0.0043,0.0506,0.0264,52.3
"Marion Island","PB1","PB1.1A","PB1.1A_3","A",3,1.8,1.8,1.8,0.1219,3.1,4.9,4,3.1,4.9,4,3.1,4.9,4,4,0.9,-67.3,-59.6,-64.5,-64.2,4,0.19107,0.03151,1.1476,2.9829,1.2439,1.8353,0.0963,94.75,-1.57533047142892,0.26,NA,NA,NA,NA,NA,4.4518,0.2916,0.4123,-1.53320826229444,0.0025,0.0041,0.0012,28
"Marion Island","PB1","PB1.1A","PB1.1A_4","A",4,1.3,1.3,1.3,0.1219,5,6.3,5.7,5,6.3,5.7,5,6.3,5.7,5.7,0.7,-64.3,-40.8,-56.6,-55.5,12,0.08948,-0.0087,1.1476,3.1716,1.2763,2.024,0.1287,93.64,-1.51484674084819,0.32,NA,NA,NA,NA,NA,1.5945,0.1036,1.2693,-1.33780822833405,0.0093,0.0072,1e-04,1.8
"Marion Island","PB1","PB1.1A","PB1.1A_5","A",5,1.5,1.7,1.3,0.1219,6.4,7.7,7.1,6.4,7.7,7.1,6.4,7.7,7.1,7.1,0.7,-62.2,2.9,-43.6,-39.6,33,0.08663,-0.06331,1.1476,4.0641,1.3637,2.9165,0.2161,92.59,-1.45763240110966,0.37,NA,NA,NA,NA,NA,2.5315,0.2063,1.1521,-1.32226880092942,0.0112,0.0074,-0.0044,-59.9
"Marion Island","PB1","PB1.1A","PB1.1A_6","A",6,1.9,1.8,1.8,0.1219,7.9,9.7,8.8,7.9,9.7,8.8,7.9,9.7,8.8,8.8,0.9,-60.2,55.4,-27.8,-20.3,58,0.09206,-0.25314,1.1476,4.7332,1.4778,3.5856,0.3302,90.79,-1.3595506758436,0.46,NA,NA,NA,NA,NA,4.7062,0.4541,0.7619,-1.37252397040823,0.0103,0.0065,-0.0168,-260.3
"Marion Island","PB1","PB1.1A","PB1.1A_7","A",7,2.2,1.8,1.3,0.1219,9.8,11.1,10.4,9.8,11.1,10.4,9.8,11.1,10.4,10.4,0.7,-55.1,96.7,-11.7,-2.1,76,0.08802,-3.17392,1.1476,5.0753,1.6,3.9277,0.4524,88.48,-1.23367912841884,0.58,NA,NA,NA,NA,NA,3.9806,0.4359,0.9867,-1.22903223650161,0.0181,0.01,-0.3591,-3590
"Marion Island","PB1","PB1.1A","PB1.1A_8","A",8,2.1,1.9,1.3,0.1219,11.2,12.5,11.8,11.2,12.5,11.8,11.2,12.5,11.8,11.8,0.6,-46.5,110.6,6.4,13.8,79,0.08487,0.48874,1.1476,5.2227,1.5822,4.0751,0.4346,89.34,-1.28054039715706,0.53,NA,NA,NA,NA,NA,3.8275,0.4574,1.0647,-1.22936286261661,0.0192,0.0096,0.0571,592.8
"Marion Island","PB1","PB1.1A","PB1.1A_9","A",9,1.8,1.8,1.2,0.1219,12.6,13.8,13.2,12.6,13.8,13.2,12.6,13.8,13.2,13.2,0.6,-40.6,127,24.1,29.6,84,0.09307,0.26736,1.1476,4.6421,1.5191,3.4945,0.3715,89.37,-1.28217509257816,0.53,NA,NA,NA,NA,NA,2.9679,0.3725,1.1774,-1.19067960716252,0.022,0.0116,0.0355,304.8
"Marion Island","PB1","PB1.1A","PB1.1A_10","A",10,2.1,2,1.3,0.1219,13.9,15.2,14.5,13.9,15.2,14.5,13.9,15.2,14.5,14.5,0.7,-36.6,152.5,38.2,44.4,95,0.0834,0.18137,1.1476,5.275,1.6062,4.1274,0.4586,88.89,-1.25601996584055,0.56,NA,NA,NA,NA,NA,4.2887,0.6047,0.9624,-1.25118418620609,0.0204,0.0089,0.0211,236.6
"Marion Island","PB1","PB1.1A","PB1.1A_11","A",11,2.1,2,1.3,0.1219,15.3,16.6,15.9,15.3,16.6,15.9,15.3,16.6,15.9,15.9,0.6,-25.5,170.8,56.3,61.1,98,0.07958,0.13089,1.1476,5.6294,1.6562,4.4818,0.5086,88.65,-1.24294240247174,0.57,NA,NA,NA,NA,NA,4.1237,0.6227,1.0868,-1.19696150334737,0.0248,0.0098,0.0181,184.6
"Marion Island","PB1","PB1.1A","PB1.1A_12","A",12,2,1.8,1.3,0.1219,16.7,17.9,17.3,16.7,17.9,17.3,16.7,17.9,17.3,17.3,0.6,-14.9,186.2,76.1,78.4,101,0.07958,0.10498,1.1476,5.2267,1.5827,4.0791,0.4351,89.33,-1.27999549868336,0.53,NA,NA,NA,NA,NA,3.5423,0.5597,1.1515,-1.19861463392233,0.0255,0.0098,0.0149,152.7
"Marion Island","PB1","PB1.1A","PB1.1A_13","A",13,2,1.9,1.3,0.1219,18.1,19.3,18.7,18.1,19.3,18.7,18.1,19.3,18.7,18.7,0.6,-5.3,200.4,94.6,95.6,103,0.08136,0.09025,1.1476,4.9158,1.5596,3.7682,0.412,89.07,-1.26582813836715,0.55,NA,NA,NA,NA,NA,3.6361,0.6127,1.0363,-1.23002411484659,0.0248,0.0092,0.0122,132.8
"Marion Island","PB1","PB1.1A","PB1.1A_14","A",14,2.1,1.9,1.3,0.1219,19.4,20.7,20.1,19.4,20.7,20.1,19.4,20.7,20.1,20.1,0.7,2.8,221.1,112.8,112.8,109,0.08745,0.08746,1.1476,5.2217,1.5683,4.0741,0.4207,89.67,-1.29852204678917,0.52,NA,NA,NA,NA,NA,4.082,0.7348,0.9981,-1.2637479785758,0.0237,0.009,0.0111,123
"Marion Island","PB1","PB1.1A","PB1.1A_15","A",15,1.9,2.1,1.3,0.1219,20.9,22.2,21.5,20.9,22.2,21.5,20.9,22.2,21.5,21.5,0.7,21.8,228.2,130.9,129,103,0.08591,0.07129,1.1476,5.6112,1.6649,4.4636,0.5173,88.41,-1.22986483910293,0.58,NA,NA,NA,NA,NA,3.9806,0.7543,1.1213,-1.17514017975788,0.0311,0.0112,0.0119,106.9
