"Location","Site","Section","sample","field_depth_top","field_depth_bottom","field_depth_mid","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,3712.228887,74.17879973,7766.606331,1397.98913958,9084.977882,1181.04712466,1442.000824,201.88011536,88.46094721,10.6153136652,6242.966621,1123.73399178,4.068857773,0.28482004411,5.960197779,3.21850680066,36.59073739,5.1227032346,261.6355831,23.547202479,8.072382999,0.070931291,30.36236272,4.8579780352,168.0404108,3.360808216,30.42377281,1.5211886405,4.487970407,0.077593013,2.556674805,0.045766663
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,3558.613952,53.10499408,1973.319538,355.19751684,6626.492173,861.44398249,461.9149499,64.668092986,46.49996193,5.5799954316,3694.801697,665.06430546,2.041238975,0.14288672825,6.674238754,3.60408892716,34.06414422,4.7689801908,140.4650062,12.641850558,10.75975255,0.084324463,7.795499709,1.24727995344,114.9998151,2.299996302,21.97235957,1.0986179785,4.288871292,0.045808063,1.233894651,0.01690507
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,3474.148775,97.58287489,14359.67839,2584.7421102,9905.624178,1287.73114314,2197.326275,307.6256785,125.5077224,15.060926688,6284.597012,1131.22746216,2.439569014,0.17076983098,6.367819135,3.4386223329,39.61078518,5.5455099252,67.51751759,6.0765765831,5.520887153,0.016892471,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,4.871746851,0.049115691,3.886857404,0.030253524
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,3858.056048,77.55997105,3095.570446,557.20268028,7180.738417,933.49599421,574.7925663,80.470959282,57.22472424,6.8669669088,3753.765384,675.67776912,2.601276107,0.18208932749,5.912256586,3.19261855644,37.01157435,5.181620409,65.03458094,5.8531122846,8.662126972,0.092756516,13.30255749,2.1284091984,130.9618352,2.619236704,13.33706426,0.666853213,3.755055231,0.044804774,1.35530674,0.018758598
"Bird Island","BI10","BI10.3",95,93,94,93.5,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,3318.93706,140.159263,3134.001598,564.12028764,6732.62029,875.2406377,606.0238476,84.843338664,60.2997145,7.23596574,11390.75321,2050.3355778,5.745017677,0.40215123739,7.120078834,3.84484257036,25.20300712,3.5284209968,71.97280393,6.4775523537,7.32730259,0.127147154,10.28410137,1.6454562192,119.867266,2.39734532,13.96054981,0.6980274905,4.655602184,0.05117785,1.122462139,0.002027459
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,3046.497536,93.59658386,3044.618396,548.03131128,6605.365982,858.69757766,562.7226914,78.781176796,54.01867077,6.4822404924,7073.372392,1273.20703056,3.633220643,0.25432544501,5.857915852,3.16327456008,18.81424853,2.6339947942,41.79884834,3.7618963506,5.049060535,0.052888463,9.694363956,1.55109823296,112.4064678,2.248129356,13.08141258,0.654070629,4.214972855,0.00900571,0.992804532,0.005060371
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,3335.981766,60.0124919,1424.582603,256.42486854,7089.603048,921.64839624,441.0920959,61.752893426,47.40786167,5.6889434004,1987.252608,357.70546944,1.389287804,0.09725014628,4.568507031,2.46699379674,19.39416739,2.7151834346,45.72842227,4.1155580043,4.628095976,0.048659815,6.266500548,1.00264008768,127.1397723,2.542795446,11.39582517,0.5697912585,4.732409551,0.019576414,0.984439937,0.012776705
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,86.15563506,4.307781753,13.84436494,1.384436494,0.27542932,0.027542932,4610.248256,169.7864944,1716.680373,309.00246714,5586.311354,726.22047602,354.6954517,49.657363238,38.81328375,4.65759405,15892.74003,2860.6932054,1.543818014,0.10806726098,5.784125479,3.12342775866,42.10225675,5.894315945,35.80217711,3.2221959399,5.434072792,0.066823231,6.037782671,0.96604522736,94.40874214,1.8881748428,8.138802933,0.40694014665,3.83135941,0.031914034,0.865875823,0.005713133
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,87.78918391,4.389459195,12.21081609,1.221081609,0.151943562,0.015194356,4492.936701,91.25578968,683.2265993,122.980787874,5350.125775,695.51635075,192.9637106,27.014919484,32.12024806,3.8544297672,4238.013215,762.8423787,0.741821487,0.05192750409,6.534750001,3.52876500054,62.86286744,8.8008014416,87.02811474,7.8325303266,13.1076901,0.161700542,2.592646444,0.41482343104,91.74775016,1.8349550032,5.71655892,0.285827946,5.092746285,0.020391728,0.664291765,0.003592713
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,83.20307613,4.160153806,16.79692387,1.679692387,0.198138286,0.019813829,2888.301683,68.23238158,1641.390095,295.4502171,5647.265231,734.14448003,401.5251511,56.213521154,37.52718028,4.5032616336,3019.385269,543.48934842,1.001920559,0.07013443913,9.469595678,5.11358166612,77.32937965,10.826113151,126.1466188,11.353195692,11.39866575,0.123110885,6.954876946,1.11278031136,100.7977844,2.015955688,10.71344504,0.535672252,3.961646879,0.031813072,0.860069661,0.003042513
"Bird Island","BI10","BI10.4",145,141,142,141.5,85.1918684,4.25959342,14.8081316,1.48081316,0.272975891,0.027297589,3582.990472,78.58668299,5412.77206,974.2989708,5488.24581,713.4719553,523.0275133,73.223851862,51.81193098,6.2174317176,36760.73258,6616.9318644,3.769043144,0.26383302008,7.155451754,3.86394394716,40.6484082,5.690777148,36.99629166,3.3296662494,7.711571305,0.048823252,9.787053209,1.56592851344,91.25190224,1.8250380448,9.674570314,0.4837285157,4.402169903,0.038260027,0.858893791,0.005791892
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,83.66949487,4.183474744,16.33050513,1.633050513,0.185787318,0.018578732,3079.887722,69.393988,5594.694254,1007.04496572,6436.237221,836.71083873,1149.476822,160.92675508,82.80022216,9.9360266592,6074.810846,1093.46595228,1.250579343,0.08754055401,6.317256008,3.41131824432,67.58862806,9.4624079284,145.146567,13.06319103,5.364596712,0.048444676,20.81297886,3.3300766176,121.0153008,2.420306016,58.14267286,2.907133643,2.650531649,0.028355943,1.955638501,0.006912781
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,84.59367774,4.229683887,15.40632226,1.540632226,0.216122062,0.021612206,1967.834735,47.21852826,2804.420041,504.79560738,5642.915643,733.57903359,253.7523195,35.52532473,42.83579617,5.1402955404,49049.46764,8828.9041752,16.76515491,1.1735608437,16.20702482,8.7517934028,58.21751812,8.1504525368,148.0981288,13.328831592,23.90463007,0.06260096,4.260143181,0.68162290896,85.39705279,1.7079410558,5.057282645,0.25286413225,3.146538486,0.012418503,0.570044874,0.002471594
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,81.40480554,4.070240277,18.59519446,1.859519446,0.204376401,0.02043764,1694.735519,33.88377561,21023.43508,3784.2183144,6500.001765,845.00022945,1574.554031,220.43756434,219.4284939,26.331419268,51904.82693,9342.8688474,14.16367715,0.9914574005,12.29132094,6.6373133076,34.00992075,4.761388905,148.2023206,13.338208854,15.12156246,0.095879915,43.16608535,6.906573656,121.2110164,2.424220328,16.90685979,0.8453429895,2.340809011,0.027559605,2.295847112,0.022916539
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,85.61977529,4.280988764,14.38022471,1.438022471,0.155714357,0.015571436,2752.727597,75.0445044,1243.638909,223.85500362,6176.904031,802.99752403,227.5458294,31.856416116,41.17278862,4.9407346344,34127.39087,6142.9303566,6.771422937,0.47399960559,8.534630865,4.6087006671,31.39605337,4.3954474718,72.11422012,6.4902798108,12.77033613,0.179389774,2.564526013,0.41032416208,95.32051892,1.9064103784,5.156965844,0.2578482922,1.427389453,0.026999745,0.435568334,0.001231962
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,79.80943744,3.990471872,20.19056256,2.019056256,0.281645054,0.028164505,1749.918156,38.72164841,11337.75217,2040.7953906,6093.055388,792.09720044,915.5577505,128.17808507,122.3868181,14.686418172,29114.97389,5240.6953002,5.562421054,0.38936947378,5.623618255,3.0367538577,28.97367916,4.0563150824,93.7163573,8.434472157,5.880620616,0.031702243,24.03856275,3.84617004,119.1548845,2.38309769,15.8979202,0.79489601,2.455216785,0.026686848,1.603626604,0.009780705
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,64.49599226,3.224799613,35.50400774,3.550400774,0.424637677,0.042463768,2718.898178,69.33850126,21256.47654,3826.1657772,9697.311696,1260.65052048,2196.956371,307.57389194,243.6402038,29.236824456,24845.10488,4472.1188784,3.933228837,0.27532601859,4.972003175,2.6848817145,26.9304948,3.770269272,75.23867924,6.7714811316,6.036863844,0.03305887,58.90663431,9.4250614896,121.5336821,2.430673642,34.80855314,1.740427657,3.035214228,0.002861817,3.482291497,0.029947165
"Bird Island","BI10","BI10.5",197,194,195,194.5,84.6167805,4.230839025,15.3832195,1.53832195,0.178709685,0.017870968,3664.07192,100.1547698,4642.258304,835.60649472,7288.66125,947.5259625,660.9863166,92.538084324,67.78989286,8.1347871432,27055.53366,4869.9960588,5.752426608,0.40266986256,6.761396788,3.65115426552,46.72905914,6.5420682796,130.7729603,11.769566427,9.314588371,0.068044927,12.67353344,2.0277653504,118.8967341,2.377934682,12.27077458,0.613538729,4.000698932,0.018011777,1.094034563,0.005286327
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,83.13688985,4.156844492,16.86311015,1.686311015,0.188368399,0.01883684,3848.06892,41.19289408,2367.746797,426.19442346,5866.599826,762.65797738,234.8825033,32.883550462,42.2400533,5.068806396,70333.76898,12660.0784164,6.816523388,0.47715663716,10.88241106,5.8765019724,68.09335946,9.5330703244,90.27805952,8.1250253568,12.34294185,0.16755276,2.553601126,0.40857618016,85.79649547,1.7159299094,5.275218799,0.26376093995,3.910548282,0.038689543,0.525755101,0.007880519
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,79.05956449,3.952978225,20.94043551,2.094043551,0.264956368,0.026495637,3024.167109,28.86847469,21467.56946,3864.1625028,6764.508083,879.38605079,1293.229498,181.05212972,160.5283798,19.263405576,107255.388,19305.96984,11.84941346,0.8294589422,9.702568502,5.23938699108,34.46389212,4.8249448968,255.5835815,23.002522335,14.42470471,0.069185362,25.70637949,4.1130207184,111.2286921,2.224573842,16.62081972,0.831040986,2.773325809,0.03176745,1.704581666,0.021768116
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,84.98142525,4.249071263,15.01857475,1.501857475,0.168317087,0.016831709,3706.069884,86.41481399,3810.216932,685.83904776,8457.047616,1099.41619008,430.4165299,60.258314186,73.63658302,8.8363899624,46161.88967,8309.1401406,10.70451145,0.7493158015,8.361148745,4.5150203223,60.20244341,8.4283420774,399.0691035,35.916219315,17.48268627,0.198162364,6.149324503,0.98389192048,136.1592518,2.723185036,8.204676276,0.4102338138,3.749120605,0.024650014,0.747638528,0.004995818
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,81.1801616,4.05900808,18.8198384,1.88198384,0.221334128,0.022133413,7511.379127,223.8801072,2179.747422,392.35453596,7198.222186,935.76888418,389.6638198,54.552934772,51.31483509,6.1577802108,28337.51625,5100.752925,6.228678054,0.43600746378,7.693387104,4.15442903616,73.19734621,10.2476284694,48.4428199,4.359853791,7.838729242,0.124651229,4.534790413,0.72556646608,116.7915838,2.335831676,9.348601732,0.4674300866,3.415881262,0.066169411,0.749361277,0.007417022
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,83.17463361,4.158731681,16.82536639,1.682536639,0.198638202,0.01986382,3917.962311,74.2155094,2601.638721,468.29496978,6524.805309,848.22469017,301.303437,42.18248118,64.81180749,7.7774168988,68261.38783,12287.0498094,16.02760991,1.1219326937,12.99158529,7.0154560566,116.9107903,16.367510642,232.0043335,20.880390015,14.95444042,0.169784194,3.037488827,0.48599821232,95.07661499,1.9015322998,4.985074292,0.2492537146,3.090751455,0.020183412,0.448381306,0.005306797
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,84.44773905,4.222386952,15.55226095,1.555226095,0.177747431,0.017774743,4680.104734,586.151653,2160.208858,388.83759444,6240.983611,811.32786943,344.5794406,48.241121684,41.07148346,4.9285780152,23779.92504,4280.3865072,0.986560337,0.06905922359,4.505779401,2.43312087654,32.9760233,4.616643262,29.80921049,2.6828289441,6.793606115,0.069503372,5.026836978,0.80429391648,101.292967,2.02585934,7.527120756,0.3763560378,1.7765461,0.019867709,0.69790539,0.001405959
"Bird Island","BI10","BI10.7",271,265,266,265.5,85.67958003,4.283979001,14.32041997,1.432041997,0.148754132,0.014875413,4753.263651,653.2476809,2135.960113,384.47282034,7771.356271,1010.27631523,232.314161,32.52398254,56.87091915,6.824510298,58747.48129,10574.5466322,23.84445704,1.6691119928,14.66999494,7.9217972676,145.5334854,20.374687956,316.1883316,28.456949844,15.17453377,0.147209444,2.699363842,0.43189821472,119.6977813,2.393955626,5.881017729,0.29405088645,3.15990626,0.005576577,0.499045891,0.00796755
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,84.86245119,4.24312256,15.13754881,1.513754881,0.207020337,0.020702034,3716.413631,63.81448751,1942.49545,349.649181,6196.60628,805.5588164,227.4128172,31.837794408,39.2756349,4.713076188,49872.72804,8977.0910472,36.34308788,2.5440161516,15.10269284,8.1554541336,49.70613596,6.9588590344,205.2689039,18.474201351,12.76796013,0.043601511,2.511699688,0.40187195008,99.83622626,1.9967245252,5.366567931,0.26832839655,1.246594212,0.013360443,0.429107176,0.003204618
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,81.18525035,4.059262517,18.81474965,1.881474965,0.208570691,0.020857069,4199.690674,81.21750475,643.1526044,115.767468792,6725.623999,874.33111987,263.8954581,36.945364134,55.60667563,6.6728010756,73040.17367,13147.2312606,35.13097178,2.4591680246,14.43173082,7.7931346428,80.36054861,11.2504768054,206.0678435,18.546105915,16.9214082,0.263096896,3.349219592,0.53587513472,110.4667193,2.209334386,6.491956622,0.3245978311,3.493072909,0.039826018,0.610606448,0.001338725
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,80.63662046,4.031831023,19.36337954,1.936337954,0.217571512,0.021757151,3127.488942,35.02606732,661.9708417,119.154751506,5960.306307,774.83981991,277.5603378,38.858447292,54.76131918,6.5713583016,74836.34761,13470.5425698,16.81953054,1.1773671378,12.65956686,6.8361661044,78.52750915,10.993851281,100.7202187,9.064819683,15.16180663,0.331171028,3.120629768,0.49930076288,95.05242503,1.9010485006,6.318871737,0.31594358685,3.874266683,0.031053551,0.552785654,0.004543821
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,79.31158754,3.965579377,20.68841246,2.068841246,0.286703829,0.028670383,2256.343461,33.09058136,1745.183529,314.13303522,6654.679504,865.10833552,691.4862269,96.808071766,80.6250656,9.675007872,65108.07757,11719.4539626,25.16163647,1.7613145529,12.05911704,6.5119232016,51.06064778,7.1484906892,130.9239492,11.783155428,14.08609213,0.26063734,9.077687309,1.45242996944,109.9097917,2.198195834,13.10956878,0.655478439,4.086498841,0.00643734,0.973432922,0.009359448
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,85.15747699,4.257873849,14.84252301,1.484252301,0.17652867,0.017652867,1913.800621,31.98948586,543.4726901,97.825084218,6154.781584,800.12160592,244.2716404,34.198029656,70.96066682,8.5152800184,88890.89611,16000.3612998,11.55396277,0.8087773939,9.165262456,4.94924172624,50.54112884,7.0757580376,83.34916521,7.5014248689,17.61827763,0.432720307,2.400125578,0.38402009248,92.99111859,1.8598223718,4.823094008,0.2411547004,4.499188133,0.02272668,0.436569956,0.006324564
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,82.30218853,4.115109426,17.69781147,1.769781147,0.241308675,0.024130868,1062.510848,14.90439106,2704.115972,486.74087496,4314.171561,560.84230293,390.264881,54.63708334,272.5348429,32.704181148,76198.44633,13715.7203394,13.36853596,0.9357975172,9.036215502,4.87955637108,35.29243706,4.9409411884,141.7452321,12.757070889,16.48089604,0.082550766,13.28023284,2.1248372544,54.97448254,1.0994896508,14.95585253,0.7477926265,3.349093001,0.037822983,0.815362521,0.010288198
