Location,Site,Section,sample,field_depth_top,field_depth_bottom,field_depth_mid,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
