"Location","Site","Section","site_depth","uid","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Co","Co_ICP","Ni","Ni_ICP","Cu","Cu_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","C_org_pc","Dry_mass"
"Bird Island","BI10","BI10.1",1.0006,"BI10_1.0006",1,0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,20689.8181818182,52220.3636363636,1.32909090909091,8.63636363636364,1782.206118,42,1557.061769,15.2727272727273,134.9563972,16.3636363636364,34.34524027,5450.54545454545,13959.03161,68.9090909090909,0.738789575,172.727272727273,2.467420581,88,4.369649931,8,22.90793616,26.1818181818182,2.288761162,28.7272727272727,26.58846642,792.363636363636,2.896325963,38213.7272727273,5590.27272727273,6.83609068627273,0.146376584727273,52.34,12.51
"Bird Island","BI10","BI10.1",1.0045,"BI10_1.0045",4,3.9,5,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,24515.9166666667,60507.1666666667,1.32166666666667,10.4166666666667,1331.46149,43.0833333333333,1397.543318,12.8333333333333,79.78694045,35.6666666666667,28.06949723,5083.58333333333,9355.988249,81.5833333333333,0.761205508,238.75,2.98969441,98.9166666666667,3.255429522,0.545454545454546,12.50967591,56.5,1.525038372,2.08333333333333,25.05462045,898.5,2.113253146,45226.25,6602.41666666667,6.85367335291667,0.145989151583333,45.15,10.49
"Bird Island","BI10","BI10.1",1.0123,"BI10_1.0123",10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,21782.6666666667,52798.3333333333,1.29166666666667,9.83333333333333,1545.22611,56.5,2547.021617,12.5,340.544392,12.9166666666667,37.1899001,1170,3942.206507,33.0833333333333,1.745989306,191.916666666667,3.556521683,71.25,5.828405269,4.33333333333333,13.94648753,28.5833333333333,4.398970104,10.25,46.4043754,921.5,6.431024383,42093.8333333333,6060.5,6.94940689116667,0.143955505083333,45.34,13.62
"Bird Island","BI10","BI10.1",1.0272,"BI10_1.0272",22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,21759.5833333333,52292.1666666667,1.33,11.3333333333333,4972.490853,125.083333333333,6361.863436,31.9166666666667,1070.668936,28.5,59.55046887,1496.25,4568.280308,50.1666666666667,1.171208352,203.333333333333,7.052448962,87.4166666666667,18.80830619,90.9166666666667,83.1136075,74.3333333333333,19.01381163,248.083333333333,121.9608593,840.25,35.64216716,40802.6666666667,6037.25,6.75858272008333,0.148022999166667,36.35,19.66
"Bird Island","BI10","BI10.1",1.0367,"BI10_1.0367",30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,22119.4,57449,1.346,26.3,16457.36219,217.7,8442.247188,75.3,1962.99309,44.1,148.1529747,7994.7,18556.10587,144.2,14.98993637,213,9.844407416,137.5,25.3957986,74.1,90.06087679,47,43.16823811,349.4,150.558177,793.2,40.9140318,38550.7,6177,6.2410442383,0.1602627916,30.99,21.79
"Bird Island","BI10","BI10.1",1.0414,"BI10_1.0414",34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,23491.9090909091,61638.1818181818,1.34909090909091,11.0909090909091,10808.43657,171.727272727273,8467.75867,33.0909090909091,1538.231355,36.4545454545455,149.1109339,10621.2727272727,34440.81517,258.181818181818,4.788646274,227.454545454545,10.02079263,143,25.1006547,17.4545454545455,83.32372544,5.63636363636364,21.08188416,148.181818181818,145.2111951,831.454545454545,27.74345656,40697.0909090909,6303.27272727273,6.45711631990909,0.154934023454545,23.49,19.47
"Bird Island","BI10","BI10.2",1.0464,"BI10_1.0464",51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,24155,62053.0909090909,1.37454545454545,10.7272727272727,2479.827204,228.909090909091,6975.196896,50.1818181818182,301.0170716,39.3636363636364,55.70453095,8172.09090909091,26327.35852,189.636363636364,17.04437568,225.454545454545,9.672030755,133.090909090909,30.70187991,197.363636363636,154.2471074,63.5454545454545,5.28425398,302.909090909091,110.8952002,884.090909090909,6.355756988,42397,6672.27272727273,6.35744417863636,0.157412857545455,43.41,15.14
"Bird Island","BI10","BI10.2",1.0498,"BI10_1.0498",54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,23782.5454545455,58865.8181818182,1.30272727272727,12.5454545454545,23399.21394,216,7326.374157,30.3636363636364,1904.013462,32,235.7531016,4413.27272727273,20544.92897,77.0909090909091,5.701846016,238.636363636364,6.289145655,130.636363636364,12.23274868,14.6363636363636,56.72463202,48.0909090909091,58.41930414,221,153.965778,970.545454545454,31.40903404,43566.6363636364,6609.09090909091,6.59292733472727,0.151714599818182,24.64,22.37
"Bird Island","BI10","BI10.2",1.0589,"BI10_1.0589",62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,23787.4545454545,55955.6363636364,1.37,5,867.9986358,181.727272727273,5816.665099,17.0909090909091,225.6496719,39.8181818181818,36.54824658,1072.81818181818,2355.109726,23.4545454545455,1.54911114,231.272727272727,7.635178907,132.727272727273,44.61646774,143.545454545455,109.0593506,15.6363636363636,3.560602291,213.909090909091,97.81476508,884.818181818182,6.255310392,44227.8181818182,6491.09090909091,6.81663246718182,0.146753534090909,44.52,12.21
"Bird Island","BI10","BI10.2",1.0646,"BI10_1.0646",67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,22661.4166666667,55280.3333333333,1.31916666666667,17.8333333333333,7766.606331,251.666666666667,9084.977882,54.5,1442.000824,49.1666666666667,88.46094721,2572.33333333333,6242.966621,69.6666666666667,4.068857773,210.583333333333,5.960197779,154.416666666667,36.59073739,464.916666666667,261.6355831,122.333333333333,30.36236272,570.166666666667,168.0404108,903.166666666667,30.42377281,40818.8333333333,6431.91666666667,6.34778948108333,0.157657004,40.28,22.98
