"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,4920.26934220119,NA,254.461762755566,283.189658599653,13400.3536152465,4.08476256724317,200.981320297776,NA
"Ca","RF",0.735527332461216,0.365951565797704,0.371218256028587,4461.30004303141,NA,NA,NA,13400.3536152465,3.95632263861606,176.503423579039,NA
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,NA,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,NA
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,NA
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,NA
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,NA
