"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"BI10",0.1,-63.4,NA,NA,NA,NA
"BI10",0.2,-61.7,-8.55071086,178.665727382255,115.228442581904,277.027454556982
"BI10",0.3,-60.1,NA,NA,NA,NA
"BI10",0.4,-58.6,-6.656003255,648.017554718305,417.931601600164,1004.77386638218
"BI10",0.5,-57,-6.970944676,523.092137836495,337.36236519934,811.07264144498
"BI10",0.6,-55.5,NA,NA,NA,NA
"BI10",0.7,-53.9,NA,NA,NA,NA
"BI10",0.8,-52.4,-8.028881448,254.769856818605,164.31094115333,395.029567037796
"BI10",0.9,-50.8,-7.566052182,349.00439534679,225.086442258785,541.143512461487
"BI10",1,-49.3,-6.888419543,553.285814043448,356.835435586845,857.888991653177
"BI10",1.1,-47.7,-9.003414599,131.325381609989,84.6968213552087,203.624593922835
"BI10",1.2,-46.1,NA,NA,NA,NA
"BI10",1.3,-44.6,NA,NA,NA,NA
"BI10",1.4,-43,-7.243104436,434.714278184314,280.364062975125,674.039681305644
"BI10",1.5,-41.4,-8.969338302,134.403968427034,86.6823211456769,208.398050377268
"BI10",1.6,-39.8,NA,NA,NA,NA
"BI10",1.7,-38.3,-7.807891222,296.081267509971,190.954268805325,459.084353121654
"BI10",1.8,-36.7,-7.48648591,368.407470055798,237.600236105972,571.228657922626
"BI10",1.9,-35.1,NA,NA,NA,NA
"BI10",2,-33.6,-8.5101434,183.66298740381,118.451368981373,284.775880871386
"BI10",2.1,-32,-7.905195798,277.124498244448,178.728314612234,429.691219848723
"BI10",2.2,-30.4,NA,NA,NA,NA
"BI10",2.3,-28.8,-8.14458242,235.493651227779,151.87897011074,365.141136578391
"BI10",2.4,-27.2,-7.84360351,288.977726208693,186.372920088057,448.070064069881
"BI10",2.5,-25.7,NA,NA,NA,NA
"BI10",2.6,-24.1,NA,NA,NA,NA
"BI10",2.7,-22.5,-7.731515123,311.864786215536,201.133670896323,483.55725049833
"BI10",2.8,-20.9,-7.678696487,323.269515575615,208.489022263843,501.240681958995
