"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.170331554976755,0.088383157477021,4.369649931,0.022750235,14.8004496560797,-30.8547729135608,60.4556722257201
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.167079536169283,0.0826286908544678,3.255429522,0.010150183,13.8914620218644,-31.772241473772,59.5551655175008
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.13605323992119,0.102293927480184,5.828405269,0.020076539,5.21915066861593,-40.5514567052245,50.9897580424564
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.169709693008281,0.0903874055593321,18.80830619,0.176446353,14.6266299849779,-31.0301742769366,60.2834342468924
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.242977716007442,0.0891687571124245,25.3957986,0.092788179,35.106132359508,-10.4950439912903,80.7073087103062
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.234519527423291,0.080556908908718,25.1006547,0.200410389,32.7419428249367,-12.8521755704537,78.336061220327
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.236813035032382,0.0477878099927342,12.41602198,0.076135345,33.383012320246,-12.2126722030162,78.9786968435082
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.221546766259649,0.0646250595134051,30.70187991,0.12301453,29.1158630949287,-16.4742684559001,74.7059946457575
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.231578132542993,0.0976110184749952,12.23274868,0.369735042,31.9197791992554,-13.6727093851803,77.512267783691
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.247284605153668,0.114675486299497,44.61646774,0.152122701,36.3099719458167,-9.29615000854398,81.9160939001775
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.279006883717156,0.0671850000032428,36.59073739,0.331067449,45.176820709757,-0.493789252140964,90.847430671655
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.359492820832831,0.0829530746724808,34.06414422,0.025144385,67.673837454642,21.6195384123377,113.728136496946
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.325247155839018,0.094008160733922,39.61078518,0.154761353,58.1016646451452,12.2489470809766,103.954382209314
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.253444198685762,0.0670947219280605,37.01157435,0.426171368,38.0316699690881,-7.58310938631394,83.6464493244902
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.196781492596052,0.138423405291773,25.20300712,0.083140624,22.193600693972,-23.411910158803,67.799111546747
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.192395553258796,0.0804314786194577,18.81424853,0.085012501,20.9676654033076,-24.6437127796261,66.5790435862414
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.186072919083222,0.0737211086103673,19.39416739,0.073912797,19.2003950947661,-26.4211045443348,64.821894733867
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.226970926745551,0.0779795969827424,42.10225675,0.101834918,30.6319966413755,-14.9587946140844,76.2227878968353
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.30746472701958,0.0729350285272296,62.86286744,0.567434644,53.1312112559939,7.36083964803856,98.9015828639493
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.250588166592037,0.0588920212413979,77.32937965,0.189230748,37.2333665121238,-8.37716683081673,82.8438998550643
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.291899640420147,0.0692063574472133,40.6484082,0.139015902,48.7805380028545,3.0696281140974,94.4914478916116
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.331957832268856,0.076832771449813,67.58862806,0.371106986,59.9773985363291,14.0896262020657,105.865170870593
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.280998177958004,0.11336610528165,58.21751812,0.419583377,45.7334170728703,0.0571134987314892,91.4097206470091
