"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,10.6089613409039,1.65742174255479,13959.03161,176.5369365,13567.7650937892,-20250.4057992786,47385.935986857
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,8.5189671829483,1.01203222473737,9355.988249,27.23893955,10969.8766209321,-22856.7768098118,44796.5300516759
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,2.25278621676606,0.379723034940704,3942.206507,48.5012016,3180.9365232213,-30693.2215787423,37055.0946251849
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,2.91306487742071,0.2630780741355,4568.280308,27.82191253,4001.67102855895,-29865.9235842194,37869.2656413373
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,14.1064536367579,1.37336368486013,18556.10587,33.23324312,17915.1910828616,-15897.036001635,51727.4181673583
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,17.468460595723,1.20414940989301,34440.81517,173.6494448,22094.207129923,-11722.0473723126,55910.4616321586
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,11.2478629598111,1.74856945599221,25853.87296,38.38777974,14361.927673015,-19454.3861292388,48178.2414752687
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,1.87715809073292,0.317940486714373,26327.35852,199.5705658,2714.02613737746,-31164.0293736262,36592.0816483811
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,1.5168973767904,0.143285114747633,20544.92897,1107.050592,2266.2176339843,-31615.6871754848,36148.1224434534
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,4.88370049109785,0.544305679820571,2355.109726,9.689444316,6451.1953611922,-27398.9902955018,40301.3810178862
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,3.69278129574849,0.618670174427139,6242.966621,15.13819392,4970.86813734543,-28889.4476966753,38831.1839713662
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,3.76888090461965,0.414669370944667,3694.801697,28.74082309,5065.46088820206,-28794.1719324202,38925.0937088243
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,3.17328966208688,0.528289330409317,6284.597012,38.94604963,4325.1336400991,-29539.9748907335,38190.2421709316
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,2.16718834393188,0.196187361031512,3753.765384,11.81590071,3074.5373133046,-30800.4984993921,36949.5731260013
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,6.18525076715079,1.27826565276195,11390.75321,93.133272,8069.03838057627,-25771.4418279118,41909.5185890644
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,6.16748790176021,0.57903152661915,7073.372392,64.24483976,8046.95892017805,-25793.6441371561,41887.5619775122
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,2.90103719966778,0.984239946009907,1987.252608,27.50554815,3986.72047701284,-29880.9904198791,37854.4313739048
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,11.8737936236481,1.24755735373875,15892.74003,5.384076861,15139.9671953745,-18674.861524489,48954.7959152379
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,2.65932234413655,0.970336888832118,4238.013215,41.30378848,3686.26593530391,-30183.8076509284,37556.3395215362
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,24.2436479948748,1.751503538999,3019.385269,15.63993365,30515.8484913135,-3337.51025096429,64369.2072335913
