"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
"PLS_LOO",0.605940022011523,0.388440903375382,0.391554198151312,NA,NA,1,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"PLS_kfold",0.605940022011523,0.388440903375382,0.391554198151312,NA,NA,2,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"OLS",0.605940022011523,0.388440903375382,0.391554198151312,259.701823511304,270.474784452837,3,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"Bayes",0.605940016001584,0.388440906337502,0.39155455936524,259.701827598661,270.474788540193,4,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"WLS_weighted",0.605197017350042,0.38880693583257,NA,262.010925381086,272.783886322619,5,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"OLS_weighted",0.588442221601662,0.396971381054182,NA,330.646390635536,341.419351577069,6,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
"RF",0.511797442727793,0.432358315453295,0.439186426890549,NA,NA,7,"Models are ranked by: (1) R² highest → lowest; (2) RMSEP lowest → highest; (3) RMSE lowest → highest. RMSEP is emphasised over RMSE because it reflects predictive performance under cross-validation. AIC/BIC are reported but not used for ranking.","R² = 1 − SS_res/SS_tot; fraction of variance explained (higher is better).","RMSE: calibration error (lower is better).","RMSEP: cross-validated predictive error (lowest values preferred)."
