"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_Score","Robust_Rank","Global_Rank","Roughness_norm","Unstable_flag","Production_Model","Is_Production_Model","Robustness_Class"
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,4920.26934220119,NA,254.461762755566,283.189658599653,13400.3536152465,4.08476256724317,200.981320297776,NA,2,11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,1831.36426414733,0.899567431356569,0.953616918577853,0.880647680058839,0.910106352133635,1,1,0.08242287265973,FALSE,"Bayes",TRUE,"Preferred 1"
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA,3,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.862389242792692,0.841822525502885,0.851445644076153,0.852936147990788,2,2,0,FALSE,"Bayes",FALSE,"Acceptable 2"
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA,4,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.862389242792692,0.841822525502885,0.851445644076153,0.852936147990788,3,3,0,FALSE,"Bayes",FALSE,"Acceptable 3"
"Ca","RF",0.734447503581713,0.366697885888916,0.371218256028587,4496.46080402109,NA,NA,NA,13400.3536152465,3.96631751249651,178.34391231243,NA,1,11028.4199730965,17253.4057748509,2.4526890044797,0.455455181405706,3.56802469359047,2202.38191489179,1,0,1,0.7,4,4,1,TRUE,"Bayes",FALSE,"Unstable"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,0.984015611827714,0.991697784162454,0,0.691115579979822,5,5,0.325567306581017,FALSE,"Bayes",FALSE,"Unstable"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,5,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.774539877994865,0.996772576301247,0.0341576003322296,0.619095004187989,6,6,0.317616296313721,FALSE,"Bayes",FALSE,"Unstable"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00557256838678322,0.999949574431382,0.0295397098315424,0.31107581263359,7,7,0.0553169879451392,FALSE,"Bayes",FALSE,"Unstable"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,1,0.0291855726955249,0.308755671808657,8,8,0.0461697448340097,FALSE,"Bayes",FALSE,"Unstable"
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,19165.0781241486,NA,522.979148483121,533.752109424654,21584.5758201723,6.6620416902927,1276.78549460795,NA,8,15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,3273.68555088834,1,0.95148110806815,0,0.685444332420445,1,1,0.0403696837015108,FALSE,"OLS_weighted",TRUE,"Preferred 1"
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13054.643263387,NA,438.148736470006,466.876632314093,21584.5758201723,5.66838416419403,739.987331433851,NA,2,20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,7181.67439484506,0.572207111049672,0.332214264867513,0.812941816982684,0.572429668974928,2,2,0.552831988183925,FALSE,"OLS_weighted",FALSE,"Acceptable 2"
