Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-2.98103716,-0.767578792,-2.345884202,-1.946560243,4.155324006,-0.803575425,0.703849506,-0.251610327,-3.185062353,-2.78558991,-2.321797533,2.225453996,6.112981185,4.191087251,0.146376585,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.003886984,3631,41,1782,521,1557,24,135,2,34,0,13959,177,0.74,0.01,2.47,0.02,4.37,0.02,22.91,0.06,1.59,0.01,2.29,0.01,26.59,0.46,2.9,0.09,1.44,0.01,0.19,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-2.755921689,-0.894428333,-2.502278318,-1.163270891,3.908789392,-0.41443066,0.849372726,-0.118906829,-3.922213837,-1.940861951,-3.507188195,2.177893464,6.103974465,4.179470656,0.145989152,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,0,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.003613515,2188,58,1331,523,1398,17,80,1,28,0,9356,27,0.76,0,2.99,0.02,3.26,0.01,12.51,0.17,1.33,0.02,1.53,0.01,25.05,0.19,2.11,0.04,2.37,0.02,0.11,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-2.505148149,-0.23111857,-1.888550623,-2.100589775,2.82080103,-1.633479576,1.016599899,-0.405780057,-3.166269882,-2.636462172,-2.745337407,2.584437106,6.414675565,4.476222613,0.143955505,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.003010999,2539,60,1545,590,2547,33,341,5,37,0,3942,49,1.75,0,3.56,0.01,5.83,0.02,13.95,0.04,1.74,0.03,4.4,0.05,46.4,0.52,6.43,0.08,1.82,0.01,0.39,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-3.167689593,-0.386396844,-1.848938187,-1.896329693,2.103870805,-1.808746923,0.10809045,-0.87552325,-1.086096427,-1.86475888,0.283182209,1.524601401,5.412667964,3.502066967,0.148022999,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.003202734,6655,134,4972,1374,6362,96,1071,11,60,0,4568,28,1.17,0.01,7.05,0.06,18.81,0.18,83.11,1.2,4.8,0.05,19.01,0.11,121.96,0.84,35.64,0.68,5.7,0.05,2.21,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-2.740641009,-0.30241259,-1.418930394,-1.964979555,3.300910602,-0.773030156,-0.331505888,-0.828806928,-1.472979162,-2.515706873,0.126757141,0.990172415,4.881098103,3.050054293,0.160262792,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.00242683,3727,91,16457,3981,8442,102,1963,30,148,0,18556,33,14.99,0.05,9.84,0.04,25.4,0.09,90.06,0.83,7.18,0.06,43.17,0.83,150.56,2.59,40.91,0.92,4.94,0.07,4.04,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-3.156067766,-0.062600474,-1.81133849,-1.749503269,4.065444657,0.32376374,0.211139681,-0.302331379,-3.04005716,-4.270946483,-0.682451987,1.515214948,5.412351494,3.547382488,0.154934023,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.003348951,3202,83,10808,2190,8468,27,1538,8,149,0,34441,174,4.79,0.04,10.02,0.1,25.1,0.2,83.32,0.68,7.88,0.07,21.08,0.09,145.21,2.4,27.74,3.95,7.41,0.1,2.2,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-3.217537635,-0.167829959,-2.06170206,-2.44024756,3.130644953,-0.487779104,-0.297864024,-0.73909852,-0.114937323,-3.012761494,0.213719166,1.07951738,4.986909629,3.12896655,0.156005654,7.572611468,30.23978248,14.82640288,16.00694294,1156.003537,73.9541149,38.77929001,30.11016809,53.05091894,51.60415573,85.43750152,126.1787092,801.7086545,145.3142572,0.002073748,1395,24,66669,13007,10818,94,3007,14,499,6,25854,38,6.38,0.02,9.33,0.03,12.42,0.08,63.36,0.32,4.41,0.04,138.2,2.07,165.87,2.61,60.55,6.69,3.51,0.04,10.86,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-3.113580671,0.435687656,-2.721570361,-1.546552115,2.086180908,-1.095407209,0.586172163,-0.078672035,-3.911169966,-3.195706507,0.793750601,1.960324151,5.8529021,3.947641286,0.148821988,8.412112479,15.58437446,14.03890698,16.98716093,180.1123892,35.1692014,31.43044268,36.71908099,10.8544084,61.23605593,99.87519485,95.6230288,298.8807302,161.2279583,0.003551217,3385,93,2480,632,6975,68,301,4,56,1,26327,200,17.04,0.07,9.67,0.06,30.7,0.12,154.25,0.91,10.65,0.18,5.28,0.05,110.9,2.07,6.36,0.11,2.86,0.01,0.73,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-3.541231519,0.470610208,-2.916368729,-1.309904276,2.049692728,-1.765673706,0.794082135,0.060786091,-3.054178898,-2.703517641,-0.364787397,2.134921064,6.030930878,4.114639063,0.147191486,7.751832628,17.37239189,9.277538859,15.54348738,82.92022453,34.7000131,31.40787394,54.47635016,22.21260903,36.03634529,97.45460482,63.17407408,466.7517541,176.81742,0.003572464,3002,50,23399,3611,7326,350,1904,93,236,14,20545,1107,5.7,0.23,6.29,1.77,12.23,0.37,56.72,1.51,5.24,0.02,58.42,1.65,153.97,1.95,31.41,0.6,6.32,0.12,4.86,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-2.934869808,-0.178227184,-2.009621066,-1.940706222,2.086896423,-1.502082702,-0.494394775,-1.00806285,0.427841346,-1.782491553,0.552432147,0.982776492,4.821220332,2.979289421,0.158576434,20.3951866,43.27922029,47.76685804,34.30160346,263.6502504,18.13334447,28.72281323,61.3413697,70.33116469,115.2347801,175.5829252,100.4752344,1545.351746,213.911239,0.004789498,4341,111,868,404,5817,71,226,2,37,0,2355,10,1.55,0.01,7.64,0.08,44.62,0.15,109.06,0.74,6.93,0.1,3.56,0.04,97.81,1.18,6.26,0.14,4.71,0.01,0.62,0.00212764
