Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-2.98103716,-0.767578792,-2.345884202,-1.946560243,4.155324006,-0.803575425,0.703849506,-0.251610327,-3.185062353,-2.78558991,-2.321797533,2.225453996,6.112981185,4.191087251,0.146376585,1.283887921,0.367948291,1.167414324,1.068996205,0.307593462,1.317763584,0.304640482,1.118132112,1.364293545,1.924092782,1.580747497,0.392618832,0.293902227,0.301206975,0.003886984,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-2.755921689,-0.894428333,-2.502278318,-1.163270891,3.908789392,-0.41443066,0.849372726,-0.118906829,-3.922213837,-1.940861951,-3.507188195,2.177893464,6.103974465,4.179470656,0.145989152,1.083153215,0.340467128,1.076910104,0.581624816,0.277884527,0.758865334,0.26564977,0.473087312,0.224443366,2.045021382,0.612504827,0.216116952,0.226915703,0.220032284,0.003613515,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-2.505148149,-0.23111857,-1.888550623,-2.100589775,2.82080103,-1.633479576,1.016599899,-0.405780057,-3.166269882,-2.636462172,-2.745337407,2.584437106,6.414675565,4.476222613,0.143955505,1.314630047,0.378746993,0.679412571,0.977399829,0.33820583,1.61495762,0.318311159,0.999989198,0.881485308,2.013662319,1.10743998,0.309446066,0.304713002,0.307527432,0.003010999,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-3.167689593,-0.386396844,-1.848938187,-1.896329693,2.103870805,-1.808746923,0.10809045,-0.87552325,-1.086096427,-1.86475888,0.283182209,1.524601401,5.412667964,3.502066967,0.148022999,0.949485011,0.301932795,0.608291526,0.221231532,0.288948287,1.256676058,0.274381601,0.547861215,1.091600981,1.772647859,0.314768051,0.250917833,0.263318891,0.269985629,0.003202734,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-2.740641009,-0.30241259,-1.418930394,-1.964979555,3.300910602,-0.773030156,-0.331505888,-0.828806928,-1.472979162,-2.515706873,0.126757141,0.990172415,4.881098103,3.050054293,0.160262792,0.726742896,0.212248436,0.28280393,0.427379648,0.245574025,0.513425695,0.287999244,0.35543793,0.53681579,1.532402073,0.43196721,0.286976583,0.20121224,0.200007216,0.00242683,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-3.156067766,-0.062600474,-1.81133849,-1.749503269,4.065444657,0.32376374,0.211139681,-0.302331379,-3.04005716,-4.270946483,-0.682451987,1.515214948,5.412351494,3.547382488,0.154934023,0.979891887,0.23087618,0.629043988,0.605818561,0.235029473,0.196695285,0.262360578,0.432887739,1.344850415,1.193469607,1.397866666,0.276251156,0.230843387,0.230620372,0.003348951,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-3.217537635,-0.167829959,-2.06170206,-2.44024756,3.130644953,-0.487779104,-0.297864024,-0.73909852,-0.114937323,-3.012761494,0.213719166,1.07951738,4.986909629,3.12896655,0.156005654,0.95973027,0.222422,0.369069843,0.808312594,0.282652559,0.325470407,0.259666393,0.224401578,0.263511624,1.883516793,0.198882457,0.183496032,0.225848729,0.229966922,0.002073748,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-3.113580671,0.435687656,-2.721570361,-1.546552115,2.086180908,-1.095407209,0.586172163,-0.078672035,-3.911169966,-3.195706507,0.793750601,1.960324151,5.8529021,3.947641286,0.148821988,1.439078803,0.198061322,1.161195893,0.887641729,0.232555353,1.109657603,0.120638561,0.29369262,0.853848797,2.012947223,0.324085747,0.1742583,0.155747046,0.160285994,0.003551217,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-3.541231519,0.470610208,-2.916368729,-1.309904276,2.049692728,-1.765673706,0.794082135,0.060786091,-3.054178898,-2.703517641,-0.364787397,2.134921064,6.030930878,4.114639063,0.147191486,1.345554726,0.244546018,1.041945953,0.508476622,0.276313553,1.277659664,0.316061931,0.636905214,1.310468991,1.870835203,1.679686637,0.243331896,0.266683558,0.269287267,0.003572464,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-2.934869808,-0.178227184,-2.009621066,-1.940706222,2.086896423,-1.502082702,-0.494394775,-1.00806285,0.427841346,-1.782491553,0.552432147,0.982776492,4.821220332,2.979289421,0.158576434,0.932408726,0.266109537,1.073494289,0.491961659,0.257649039,0.266205003,0.407359976,0.553008832,0.227728374,1.864239044,0.230451259,0.291656351,0.33402078,0.309851138,0.004789498,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
