Location,Site,Section,sample,min_depth,max_depth,depth,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd,Mo_inc,Mo_coh,Mo_inc_sd,Mo_coh_sd,coh_inc,coh_inc_sd,dry_mass_pc,dry_mass_err
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-1.948807166,-0.367119167,-1.378720078,-1.309727207,4.498682181,0.127999328,1.046925107,0.372548029,-2.025347243,-0.839723578,-0.746941844,2.570231638,-0.097440358,-0.018355958,-0.068936004,-0.06548636,0.224934109,0.006399966,0.052346255,0.018627401,-0.101267362,-0.041986179,-0.037347092,0.128511582,3.885608183,3.750556758,1.304952658,-0.063535642,5.94388292,-3.902741226,-2.696825779,-2.125316186,-0.468515677,-2.771988391,-0.319521556,-2.53655606,0.194280409,0.187527838,0.065247633,-0.003176782,0.297194146,-0.195137061,-0.134841289,-0.106265809,-0.023425784,-0.13859942,-0.015976078,-0.126827803,38213.72727,5590.272727,1611.558568,191.8406062,0.146376585,0.003886984,12.51434728,1.251434728
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-1.415100048,0.004629089,-1.206461183,-0.18429059,4.775264537,0.643117857,1.716909844,0.835770609,-5.463255228,0.275733503,-3.024537961,3.042219571,-0.070755002,0.000231454,-0.060323059,-0.009214529,0.238763227,0.032155893,0.085845492,0.04178853,-0.273162761,0.013786675,-0.151226898,0.152110979,3.842801553,3.891240272,1.028128908,-0.01654745,5.792540942,-3.624082837,-2.256059751,-2.170906705,-0.824728512,-2.929211358,-0.13017267,-2.603002394,0.192140078,0.194562014,0.051406445,-0.000827373,0.289627047,-0.181204142,-0.112802988,-0.108545335,-0.041236426,-0.146460568,-0.006508633,-0.13015012,45226.25,6602.416667,654.3573009,185.3877795,0.145989152,0.003613515,10.48614151,1.048614151
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-1.502868009,0.245594655,-1.262917339,-1.230127516,3.276113044,-0.289616353,1.468415267,0.477548836,-2.322308915,-0.435822186,-1.461368278,3.037356794,-0.0751434,0.012279733,-0.063145867,-0.061506376,0.163805652,-0.014480818,0.073420763,0.023877442,-0.116115446,-0.021791109,-0.073068414,0.15186784,3.483287398,3.983041832,1.970907359,-0.243600909,4.419857742,-3.302316798,-2.590855119,-2.096894706,-1.224410444,-2.378267684,-0.022244378,-1.998504292,0.17416437,0.199152092,0.098545368,-0.012180045,0.220992887,-0.16511584,-0.129542756,-0.104844735,-0.061220522,-0.118913384,-0.001112219,-0.099925215,42093.83333,6060.5,1322.154016,252.6443782,0.143955505,0.003010999,13.6157151,1.36157151
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-2.251195807,0.150036138,-1.215815704,-1.329039956,2.631773213,-0.763593248,0.635902625,-0.208258085,-0.169000707,-0.370384561,0.834820668,2.054755423,-0.11255979,0.007501807,-0.060790785,-0.066451998,0.131588661,-0.038179662,0.031795131,-0.010412904,-0.008450035,-0.018519228,0.041741033,0.102737771,3.71602441,3.962424845,2.180387145,-0.708827592,3.631240352,-4.637615766,-2.842276834,-1.86135317,-0.375443324,-1.850486118,0.008048407,-1.222122354,0.18580122,0.198121242,0.109019357,-0.03544138,0.181562018,-0.231880788,-0.142113842,-0.093067659,-0.018772166,-0.092524306,0.00040242,-0.061106118,40802.66667,6037.25,1078.149453,98.40650847,0.148022999,0.003202734,19.65584023,1.965584023
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-1.871358908,0.242190121,-0.819447712,-1.354468064,3.845606254,-0.169726622,0.220364319,-0.21730393,-0.835512315,-1.290780245,0.715289551,1.53514755,-0.093567945,0.012109506,-0.040972386,-0.067723403,0.192280313,-0.008486331,0.011018216,-0.010865196,-0.041775616,-0.064539012,0.035764478,0.076757377,4.176958452,3.509434053,2.050655921,-0.533324401,4.296984418,-2.824190686,-3.244666235,-2.296986003,-1.031083903,-1.766464758,-0.517220186,-1.820096673,0.208847923,0.175471703,0.102532796,-0.02666622,0.214849221,-0.141209534,-0.162233312,-0.1148493,-0.051554195,-0.088323238,-0.025861009,-0.091004834,38550.7,6177,967.395593,126.3232186,0.160262792,0.00242683,21.79052633,2.179052633
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-2.274864829,0.464916993,-1.181732007,-1.084924447,4.589623529,0.872673457,0.745959817,0.281854029,-1.821390502,-2.951751489,0.31744942,2.04218603,-0.113743241,0.02324585,-0.0590866,-0.054246222,0.229481176,0.043633673,0.037297991,0.014092701,-0.091069525,-0.147587574,0.015872471,0.102109302,3.955722216,3.711661077,2.006028508,-0.327669504,5.114637571,-3.7661123,-3.027697859,-2.109466127,-0.909626728,-2.283945955,-0.354170856,-2.009360043,0.197786111,0.185583054,0.100301425,-0.016383475,0.255731879,-0.188305615,-0.151384893,-0.105473306,-0.045481336,-0.114197298,-0.017708543,-0.100468002,40697.09091,6303.272727,1249.597652,167.3362429,0.154934023,0.003348951,19.47346052,1.947346052
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-2.469100738,0.356480514,-1.483182416,-1.691212329,3.661208442,0.089549386,0.234404,-0.199713715,0.425795914,-1.287832728,0.755743634,1.607860037,-0.123455037,0.017824026,-0.074159121,-0.084560616,0.183060422,0.004477469,0.0117202,-0.009985686,0.021289796,-0.064391636,0.037787182,0.080393002,5.301332087,3.482836136,2.202406108,0.405863119,4.354056096,-3.95365365,-3.573385277,-3.287171863,-1.657264101,-0.877458751,-0.694933144,-1.70262676,0.265066604,0.174141807,0.110120305,0.020293156,0.217702805,-0.197682682,-0.178669264,-0.164358593,-0.082863205,-0.043872938,-0.034746657,-0.085131338,42680.9,6658.3,801.7086545,145.3142572,0.156005654,0.002073748,26.28431951,2.628431951
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-2.043236601,0.941723575,-1.731297551,-0.813700483,2.601755079,-0.2440642,1.097677682,0.465200546,-3.178216534,-0.909532993,1.345381998,2.468309483,-0.10216183,0.047086179,-0.086564878,-0.040685024,0.130087754,-0.01220321,0.054883884,0.023260027,-0.158910827,-0.04547665,0.0672691,0.123415474,2.952421758,3.986593432,0.843644576,-0.843460914,5.314841522,-2.027702126,-2.59428411,-1.439198515,0.175033507,-3.198790952,-0.15493679,-3.014161389,0.147621088,0.199329672,0.042182229,-0.042173046,0.265742076,-0.101385106,-0.129714205,-0.071959926,0.008751675,-0.159939548,-0.00774684,-0.150708069,45251.90909,6734.363636,298.8807302,161.2279583,0.148821988,0.003551217,15.13709242,1.513709242
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-2.438510782,0.919477845,-2.110603908,-0.748800567,2.498536879,-0.692560849,1.246255748,0.618021691,-1.680358771,-0.903410489,0.710518929,2.581434275,-0.121925539,0.045973892,-0.105530195,-0.037440028,0.124926844,-0.034628042,0.062312787,0.030901085,-0.084017939,-0.045170524,0.035525946,0.129071714,4.678959354,3.51773766,2.170220932,0.081286724,4.54887107,-3.640708369,-3.542673119,-2.877381681,-1.343289811,-1.313851969,-0.344767997,-1.934402794,0.233947968,0.175886883,0.108511047,0.004064336,0.227443553,-0.182035418,-0.177133656,-0.143869084,-0.067164491,-0.065692598,-0.0172384,-0.09672014,45281,6665,466.7517541,176.81742,0.147191486,0.003572464,22.36604891,2.236604891
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-2.046571483,0.304132859,-1.116294509,-1.327358535,2.562289069,-1.003461978,-0.014446719,-0.416226885,0.907825167,-0.373035287,1.063337959,1.459810343,-0.102328574,0.015206643,-0.055814725,-0.066367927,0.128114453,-0.050173099,-0.000722336,-0.020811344,0.045391258,-0.018651764,0.053166898,0.072990517,2.527564231,4.429856457,1.18035776,-0.639992701,3.525716686,-3.800944604,-2.205859542,-0.44052289,0.453266323,-2.968696199,0.344449625,-2.405195147,0.126378212,0.221492823,0.059017888,-0.031999635,0.176285834,-0.19004723,-0.110292977,-0.022026144,0.022663316,-0.14843481,0.017222481,-0.120259757,39740.27273,6298.272727,1545.351746,213.911239,0.158576434,0.004789498,12.20914471,1.220914471
