"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","Mo_inc","Mo_coh","Mo_inc_sd","Mo_coh_sd","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,-1.94880716624657,-0.367119166765369,-1.37872007844385,-1.3097272069569,4.49868218100338,0.127999327795264,1.04692510730743,0.372548029429469,-2.0253472433689,-0.839723577711161,-0.746941844260196,2.5702316382174,-0.0974403583123283,-0.0183559583382684,-0.0689360039221923,-0.0654863603478448,0.224934109050169,0.0063999663897632,0.0523462553653713,0.0186274014714735,-0.101267362168445,-0.0419861788855581,-0.0373470922130098,0.12851158191087,3.88560818306249,3.75055675790579,1.3049526576182,-0.0635356415265467,5.943882920053,-3.90274122642275,-2.69682577915677,-2.12531618636997,-0.468515677217699,-2.77198839105349,-0.319521556420211,-2.53655606047204,0.194280409153125,0.18752783789529,0.06524763288091,-0.00317678207632733,0.29719414600265,-0.195137061321138,-0.134841288957839,-0.106265809318499,-0.0234257838608849,-0.138599419552675,-0.0159760778210106,-0.126827803023602,38213.7272727273,5590.27272727273,1611.55856802718,191.840606186016,0.146376584727273,0.00388698448403857,12.51434728,1.251434728
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,-1.50286800873964,0.24559465473509,-1.26291733910905,-1.23012751628606,3.2761130443745,-0.289616352518116,1.46841526661538,0.477548835731455,-2.32230891462388,-0.435822186039367,-1.46136827783289,3.03735679369257,-0.075143400436982,0.0122797327367545,-0.0631458669554525,-0.0615063758143028,0.163805652218725,-0.0144808176259058,0.0734207633307691,0.0238774417865727,-0.116115445731194,-0.0217911093019683,-0.0730684138916444,0.151867839684629,3.48328739754594,3.9830418315909,1.97090735948023,-0.243600908865024,4.41985774210023,-3.30231679805059,-2.59085511869527,-2.09689470641358,-1.22441044399362,-2.37826768433896,-0.0222443783921444,-1.99850429196811,0.174164369877297,0.199152091579545,0.0985453679740117,-0.0121800454432512,0.220992887105011,-0.165115839902529,-0.129542755934763,-0.104844735320679,-0.0612205221996812,-0.118913384216948,-0.00111221891960722,-0.0999252145984056,42093.8333333333,6060.5,1322.15401615101,252.644378164609,0.143955505083333,0.00301099939000146,13.6157151,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,-2.2511958074379,0.150036138459512,-1.2158157039933,-1.32903995611134,2.63177321348624,-0.763593247865126,0.635902625113298,-0.20825808477765,-0.169000707340877,-0.370384560593939,0.834820667841827,2.05475542321927,-0.112559790371895,0.00750180692297558,-0.060790785199665,-0.0664519978055671,0.131588660674312,-0.0381796623932563,0.0317951312556649,-0.0104129042388825,-0.00845003536704383,-0.0185192280296969,0.0417410333920914,0.102737771160963,3.71602440999666,3.9624248452894,2.18038714473554,-0.708827591890483,3.6312403516383,-4.63761576586541,-2.84227683421096,-1.86135317033261,-0.375443324260563,-1.85048611823537,0.00804840663550585,-1.22212235350002,0.185801220499833,0.19812124226447,0.109019357236777,-0.0354413795945241,0.181562017581915,-0.23188078829327,-0.142113841710548,-0.0930676585166307,-0.0187721662130282,-0.0925243059117683,0.000402420331775292,-0.0611061176750009,40802.6666666667,6037.25,1078.14945273104,98.4065084691603,0.148022999166667,0.00320273418525427,19.65584023,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-1.87135890763456,0.242190121422224,-0.81944771201243,-1.35446806436548,3.8456062542936,-0.169726621967429,0.220364318891147,-0.217303929711652,-0.835512314516237,-1.29078024510822,0.715289550881678,1.53514754982736,-0.093567945381728,0.0121095060711112,-0.0409723856006215,-0.0677234032182739,0.19228031271468,-0.00848633109837147,0.0110182159445574,-0.0108651964855826,-0.0417756157258118,-0.064539012255411,0.0357644775440839,0.0767573774913682,4.17695845215305,3.50943405318882,2.05065592068389,-0.533324400672106,4.29698441782345,-2.8241906861885,-3.24466623455077,-2.29698600257009,-1.03108390301738,-1.76646475756258,-0.517220185829997,-1.82009667345778,0.208847922607653,0.175471702659441,0.102532796034195,-0.0266662200336053,0.214849220891173,-0.141209534309425,-0.162233311727539,-0.114849300128505,-0.0515541951508691,-0.088323237878129,-0.0258610092914999,-0.091004833672889,38550.7,6177,967.395592988377,126.323218592449,0.1602627916,0.00242683010150897,21.79052633,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,-2.27486482946813,0.464916993300126,-1.18173200656464,-1.08492444689481,4.5896235287051,0.872673456953866,0.745959816825469,0.281854028856893,-1.8213905021736,-2.95175148915629,0.317449419599422,2.04218603001661,-0.113743241473406,0.0232458496650063,-0.0590866003282322,-0.0542462223447407,0.229481176435255,0.0436336728476933,0.0372979908412735,0.0140927014428446,-0.09106952510868,-0.147587574457815,0.0158724709799711,0.102109301500831,3.95572221585921,3.7116610766011,2.00602850843823,-0.327669504447657,5.11463757134918,-3.76611229974393,-3.02769785887376,-2.10946612672938,-0.909626728365094,-2.28394595510923,-0.354170855534067,-2.00936004344459,0.19778611079296,0.185583053830055,0.100301425421912,-0.0163834752223829,0.255731878567459,-0.188305614987196,-0.151384892943688,-0.105473306336469,-0.0454813364182547,-0.114197297755461,-0.0177085427767033,-0.100468002172229,40697.0909090909,6303.27272727273,1249.59765160995,167.336242881864,0.154934023454545,0.00334895066566226,19.47346052,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,-2.46910073848453,0.356480513895764,-1.48318241596533,-1.69121232946949,3.66120844190471,0.0895493855490216,0.234404000246008,-0.199713714900078,0.425795914009926,-1.28783272785235,0.755743633673368,1.60786003739299,-0.123455036924226,0.0178240256947882,-0.0741591207982665,-0.0845606164734746,0.183060422095236,0.00447746927745108,0.0117202000123004,-0.00998568574500391,0.0212897957004963,-0.0643916363926175,0.0377871816836684,0.0803930018696493,5.30133208664817,3.48283613644894,2.20240610833466,0.405863119226714,4.3540560961122,-3.95365364951037,-3.57338527707074,-3.28717186323751,-1.65726410096228,-0.8774587514868,-0.694933144142148,-1.70262676036083,0.265066604332409,0.174141806822447,0.110120305416733,0.0202931559613357,0.21770280480561,-0.197682682475519,-0.178669263853537,-0.164358593161876,-0.0828632050481138,-0.04387293757434,-0.0347466572071074,-0.0851313380180417,42680.9,6658.3,801.708654479086,145.314257157835,0.1560056543,0.00207374814577925,26.28431951,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,-2.04323660133289,0.941723575239186,-1.73129755123555,-0.81370048344734,2.60175507884187,-0.244064199715712,1.0976776820656,0.465200545865302,-3.17821653417188,-0.909532992853513,1.34538199812241,2.46830948262253,-0.102161830066644,0.0470861787619593,-0.0865648775617776,-0.040685024172367,0.130087753942093,-0.0122032099857856,0.0548838841032798,0.0232600272932651,-0.158910826708594,-0.0454766496426756,0.0672690999061203,0.123415474131127,2.95242175786957,3.98659343205281,0.8436445763641,-0.843460913829237,5.31484152233614,-2.02770212588656,-2.59428410995075,-1.43919851548374,0.175033506879896,-3.19879095169139,-0.154936790068664,-3.01416138859216,0.147621087893478,0.19932967160264,0.042182228818205,-0.0421730456914619,0.265742076116807,-0.101385106294328,-0.129714205497537,-0.0719599257741872,0.00875167534399479,-0.159939547584569,-0.00774683950343319,-0.150708069429608,45251.9090909091,6734.36363636364,298.880730240494,161.2279583244,0.148821987636364,0.00355121707675302,15.13709242,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,-2.43851078206694,0.919477845263982,-2.11060390830465,-0.748800567193052,2.49853687902602,-0.692560848870176,1.24625574794662,0.618021690514015,-1.680358771198,-0.903410489278668,0.710518928941729,2.5814342752191,-0.121925539103347,0.0459738922631991,-0.105530195415232,-0.0374400283596526,0.124926843951301,-0.0346280424435088,0.0623127873973311,0.0309010845257007,-0.0840179385598998,-0.0451705244639334,0.0355259464470864,0.129071713760955,4.67895935429177,3.51773766033408,2.17022093152237,0.0812867235545763,4.54887106984056,-3.64070836931758,-3.54267311860907,-2.87738168075736,-1.34328981062406,-1.31385196862518,-0.344767997242385,-1.93440279436773,0.233947967714588,0.175886883016704,0.108511046576118,0.00406433617772881,0.227443553492028,-0.182035418465879,-0.177133655930454,-0.143869084037868,-0.0671644905312028,-0.0656925984312589,-0.0172383998621192,-0.0967201397183863,45281,6665,466.751754147748,176.817419956293,0.147191485818182,0.00357246424196973,22.36604891,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,-2.04657148269377,0.304132858644478,-1.11629450884487,-1.32735853450448,2.56228906861071,-1.00346197834834,-0.0144467193186137,-0.416226885440351,0.907825166802316,-0.373035286857576,1.06333795916205,1.45981034278845,-0.102328574134688,0.0152066429322239,-0.0558147254422436,-0.066367926725224,0.128114453430536,-0.0501730989174172,-0.000722335965930686,-0.0208113442720176,0.0453912583401158,-0.0186517643428788,0.0531668979581026,0.0729905171394225,2.52756423061713,4.42985645706653,1.18035775986724,-0.63999270052538,3.52571668576342,-3.80094460400633,-2.20585954150495,-0.44052288966772,0.453266322576737,-2.9686961989637,0.344449625450754,-2.40519514667373,0.126378211530856,0.221492822853327,0.0590178879933618,-0.031999635026269,0.176285834288171,-0.190047230200316,-0.110292977075248,-0.022026144483386,0.0226633161288369,-0.148434809948185,0.0172224812725377,-0.120259757333686,39740.2727272727,6298.27272727273,1545.35174577888,213.91123902642,0.158576433909091,0.00478949806078012,12.20914471,1.220914471
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,23119.3333333333,56701.3333333333,1.27833333333333,-1.82219523790358,0.929554967155958,-1.33591072305371,-1.30935144998135,2.60109773699883,-0.860487026338631,0.36751897743146,0.0166962420825117,-0.234541713135998,-1.20419256755336,1.07600216082398,1.7758086334739,-0.0911097618951789,0.0464777483577979,-0.0667955361526853,-0.0654675724990676,0.130054886849941,-0.0430243513169316,0.018375948871573,0.000834812104125586,-0.0117270856567999,-0.0602096283776682,0.0538001080411988,0.0887904316736949,3.71797430931724,3.87476327326735,2.03417261627581,-0.757053092837117,3.49959649542173,-3.83625195838584,-3.45451060807485,-1.63981914139546,0.327338358359992,-1.82641050004624,-0.115409782043269,-1.82438996985932,0.185898715465862,0.193738163663367,0.10170863081379,-0.0378526546418558,0.174979824771087,-0.191812597919292,-0.172725530403743,-0.0819909570697731,0.0163669179179996,-0.0913205250023122,-0.00577048910216343,-0.091219498492966,42998.1666666667,6520.5,738.995612403426,154.958938842755,0.15165269475,0.00294108742220876,22.9846784,2.29846784
