"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.07361343789549,-8.37619722814946,1.47468289857608,-3.7831798039682,2.35958277247963,0.944324122522063,3.7748414224372
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.12515503810226,-8.42774104552792,1.18032422455858,-4.59026354410022,2.2772376292349,0.861401849160587,3.69307340930921
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.3814617031828,-8.6840450238065,1.76274342417884,-3.90820335957217,1.86775074939487,0.44790072700386,3.28760077178588
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.14581691393936,-8.44839967313215,2.93429859087982,-1.73473839781915,2.24422730129233,0.828138478372645,3.66031612421201
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.63610550859315,-7.93869116232474,3.23458375089402,-2.37743602876921,3.05856481736324,1.64508597558196,4.47204365914453
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.65106716680921,-7.95365368277934,3.2228939294629,-1.60738806979778,3.03466140955212,1.62121400485555,4.44810881424869
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.7042722945984,-8.00685768773948,2.51898773373569,-2.57524266727526,2.94965854096482,1.53626995701286,4.36304712491679
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.89095952028053,-8.19354569853185,3.42432388757179,-2.09545280050523,2.65139876092146,1.23756246782389,4.06523505401904
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.85731309675899,-8.15989644083933,2.50411667342474,-0.994968632570582,2.70515377732451,1.29147336221682,4.1188341924322
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.70869693083804,-8.0112826267882,3.79810302271528,-1.88306784036054,2.94258954614323,1.52920212926431,4.35597696302215
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.62119589767132,-7.92378071444589,3.59979513160203,-1.10543315095016,3.08238507211194,1.66886839833541,4.49590174588847
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.37710497885006,-7.67969028823903,3.52824534193737,-3.68312066780009,3.47235553469823,2.05729697688376,4.88741409251271
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.48034512650451,-7.78293045942808,3.67910143420938,-1.8658710066189,3.30741450234559,1.89322016248017,4.72160884221101
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.74400183829493,-8.04658661897729,3.61123068399644,-0.852913741302107,2.88618486235157,1.4727862691822,4.29958345552094
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.95587773627956,-8.2584624432581,3.22696331755683,-2.48722183977325,2.54768254384272,1.1334521316615,3.96191295602394
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.95207807846213,-8.25466355600789,2.93461448330624,-2.4649569627174,2.55375304545698,1.13954908824383,3.96795700267013
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.04062958153249,-8.34321467452653,2.96497237086501,-2.60486929957842,2.41227924224538,0.997349367691072,3.82720911679969
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.75491430839501,-8.05749876991228,3.74010134376473,-2.28440222778488,2.86875061681126,1.45534120222605,4.28216003139647
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.56469493355151,-7.86727976550003,4.1409556466192,-0.566629701016258,3.17265351479213,1.75893455972205,4.58637246986222
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.48655937467811,-7.78914470909731,4.34807395647575,-1.66478811971239,3.29748634423718,1.8833341103073,4.71163857816705
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.57524520693939,-7.87782924467704,3.70495967655551,-1.97316694951726,3.15579793076078,1.74212382488926,4.5694720366323
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.35816334158857,-7.6607480099135,4.21343974493318,-0.991264885978251,3.50261753330382,2.08736671189171,4.91786835471593
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-5.54670360046339,-7.84928946263071,4.06418630807182,-0.868493019545981,3.2013972653618,1.78759433385928,4.61520019686432
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-5.79146418536019,-8.09404862337009,3.52665226881939,-0.369667763384252,2.81035691459402,1.39688591742879,4.22382791175925
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-5.57015286185544,-7.87273742990118,3.4466821961612,-1.03233236028565,3.16393368680458,1.75023833909905,4.57762903451012
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-5.4330968520022,-7.73568263156713,3.36638780268202,-1.62716196965457,3.38290043829539,1.96834913106399,4.7974517455268
