"Element","Model","R2","RMSE","RMSE_ppm","RMSEP","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","Roughness_norm","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Confidence_Flag","Unstable_flag","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model"
"Ca","Bayes",0.71849446314204,0.377551919451181,4920.26934220119,0.391342413156401,11346.9447772753,18368.730735261,2.30616333946446,0.416180627939233,4.17432514192196,1831.36426414733,0.880795412567876,0.95417792673025,0.0791459673704801,0.89337836429761,1,1,"Preferred 1","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.609700413189177,0.747602869381438,0.893979184949795,0.90286449739367,TRUE
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.844393052063046,0.843735698366733,0,0.837235427150408,2,2,"Acceptable 2","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.595974555714744,0.750197871349793,0.812251917349835,0.863390475772702,FALSE
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,11255.5432374305,18369.0735446626,2.22441510184863,0.401641950155111,4.10324734399092,1798.03699424201,0.844393052063046,0.843735698366733,0,0.837235427150408,3,3,"Acceptable 3","Stable","High confidence","High confidence (signal-dominated)",FALSE,FALSE,0.595974555714744,0.750197871349793,0.812251917349835,0.863390475772702,FALSE
"Ca","RF",0.739371873885863,0.363281977243897,4506.9080410246,0.371218256028587,11008.1315358607,17034.9079510132,2.44250191831252,0.463789548433136,3.56024059408792,2219.12313435223,1,0,1,0.7,4,4,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.62768462186959,0.758875918458664,0.7,0.7,FALSE
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,5620.88386479327,NA,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,0.963481342900547,0.991798200319057,0.312623651567359,0.682931997255936,5,5,"Unstable","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.682931997255936,0.682931997255936,FALSE
"Ca","OLS",0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.758376912734568,0.996811612323666,0.304988751461709,0.612277417462477,6,6,"Unstable","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.602394248790927,0.602394248790927,FALSE
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,5447.03371534874,NA,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00545628098595968,0.999950184333833,0.0531177376092387,0.310714594767109,7,7,"Unstable","Marginal","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.302167567694534,0.302167567694534,FALSE
"Ca","WLS",0.604685117514639,0.447409080513934,5446.04597912254,NA,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,1,0.0443341635667263,0.308444560944566,8,8,"Unstable","Marginal","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.3,0.3,FALSE
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,19165.0781241486,NA,15756.8906271743,26305.9766538876,0.822166782994747,0.674583226386664,5.420670473258,3273.68555088834,1,0.952548943160995,0.037474460616865,0.685764682948298,1,1,"Preferred 1","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.642793526015425,0.752069400201717,0.685764682948298,0.685764682948298,TRUE
"Fe","Bayes",0.782666025570093,0.531874559979908,13054.643263387,0.553367126639677,20039.3503092571,49770.6178813076,1.53503622465574,0.423535164530212,2.93519389409532,7181.67439484506,0.572207111049672,0.346911324385626,0.513184119105853,0.562584151391753,2,2,"Acceptable 2","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.690636361518016,0.80949015337227,0.513819534327551,0.586904388293669,FALSE
