"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP_overall","RMSEP","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"ALL","Ca","PLS_LOO",0.906635831237828,0.844393052063046,1,13396,0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,2,0.837235427150408,"Acceptable 2","High confidence (signal-dominated)",FALSE,1
"ALL","Ca","PLS_kfold",0.906635831237828,0.844393052063046,1,13396,0.714591218855023,0.380160401230266,5060.00126868248,0.391014570914877,3,0.837235427150408,"Acceptable 3","High confidence (signal-dominated)",FALSE,2
"ALL","Ca","Bayes",0.750483554248261,0.880795412567876,0.555015766768837,13396,0.71849446314204,0.377551919451181,4920.26934220119,0.391342413156401,1,0.89337836429761,"Preferred 1","High confidence (signal-dominated)",FALSE,3
"ALL","Ca","RF",0.726757777082745,1,0.316894442706861,13396,0.739371873885863,0.363281977243897,4506.9080410246,0.371218256028587,4,0.7,"Unstable","Low confidence (noise-dominated)",FALSE,4
"ALL","Ca","OLS_weighted",0.578088805740328,0.963481342900547,0,14519,0.60078407376705,0.449611220751241,5620.88386479327,NA,5,0.682931997255936,"Unstable","Moderate confidence",FALSE,5
"ALL","Ca","OLS",0.45638065772608,0.758376912734568,0.00338627521334799,14519,0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,6,0.612277417462477,"Unstable","Moderate confidence",FALSE,6
"ALL","Ca","WLS",0.258091483370363,0,0.645228708425907,14519,0.604685117514639,0.447409080513934,5446.04597912254,NA,8,0.308444560944566,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"ALL","Ca","WLS_weighted",0.252172925711866,0.00545628098595968,0.622247892800727,14519,0.604732452698864,0.447382293228408,5447.03371534874,NA,7,0.310714594767109,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"ALL","Fe","OLS_weighted",0.897115941270993,1,0.742789853177484,14519,0.705011398870254,0.619652240442579,19165.0781241486,NA,1,0.685764682948298,"Preferred 1","Moderate confidence",FALSE,1
"ALL","Fe","RF",0.703506878395634,0.505844797326056,1,13396,0.80646417107391,0.501910285388067,18226.9640487726,0.516653413340178,5,0.502337918930422,"Unstable","Low confidence (noise-dominated)",FALSE,2
"ALL","Fe","OLS",0.581018235194729,0.437589437736436,0.79616143138217,14519,0.711860213839782,0.612416695598065,19046.317786508,0.619207902382141,6,0.490537268119636,"Unstable","Low confidence",FALSE,3
"ALL","Fe","Bayes",0.453520021465305,0.572207111049672,0.275489387088756,13396,0.782666025570093,0.531874559979908,13054.643263387,0.553367126639677,2,0.562584151391753,"Acceptable 2","Low confidence",FALSE,4
"ALL","Fe","WLS_weighted",0.39580367612697,0.00718974203791843,0.978724577260547,14519,0.711404682307114,0.612900601250386,19121.2837499281,NA,7,0.321781097623359,"Unstable","Low confidence (uncertainty-dominated)",FALSE,5
"ALL","Fe","WLS",0.389772949268523,0,0.974432373171306,14519,0.711426381771426,0.612877558837851,19118.97376675,NA,8,0.318856979630259,"Unstable","Low confidence (uncertainty-dominated)",FALSE,6
"ALL","Fe","PLS_LOO",0.372243629935591,0.620406049892652,0,13396,0.769588412151896,0.547643031052147,12699.4253247054,0.558876405734737,3,0.539037995940333,"Acceptable 3","Low confidence",FALSE,7
"ALL","Fe","PLS_kfold",0.372243629935591,0.620406049892652,0,13396,0.769588412151896,0.547643031052147,12699.4253247054,0.558876405734737,4,0.539037995940333,"Acceptable 4","Low confidence",FALSE,8
"ALL","Mn","RF",0.913215185006381,0.855358641677302,1,13396,0.693783864178937,0.533068349436722,100.340442065868,0.538666849894129,3,0.767831344333452,"Acceptable 3","High confidence (signal-dominated)",FALSE,1
"ALL","Mn","Bayes",0.715807434658306,0.990055493180809,0.304435346874551,13396,0.675458563365959,0.54878715622519,106.167683499791,0.563291283780317,4,0.640092072408385,"Unstable","Low confidence (noise-dominated)",FALSE,2
"ALL","Mn","PLS_LOO",0.686068804501398,0.90614383647643,0.355956256538849,13396,0.652472643614871,0.567888873609633,106.37886834467,0.583845224423336,1,0.790824778954716,"Preferred 1","High confidence (signal-dominated)",FALSE,3
"ALL","Mn","PLS_kfold",0.686068804501398,0.90614383647643,0.355956256538849,13396,0.652472643614871,0.567888873609633,106.37886834467,0.583845224423336,2,0.790824778954716,"Acceptable 2","High confidence (signal-dominated)",FALSE,4
"ALL","Mn","OLS",0.6,1,0,14095,0.642325781154841,0.576119639333299,111.776118917736,0.578466614037536,5,0.497410599846452,"Unstable","Low confidence (noise-dominated)",FALSE,5
"ALL","Mn","OLS_weighted",0.236241395048962,0.245494305312877,0.222362029653091,14095,0.621575234052913,0.592595892589243,115.442539169045,NA,6,0.124699404865295,"Unstable","Low confidence (uncertainty-dominated)",FALSE,6
"ALL","Mn","WLS",0.13563904741809,0.00258780130396593,0.335215916589276,14095,0.64171449487873,0.57661174033931,108.962939644912,NA,8,0.0847062584063581,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"ALL","Mn","WLS_weighted",0.0939644491093728,0,0.234911122773432,14095,0.642027836746649,0.576359544649593,109.653909631702,NA,7,0.0884422756537995,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"ALL","Sr","OLS",0.611874360384443,0.624036078797696,0.593631782764563,14005,0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,5,0.518174469315604,"Unstable","Low confidence",FALSE,1
"ALL","Sr","RF",0.6,1,0,13396,0.724605462674095,0.324729281645887,42.4284084999708,0.327736832283875,1,1,"Preferred 1","High confidence (signal-dominated)",FALSE,2
