"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_Score","Robust_Rank","Global_Rank","Roughness_norm","Unstable_flag","Production_Model","Is_Production_Model","Robustness_Class"
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5546.07861545861,NA,318.686507485063,340.232429368128,13400.3536152465,4.63923416424389,257.29557390418,NA,2,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.683638897634161,0.476648046404283,0.644360911056551,1,1,0.089851838505131,FALSE,"Bayes",TRUE,"Preferred 1"
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,4,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.0579468981260827,0.639750348824946,2,2,0,FALSE,"Bayes",FALSE,"Acceptable 2"
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,5,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.0579468981260827,0.639750348824946,3,3,0,FALSE,"Bayes",FALSE,"Acceptable 3"
"Ca","RF",0.67652135882806,0.404721258578198,0.405320083182145,4899.1312754143,NA,NA,NA,13400.3536152465,4.37365608740178,214.271153256962,NA,1,10944.935202195,19243.4582338599,2.23405632282623,0.388705837967947,2.80170247750187,2669.82115990534,0.842780451823154,0,1,0.637112180729262,4,4,1,TRUE,"Bayes",FALSE,"Unstable"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.627516674261419,0,0.588255002278426,5,5,0.309640119419173,FALSE,"Bayes",FALSE,"Unstable"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,3,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.787121534135248,0.628966155633138,0.0602823564505443,0.521623167279204,6,6,0.30664140986453,FALSE,"Bayes",FALSE,"Unstable"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00566308940610476,0.629873581884632,0.0521325649398876,0.206867079809798,7,7,0.207715686498734,FALSE,"Bayes",FALSE,"Unstable"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,0.629887984626729,0.0515075731120619,0.204418667321637,8,8,0.204265819828481,FALSE,"Bayes",FALSE,"Unstable"
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,56.5643915636821,NA,244.972001338324,266.517923221389,163.852330174044,7.61572706279396,4.30778967622008,NA,2,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,0.77698473670593,0.84278853015562,0.470829357586196,0.704879261004917,1,1,0.269661819112172,FALSE,"Bayes",TRUE,"Preferred 1"
"Sr","RF",0.687903628988896,0.345691061755634,0.346757684558846,44.4622459672722,NA,NA,NA,163.852330174044,7.03184186223893,3.12651482481829,NA,1,141.36846527401,206.567463548729,3.1795169631797,0.378353977563596,2.74084469309166,28.5151587267521,1,0,1,0.7,2,2,1,TRUE,"Bayes",FALSE,"Unstable"
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,3,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.749537980782891,1,0.312872221201374,0.693676858673569,3,3,0.162392419417094,FALSE,"Bayes",FALSE,"Acceptable 3"
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,4,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.749537980782891,1,0.312872221201374,0.693676858673569,4,4,0.162392419417094,FALSE,"Bayes",FALSE,"Acceptable 4"
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA,5,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.677272735740018,0.446000522628595,0.175925525985533,0.457486908880246,5,5,0.231150141342476,FALSE,"Bayes",FALSE,"Unstable"
