"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_Score","Robust_Rank","Global_Rank","Roughness_norm","Unstable_flag","Production_Model","Is_Production_Model","Robustness_Class"
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,NA,6,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,0.0808843015449973,0.462085652493312,0.175516351823289,0.223634321912979,6,6,0.244013069929844,FALSE,"Bayes",FALSE,"Unstable"
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,NA,7,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,0.0914644202387342,0.377462605140554,0.168455244989129,0.200361123134398,7,7,0.175222611778536,FALSE,"Bayes",FALSE,"Unstable"
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,NA,8,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,0,0.329511030106363,0,0.0988533090319089,8,8,0,FALSE,"Bayes",FALSE,"Unstable"
"Ti","PLS_LOO",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,2,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.524094654154029,0.958766987361802,0.839170905490096,1,1,0.457077270589932,FALSE,"PLS_LOO",TRUE,"Preferred 1"
"Ti","PLS_kfold",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,3,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.524094654154029,0.958766987361802,0.839170905490096,2,2,0.457077270589932,FALSE,"PLS_LOO",FALSE,"Acceptable 2"
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,NA,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,NA,5,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,0.919262770647259,0.963195622653337,0.289493689940079,0.743511902036928,3,3,0.221554724916626,FALSE,"PLS_LOO",FALSE,"Acceptable 3"
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2132.72586760655,NA,503.766615819022,525.312537702087,3392.06646739343,8.33502896291361,177.763318764556,NA,1,2140.41045976442,6361.9847129266,1.00360317857752,0.68510833898267,4.89905519927455,889.691706260365,1,0.0171481882612602,1,0.705144456478378,4,4,1,TRUE,"PLS_LOO",FALSE,"Unstable"
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,NA,8,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,0.903344090207377,1,0,0.661337636082951,5,5,0.267216314797081,FALSE,"PLS_LOO",FALSE,"Unstable"
"Ti","RF",0.742787031556751,0.624193853128855,0.624680929647959,1634.80229641458,NA,NA,NA,3392.06646739343,8.58190596085254,140.297195724157,NA,4,2138.83535166162,6640.16271189271,1.30831437926927,0.59735058829679,4.8699020803459,814.493810531358,0.829208098072355,0,0.616694940092803,0.516691721256783,6,6,0.704292017774987,TRUE,"PLS_LOO",FALSE,"Unstable"
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,NA,6,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,0.018809767306703,0.930510864160334,0.270812898689313,0.367921035777575,7,7,0.0267208387128946,FALSE,"PLS_LOO",FALSE,"Unstable"
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,NA,7,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,0,0.924633910222639,0.264158915530203,0.356637847725852,8,8,0,FALSE,"PLS_LOO",FALSE,"Unstable"
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,148.16046066862,NA,661.700465220814,672.473426162346,65.4747233406631,24.9401894861566,36.9514996343163,NA,5,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,85.6250432960216,1,1,0.606015183352472,0.881804555005742,1,1,0.791847841796496,TRUE,NA,NA,"Unstable"
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,NA,162.575252795128,NA,661.816062941063,672.589023882596,65.4747233406631,24.9453367350013,40.5549442575243,NA,7,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,94.081024048633,0.7409938656634,0.975892299015989,0.605350678594346,0.770770439548461,2,2,0.905979453100556,TRUE,NA,NA,"Unstable"
"Zr","PLS_LOO",0.72037835645274,0.69492862207945,0.711474071275561,77.8910261396823,NA,NA,NA,65.4747233406631,21.0763417407145,16.4165788545487,NA,3,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,0.856824502964999,0.283123797424938,0.933259674175248,0.707644842666056,3,3,0.36829425273805,FALSE,NA,NA,"Acceptable 3"
"Zr","PLS_kfold",0.72037835645274,0.69492862207945,0.711474071275561,77.8910261396823,NA,NA,NA,65.4747233406631,21.0763417407145,16.4165788545487,NA,4,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,0.856824502964999,0.283123797424938,0.933259674175248,0.707644842666056,4,4,0.36829425273805,FALSE,NA,NA,"Acceptable 4"
"Zr","WLS",0.608323185716187,0.822467487738816,NA,159.077231156446,NA,661.726819498081,672.499780439613,65.4747233406631,24.9432156773829,39.6789768609613,NA,6,53.6040944885685,577.090663848485,0.336968993606954,0.402422891988473,2.52358951610789,92.025463096561,0.483921609416238,0.981545106554268,0.605624860698147,0.66971963394222,5,5,0.878235245721509,TRUE,NA,NA,"Unstable"
"Zr","RF",0.743204375842857,0.665960724096371,0.675449546082181,45.4053867998287,NA,NA,NA,65.4747233406631,20.2051137993365,9.1742100739343,NA,1,41.8534675456406,143.039964681095,0.921773174847143,0.427515187782922,2.2684718913951,26.9572471199954,0.514096128950838,0.54414035924645,1,0.66888055935427,6,6,0,FALSE,NA,NA,"Unstable"
"Zr","Bayes",0.7219222288162,0.693007515213175,0.70718613446717,84.3816359771264,NA,575.992116429963,597.538038313028,65.4747233406631,21.0181659201887,17.7354722558421,NA,2,45.422868267256,164.996573779594,0.538302768620994,0.777599911668075,1.95110040236637,65.7584412575279,0.935087433460112,0,0.937773757108771,0.655367100516676,7,7,0.523705402956438,FALSE,NA,NA,"Unstable"
"Zr","OLS_weighted",0.401191970178938,1.01694769214115,NA,153.784821913486,NA,788.726977570257,799.499938511789,65.4747233406631,37.3991921049437,57.51428097567,NA,8,42.0668288564161,34663157.0601033,0.273543437726784,7.0672435446541e-06,2.42434726515991,101.046981383745,0,0.81139209675327,0,0.243417629025981,8,8,1,TRUE,NA,NA,"Unstable"
