"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","RMSE_ppm_factor","RMSEP_ppm_factor","Mean_log_ppm","Mean_ppm","RMSE_ppm_abs","RMSEP_ppm_abs"
"RF",0.960444045742602,0.22690880053303,0.516044853724226,NA,NA,1,1.25471543334345,1.67538812310914,9.38321035510448,11887.1154248026,2697.29110283964,6134.28474059527
"Bayes",0.782666025570093,0.531874559979908,0.553367126639677,438.148736470006,466.876632314093,2,1.70212004600185,1.73909893672853,9.38321035510448,11887.1154248026,6322.45428599728,6577.93890665722
"PLS(LOO)",0.769588412151896,0.547643031052147,0.558876405734737,NA,NA,3,1.72917260491781,1.74870655938121,9.38321035510448,11887.1154248026,6509.89592170565,6643.42834316764
"PLS(k)",0.769588412151896,0.547643031052147,0.558876405734737,NA,NA,4,1.72917260491781,1.74870655938121,9.38321035510448,11887.1154248026,6509.89592170565,6643.42834316764
"OLS",0.711860213839782,0.612416695598065,0.619207902382141,503.727552589756,514.500513531289,5,1.84488454001768,1.85745617238173,9.38321035510448,11887.1154248026,7279.86794865042,7360.59580756643
"WLS",0.711426381771426,0.612877558837851,NA,491.391320242748,502.164281184281,6,1.84573497543598,NA,9.38321035510448,11887.1154248026,7285.34628317681,NA
"WLS(wt)",0.711404682307114,0.612900601250386,NA,491.44106706079,502.214028002323,7,1.84577750611271,NA,9.38321035510448,11887.1154248026,7285.62019099428,NA
"OLS(wt)",0.705011398870254,0.619652240442579,NA,522.979148483121,533.752109424654,8,1.85828169424652,NA,9.38321035510448,11887.1154248026,7365.87770537849,NA
