"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-0.367119166765369,-0.0367119166765369,3.75055675790579,0.487572378527753,3.45465542825727,2.71870661505359,4.19060424146096,3.45653389358146,2.69254657430607,4.22052121285685
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.00462908911351434,0.000462908911351434,3.89124027202043,0.505861235362656,3.76953397522178,3.03984592573292,4.49922202471063,3.77074719820692,3.02278476084676,4.51870963556707
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.245594654735091,0.0245594654735091,3.9830418315909,0.517795438106818,3.97363684852785,3.24657946634094,4.70069423071477,3.97441886438836,3.23552014857127,4.71331758020545
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.150036138459511,0.0150036138459511,3.96242484528941,0.515115229887623,3.89269678686219,3.16473177860818,4.62066179511621,3.89364980438815,3.1512847389762,4.6360148698001
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.242190121422223,0.0242190121422223,3.50943405318882,0.456226426914547,3.9707531376141,3.24366649089791,4.69783978433028,3.9715412458763,3.23252195653533,4.71056053521727
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.464916993300125,0.0464916993300125,3.7116610766011,0.482515939958143,4.15940745590016,3.43375533425768,4.88505957754264,4.15979699512303,3.42820351866903,4.89139047157703
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.356480513895764,0.0356480513895764,3.48283613644894,0.452768697738362,4.0675594901523,3.34133086063392,4.79378811967067,4.06814307611529,3.33305213749535,4.80323401473522
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.941723575239185,0.0941723575239185,3.98659343205281,0.518257146166865,4.56327260208392,3.83740131949821,5.28914388466963,4.56280889742245,3.84386158601084,5.28175620883407
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.919477845263981,0.0919477845263981,3.51773766033408,0.45730589584343,4.54443000357812,3.81866876354528,5.27019124361097,4.54400610758074,3.82456990665582,5.26344230850566
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.304132858644477,0.0304132858644477,4.42985645706653,0.575881339418649,4.02321993142712,3.29663015758022,4.74980970527402,4.02389719335515,3.28703758932552,4.76075679738479
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.929554967155958,0.0929554967155958,3.87476327326735,0.503719225524755,4.55296553655979,3.8271556566064,5.27877541651317,4.55252360758435,3.83331011492087,5.27173710024784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.707439889594891,0.0707439889594891,4.16973952522908,0.542066138279781,4.36482942085431,3.63962694933825,5.09003189237037,4.3647849661142,3.64018782984958,5.08938210237881
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.526781732024775,0.0526781732024775,3.89971214127583,0.506962578365858,4.21180818335456,3.4863811109682,4.93723525574091,4.21208701582133,3.48238743451914,4.94178659712353
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.877684198012673,0.0877684198012673,4.20240885755624,0.546313151482312,4.50902991034103,3.78344902653451,5.23461079414756,4.50868080394445,3.78829897059589,5.229062637293
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.579671499460837,0.0579671499460837,4.0081103095961,0.521054340247494,4.25660692243723,3.53131234846705,4.98190149640741,4.25679110883091,3.5286516639405,4.98493055372132
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.289344173373246,0.0289344173373246,4.18786821284583,0.544422867669957,4.01069360573203,3.28399204901075,4.73739516245331,4.01139733196602,3.27402867055891,4.74876599337313
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,0.658347105120168,0.0658347105120168,4.58138536304094,0.595580097195322,4.3232468057448,3.59804710215964,5.04844650932997,4.32329020238868,3.59737010491391,5.04921029986344
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.772564119821457,0.0772564119821457,4.19226936872369,0.54499501793408,4.41999100577539,3.69471137931678,5.14527063223399,4.41983001142934,3.69691393390155,5.14274608895712
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.691462704020445,0.0691462704020445,4.45185001569152,0.578740502039898,4.35129641054773,3.62610006710353,5.07649275399192,4.35128054693113,3.62625809708993,5.07630299677233
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.449853858886965,0.0449853858886965,4.13601397631452,0.537681816920887,4.1466486660424,3.42093031868907,4.87236701339574,4.14706516069711,3.41499934488526,4.87913097650896
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.485578614443872,0.0485578614443872,3.81028239510249,0.495336711363324,4.17690828109783,3.45133972019714,4.90247684199852,4.17726084641441,3.44630813813473,4.90821355469409
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.165765715834111,0.0165765715834111,3.70910422686903,0.482183549492975,3.90602006784537,3.17821674426345,4.63382339142729,3.9069449373419,3.16516211805333,4.64872775663047
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.635049434221631,0.0635049434221631,3.73351632996399,0.485357122895319,4.30351319127809,3.57829813915383,5.02872824340234,4.30359827903103,3.57703367604931,5.03016288201274
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,0.403327679983376,0.0403327679983376,3.16139240010382,0.410981012013496,4.10724001952613,3.38128887455208,4.83319116450017,4.1077397726322,3.37418745989758,4.84129208536681
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,0.347263552430093,0.0347263552430093,4.19869760811513,0.545830689054967,4.05975253103993,3.33346422264311,4.78604083943676,4.06035261072659,3.32495403058771,4.79575119086546
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.545719878884086,0.0545719878884086,3.54553265995095,0.460919245793624,4.22784918979092,3.50247590895745,4.9532224706244,4.22809413250323,3.49895945807677,4.9572288069297
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.594907502942871,0.0594907502942871,3.72392279729919,0.484109963648895,4.26951213601147,3.54424548165189,4.99477879037105,4.26966905762466,3.54196889841107,4.99736921683824
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.473935591141906,0.0473935591141906,3.85603381345551,0.501284395749217,4.16704639687478,3.44143178430777,4.8926610094418,4.16741979734508,3.43610702456962,4.89873257012053
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.551055949065074,0.0551055949065074,3.93595044716984,0.511673558132079,4.2323689528255,3.50700954976896,4.95772835588203,4.23260434665694,3.50362758017679,4.96158111313709
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,0.285325488945713,0.0285325488945713,3.21801194638864,0.418341553030523,4.00728969598063,3.28055702116281,4.73402237079846,4.00800061363781,3.27049290802327,4.74550831925236
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,0.291063190741295,0.0291063190741295,3.89209021495364,0.505971727943974,4.01214964939195,3.28546130679262,4.73883799199127,4.01285029944974,3.27554102211989,4.7501595767796
