labID,age,error,depth,cc,dR,dSTD,t.a,t.b
Core_date,-67,1,0,0,0,0,3,4
BI10_21,164,81,26,0,0,0,3,4
BI10_54,500,30,49.8,3,0,0,3,4
BI10_76,1310,30,75.1,3,0,0,3,4
BI10_101,1530,30,100.3,3,0,0,3,4
BI10_143,2210,30,130.2,3,0,0,3,4
BI10_161,2560,30,151.5,3,0,0,3,4
BI10_195,2240,30,184.5,3,0,0,3,4
BI10_244,3500,30,236.8,3,0,0,3,4
BI10_279,3600,30,277.2,3,0,0,3,4
BI10_320,2710,30,318.7,3,0,0,3,4
BI10_412,4470,30,406.5,3,0,0,3,4
BI10_441,5550,30,436.3,3,0,0,3,4
BI10_473,5820,30,468.5,3,0,0,3,4
BI10.13_48cm,7510,30,506.5,3,0,0,3,4
