"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","RMSE_ppm_factor","RMSEP_ppm_factor","Mean_log_ppm","Mean_ppm","RMSE_ppm_abs","RMSEP_ppm_abs"
"RF",0.946939301041206,0.163915376344742,0.370744505525973,NA,NA,1,1.17811461450928,1.44881286241498,9.24296260678358,10331.6017356071,1693.50838673603,3830.38457675895
"Bayes",0.71849446314204,0.377551919451181,0.391342413156401,254.461762755566,283.189658599653,2,1.4587091772082,1.47896484374147,9.24296260678358,10331.6017356071,3900.71606628362,4043.19395498335
"PLS(LOO)",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,3,1.46251916049361,1.47848005606324,9.24296260678358,10331.6017356071,3927.66586115972,4039.80681951181
"PLS(k)",0.714591218855023,0.380160401230266,0.391014570914877,NA,NA,4,1.46251916049361,1.47848005606324,9.24296260678358,10331.6017356071,3927.66586115972,4039.80681951181
"OLS",0.605349695781694,0.447032844459699,0.450923989941031,335.005013489929,345.777974431461,5,1.56366565619665,1.56976195985928,9.24296260678358,10331.6017356071,4618.56531169322,4658.76707710165
"WLS(wt)",0.604732452698864,0.447382293228408,NA,321.186258039926,331.959218981458,6,1.56421217271908,NA,9.24296260678358,10331.6017356071,4622.17567719851,NA
"WLS",0.604685117514639,0.447409080513934,NA,321.219522661163,331.992483602695,7,1.56425407427838,NA,9.24296260678358,10331.6017356071,4622.45243276414,NA
"OLS(wt)",0.60078407376705,0.449611220751241,NA,359.871349044666,370.644309986199,8,1.56770257676616,NA,9.24296260678358,10331.6017356071,4645.20406866196,NA
