"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Mg","Al","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Pb","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
31,-21.04,5.95,43071,280450,268406,2.24,0,0,0.00484340886567364,0.0909070587095668,0.00223541947646476,0.0242170443283682,0.140458857104536,0.0964956074007288,0,0.0406101204891098,0.00260798938920888,4.22047197156546,0.00633368851665015,0.038374701012645,0.167283890822113,0,0.675841821717845,0.156479363352533,0.0633368851665015,1.1769483543587,1.13596566395684,78.5638175003539,13.3927706534131,0.170469957793901,100,91.956588153767
31.5,-19.36,5.96,47068,294347,281813,2.21,0,0,0,0.0720335825529695,0.0432911185786319,0.0223552497578181,0.152583450727965,0.0961630584820431,0.0039032975767619,0.0432911185786319,0.0145486546042943,3.74716567369142,0,0.0319360710825973,0.151164069790961,0,0.645818326336968,0,0,1.10995589273738,1.05566457189697,79.5382044121456,13.2719214514589,0.16686222111185,100,92.8101258636046
32,-17.69,5.98,41690,279516,266869,2.03,0,0,0.0194852155926691,0.0978007936478197,0.111290558288898,0.0723201271035602,0.240942185117042,0.289655224098715,0.0161127744323994,0.0393451468698125,0.0288531077045292,6.33681694014666,0.0187357842237203,0.0224829410684643,0.179114097178766,0.00337244116026965,0.723950702404551,0,0.137895371886581,1.1155285926803,0.928545466127576,76.7151673667605,12.9025851635072,0.168188190241734,100,89.6177525302677
32.5,-16.02,6.01,44043,282722,270734,2.08,0,0.00627922610385101,0.002585563689821,0.0897559966609292,0.0709183183493761,0.0347204266918821,0.15882748380329,0.155503187630663,0.017360213345941,0.0576211336588681,0.024008805691195,3.61277120716275,0.0664859234525401,0.013666550931911,0.137404241801916,0,0.88869517681562,0.0675940221767491,0.0882785316953172,0.997288851788102,1.02573005237613,79.2057887077353,13.2787163784379,0.167648306961952,100,92.4845050861731
33,-14.34,6.14,44632,283525,270425,2.47,0,0,0.00406767125820468,0.0854210964222982,0.0573171859110659,0.0303226402884349,0.121290561153739,0.124988444115744,0.0218175094758251,0.0602754922806693,0.0432652306554498,3.8250901358972,0.0580567625034668,0,0.170842192844596,0,0.783951187944902,0.111306277156328,0.0798742719792919,1.19589534991218,0.901913654432837,79.1139872423038,13.210317093464,0.166978274688704,100,92.3243043357678
33.5,-12.67,6.27,45881,289835,275583,2.25,0,0,0.00834594296455151,0.0685818791434885,0.0159661517582725,0.0112488796478738,0.104505720599602,0.135349422859901,0,0.0580587336664453,0.0156032846728572,4.65848764256141,0.0758392208517942,0.0087088100499668,0.146235435422359,0,0.880315549217477,0.084548030901761,0.0983369801475417,1.16661767961014,1.03199399092107,78.0109803580047,13.4202762869988,0.17203060678652,100,91.4312566450035
34,-10.99,6.35,43823,279867,266346,2.3,0,0,0,0.0690830723945545,0.0334151817560617,0.0168953166182334,0.151682398083696,0.11075818671953,0.00638267516688818,0.0454296291290277,0.0146426077358023,4.62931675339596,0.0277834095499839,0,0.135162532945867,0,0.763292859663746,0.0720866842377959,0.0675812664729337,1.06478039842911,0.780939079242789,78.9221538900528,13.0886140584052,0.165842078722777,100,92.010767948458
34.5,-9.32,6.38,43981,278052,263499,2.49,0,0,0.0125237666936117,0.10398521436514,0.0269450737953465,0.0208729444893529,0.191272073138797,0.153321264976338,0.0212524525709775,0.0777991567330426,0.0542696556723175,4.84783623467262,0,0.0436434293868288,0.130930288160486,0,0.818598932064258,0.00834917779574116,0.00872868587736576,0.998485762754318,0.915753000960155,78.3365401766231,13.2288927092702,0.168872568017983,100,91.5654328858933
35,-7.65,6.42,46022,287275,272576,2.56,0,0,0.00917175393284809,0.0968537215308758,0.028615872270486,0.0513618220239493,0.220122094388354,0.191873092275182,0.0260477811692886,0.0601667057994834,0.0730071613054708,6.29255693824842,0.00880488377553416,0.0183435078656962,0.154085466071848,0,0.776664123033576,0.0135741958206152,0.176097675510683,1.15380664475229,0.86397922047429,76.7437338577131,13.041133482038,0.169930922389273,100,89.7848673397511
35.5,-5.97,6.44,48935,296443,281881,2.12,0,0,0,0.0947208219071168,0.0223498568544882,0.0241236550175429,0.154320440185752,0.152546642022698,0.023414135752321,0.0567615412177479,0.00709519265221849,4.25214895647454,0,0.00957851008049496,0.11494212096594,0,0.821978068759512,0.114232601700718,0.0351212036284815,1.03412432906084,0.852842156796662,78.8510045018997,13.3786952650232,0.169670574896745,100,92.2296997669229
36,-4.3,6.57,40536,265671,252486,2.18,0,0,0.0134660931695223,0.0946587137504654,0.0388140332533289,0.0225755091371403,0.186941058118074,0.160404933342839,0.0178227703714265,0.0899059749847516,0.0217833860095213,4.56183709195757,0,0,0.150107332683792,0,1.00956092615036,0,0.0475273876571374,1.13352819562273,0.74419967839801,78.2740429172311,13.4328239981623,0.171612753059996,100,91.7068669153933
36.5,-2.62,6.63,45907,287794,273913,2.22,0,0.0164285740362816,0.0164285740362816,0.109523826908544,0.027380956727136,0.0346825451877056,0.127777798059968,0.18984129997481,0.00985714442176896,0.0390634982640473,0.0219047653817088,4.29515941193007,0.0138730180750822,0.00693650903754112,0.0971111265255756,0,0.977682694870269,0.054031754608215,0.150047642864705,1.06858747120436,0.89334934815069,78.4179648282484,13.4323672114869,0.171291964040466,100,91.8503320397352
37,-0.95,6.75,48496,293546,278336,2.52,0,0,0.00934122786847551,0.0880231087606346,0.0323350195447229,0.0405984134283743,0.174968383536445,0.209099793055875,0.0143711197976546,0.0693406530236836,0.054969533226029,5.66581398022534,0.0847896068061623,0,0.16562715566797,0,1.03112784548172,0.100238560588641,0.0898194987353415,1.05412163715797,0.896398597378708,77.1071654403311,13.1118504253851,0.170047107172312,100,90.2190158657163
37.5,0.72,6.81,50308,303504,288377,2.28,0,0,0,0.0773293293154447,0.0374509756325921,0.0260076219670778,0.157432804974044,0.2340685977037,0.0104030487868311,0.0412654268544301,0.045773414662057,5.66862128394428,0.0932806707885858,0.0110965853726199,0.155352195216678,0,0.954999878631097,0.164021402539037,0.257648841620518,1.15508518363115,0.729947256542651,77.1455421202107,13.0346733616065,0.168962107250416,100,90.1802154818172
38,2.4,6.84,50739,299939,284455,2.14,0,0,0,0.0734738359318697,0.0151166265314373,0.0453498795943119,0.169446836933786,0.284755057917773,0.0154681759856568,0.0453498795943119,0.0597634072173103,6.09727373398253,0.0263662090664604,0,0.127964001335888,0,1.01984496669069,0.0625758028510661,0.111441176987573,1.13304389094936,0.768487106923767,77.0160482325851,12.9282311789211,0.16786412021399,100,89.9442794115062
38.5,4.07,6.91,53686,306602,291219,2.25,0,0,0.0223199722545576,0.0738276005343058,0.00927137309035468,0.0302178085907856,0.166541331437853,0.232127711447399,0.0381156449270137,0.0453267128861784,0.0446399445091151,5.50135808446564,0.0336516504761022,0,0.174782551962612,0,1.13831858498244,0.0800085159278756,0.213928349455221,1.21420649064793,0.615344465848725,77.1635779258908,13.2024352806651,0.171096722515186,100,90.3660132065559
39,5.75,6.96,52839,306968,292003,2.54,0,0,0.0140409516340586,0.0708896826402469,0.0191778851587141,0.0493145618366935,0.222600452735075,0.306161238069472,0.0123286404591734,0.0472597884268312,0.0212326585685764,5.59446307058489,0,0.0150683383389897,0.115409773187262,0,1.12259120625473,0.0763690783998795,0.136984893990815,1.16163190104211,0.626363427773002,77.4574233826365,12.930689068263,0.166939313284227,100,90.3881124508995
39.5,7.42,6.98,51821,309417,294304,2.21,0.00713547896053061,0,0.0220860063064043,0.091402087637273,0.0210666521691856,0.148485919321518,0.255178319017071,0.4862319234533,0.0234451451560291,0.0676171577688377,0.0676171577688377,6.24354409046428,0.0414537349135588,0,0.125040774165489,0,0.951736979449821,0.0611612482331195,0.312601935413722,1.09784440578449,0.473320104381864,76.5653881700554,12.9376427095792,0.168975081545255,100,89.5030308796347
40,9.1,6.99,51211,307478,292923,2.18,0,0,0.00375525308698873,0.0863708210007408,0.00785189281824917,0.0607668226803631,0.264916035954841,0.447557890640202,0.012631305838053,0.0662290089887103,0.0559874096605593,6.08248584098893,0,0.0228729051662041,0.102757379925783,0,0.995824841340557,0.0856880477121974,0.209611399582826,1.1026788609976,0.575236495597819,77.1349467266142,12.6818310614052,0.164410965451922,100,89.8167777880194
40.5,35.79,6.88,54808,313055,296167,2.25,0,0,0.0135058936343347,0.0931906660769093,0.0945412554403428,0.0567247532642057,0.231288428487981,0.337984988199225,0.0381541495169955,0.0256611979052359,0.0280247292912445,5.32098444458701,0,0,0.140461293797081,0,0.897128984660681,0.0310635553589698,0.162746018293733,1.0916138529951,0.511535721400426,77.9344086275648,12.9909814395257,0.166691217246638,100,90.9253900670905
41,62.48,6.89,53181,308422,294033,2.36,0,0,0.00408117456203895,0.0812833933606092,0.00374107668186904,0.0646185972322835,0.209160196304496,0.332615726806175,0.0387711583393701,0.0336696901368214,0.0445528223022586,4.73348229620485,0.0180251876490054,0.0187053834093452,0.181952365890903,0,0.922685548900974,0.0285682219342727,0.0384310604592002,1.11348045967629,0.452330180625984,78.4513983124343,13.2284471470889,0.168619647726435,100,91.6798454595232
41.5,89.17,6.93,51548,309958,295654,2.28,0,0,0.0114999289710269,0.0706907398513127,0.00304409884527184,0.110264024839847,0.292233489146096,0.424820905517936,0.0152204942263592,0.0541173128048327,0.0571614116501045,6.4747982438932,0.0253674903772653,0.0328086208879298,0.152543175468622,0,1.08640505455702,0.062911376135618,0.235072077495992,1.20546314272765,0.545231926508689,75.9671778497839,13.1731686363114,0.173406055209261,100,89.1403464860952
42,115.86,6.88,59848,323418,307001,2.72,0,0,0.00749183227416197,0.0986967469161338,0.0413679434268944,0.108142970218338,0.296090240748402,0.411073579564887,0.0192181784424155,0.0547229487851831,0.0452767254829789,5.98239093683734,0.0351790385047606,0,0.145602131589148,0,1.16416558903717,0.159282868785444,0.172312142305725,1.19543584548585,0.575568157758444,76.5238549711565,12.9641271526803,0.169412886446543,100,89.4879821238367
42.5,142.56,6.87,58685,326789,310586,2.42,0,0.00708338431223558,0.0228600130076694,0.0965916042577579,0.0302653693340975,0.15808825896853,0.339680474973115,0.589530757986516,0.0341290335044078,0.0247918450928245,0.0737315912500885,7.20573367762874,0.0189963488373591,0,0.113978093024154,0,1.55770060466344,0.103674988569994,0.387976277101994,1.19870180883878,0.490363377615218,74.4788882950294,13.0672341960037,0.175448835168446,100,87.5461224910331
43,169.25,6.87,58775,321863,305394,2.22,0,0,0.0130978342731029,0.0962690819073066,0.0193193055528268,0.12148241288303,0.330392869539022,0.562879427886599,0.0258682226893783,0.0553383498038599,0.0507541078082739,6.5076589585912,0.0373288276783434,0,0.177148208543717,0,1.37789216553043,0.0740027636430316,0.169289507979856,1.08613790709706,0.49935493166205,76.1108600692875,12.6849250476434,0.166663798518315,100,88.7957851169309
43.5,195.94,6.83,60612,326384,309704,2.35,0,0,0.0180817813137706,0.0871800170485367,0.0264768940665926,0.142394027845943,0.314493839278795,0.540516105700927,0.0277684498747191,0.0568284555575646,0.0435900085242683,6.45002970578359,0,0.00807222380079043,0.196962260739287,0,1.184679565004,0.0390695631958257,0.103647353602149,1.07102265388887,0.45914808978896,76.3151267016248,12.9149123033606,0.169231355060905,100,89.2300390049854
44,222.63,6.83,51887,307172,290662,2.31,0,0,0.0254591243437395,0.0956437373994537,0.0213306176934033,0.195415981449243,0.392552174002794,0.697373581685944,0,0.0884188507613654,0.0684644019514075,7.13027502735136,0,0.0161699843804832,0.152410703841575,0,0.794393487968843,0,0.118350523976302,1.07341172908739,0.311702252100378,75.8864247820493,12.9322030399571,0.170415236679013,100,88.8186278220063
44.5,249.32,6.86,56321,319520,303521,2.14,0,0,0.00395359793885761,0.0929095515631538,0.0161438582503352,0.0906032860988202,0.311016371190132,0.42204657997305,0.00757772938281042,0.0780835592924378,0.0721531623841513,6.43876370992452,0,0.0303109175312417,0.168357378896353,0,0.670464317131269,0.0602923685675785,0.0863202216650578,1.01871040224564,0.409197386671762,77.1627004391788,12.860395162114,0.166665955039389,100,90.0230956012928
45,276.02,6.83,64895,326806,310804,2.49,0,0,0.003860954170474,0.105854493507162,0.023165725022844,0.0389312878856128,0.177925638022677,0.146394512297139,0.00128698472349133,0.0334616028107746,0.00450444653221966,3.87028480971931,0.0495489118544163,0.0421487496943411,0.161516582798162,0,0.714598267718562,0.0556620892910001,0,1.17533879872846,0.358746991673209,79.5826308541718,13.4541382993784,0.169058727450616,100,93.0367691535502
45.5,302.71,6.81,60827,323085,308333,2.37,0,0,0.0249729999708108,0.0989190258584063,0.0298378700949947,0.0265946233455388,0.170594779021383,0.0820541427612354,0.010378389598259,0.034378415544233,0.013621636347715,3.54551734650524,0.012000012972987,0.013621636347715,0.172865051746002,0,0.562054661680715,0.0392432856684169,0,1.14064988178366,0.506595142265019,80.2794381399331,13.2366629585545,0.16488235674348,100,93.5161010984877
46,329.4,6.93,59023,318014,303080,2.41,0,0,0.0234261581100699,0.08512603932955,0.0250758875544411,0.00923848488847829,0.162003431437244,0.141216840438168,0.00923848488847829,0.032334697109674,0.0148475649993401,3.63204434472746,0,0.0197967533324535,0.183449914214069,0,0.539461528309357,0.0739078791078263,0.0188069156658308,1.065065329286,0.438498086313845,80.2893625445427,13.237099115745,0.164867408287136,100,93.5264616602877
46.5,356.09,6.9,61193,318797,302506,2.51,0,0,0.0158674538686836,0.0885932841001501,0.0125617343127078,0.0409909224940993,0.177847712111495,0.123303339437895,0.0115700184459151,0.055205516584795,0.0274374723145987,4.36685553344396,0.0366934870713308,0,0.191401162290996,0,0.558666604959902,0,0.0489246494284411,1.07369771178092,0.294209040481842,79.7237079595115,13.1524663973607,0.164975598024622,100,92.8761743568723
47,382.78,6.88,57669,318673,303580,2.3,0,0.00527043942288688,0,0.0912444825087292,0.026022794650504,0.0550102114763818,0.174583305883128,0.187430001976415,0.00428223203109559,0.0372224784241386,0.0309638316094604,4.14322419131695,0,0.0230581724751301,0.207852954740101,0,0.572172079847157,0,0.127149351077146,1.28499901179261,0.417682324263785,79.3774293431715,13.2344027933329,0.166727530770955,100,92.6118321365044
47.5,409.48,6.96,59285,320441,305008,2.6,0,0,0,0.0990137963594398,0.0229502176992079,0.0216387766878246,0.16261868541153,0.152782877826155,0.0108193883439123,0.0449168546398783,0.0186880344122121,4.1330063473745,0.0180323139065205,0.0219666369406704,0.12491475633426,0,0.640966794313592,0.0259009599748203,0.0963909143366731,1.09046320096522,0.581624088548497,79.5782405707391,13.155064785186,0.165309822017139,100,92.7333053559251
48,436.17,6.95,56114,313701,299891,2.34,0,0,0.0156723609578147,0.0736934419505754,0.0176730878885995,0.0216745417501692,0.140717794131868,0.128046523570231,0.00600218079235456,0.0180065423770637,0.0233418141924899,3.62131574472058,0.0290105404963804,0,0.194737421263059,0,0.491845370484609,0.0513519912234779,0,1.08906235932389,0.42181992790714,80.3221837267541,13.3338446302156,0.166004508487664,100,93.6560283569697
48.5,462.86,7.01,55093,318022,304531,2.21,0,0,0.00361211173903478,0.0732273561640687,0.00985121383373121,0.0600924043857604,0.263355783155081,0.227563039559191,0.00722422347806956,0.0282401463233628,0.0298820152956513,4.96271315563933,0,0,0.109676847348874,0,0.580236494806768,0,0.106064735609839,1.14700966404077,0.326403551690961,78.9036255750646,13.1612216818649,0.166801228535995,100,92.0648472569295
49,489.55,6.96,52893,309997,297298,2.17,0,0,0,0.0803907190764822,0.0248908502579903,0.0201817704794516,0.203499519001137,0.142954207562782,0.0248908502579903,0.0420453551655242,0.0302726557191774,3.81233644356841,0.0393544524349306,0.0144636021769403,0.143290570404106,0,0.381099099220311,0.0292635671952048,0,1.06122476437783,0.534144192022819,80.1401287596957,13.2755686213833,0.165654445866823,100,93.4156973810789
49.5,516.24,6.91,56501,311779,298151,2.26,0,0,0.0160992248894017,0.111352972151695,0.0281736435564529,0.0194532300746937,0.194867701265466,0.123427390818746,0,0.0553410855573183,0.00939121451881765,3.59918296433686,0.0234780362970441,0.00469560725940882,0.13013540118933,0,0.376654782308293,0,0,1.00418915247643,0.385710596308582,80.7567306499056,13.1611163470859,0.16297237692969,100,93.9178469969914
50,542.94,6.89,54390,311166,297651,2.35,0,0,0.0134385572364951,0.0994453235500637,0.0241894030256912,0.0134385572364951,0.161262686837941,0.119939123335719,0.0110868097201084,0.0406516356403977,0.0194859079929179,3.30722893590144,0.0406516356403977,0,0.132705752710389,0,0.605407003504104,0.0251972948184283,0.0107508457891961,1.17352201067693,0.625564839358846,80.3363670876295,13.239666589395,0.164802903956976,100,93.5760336770244
50.5,569.63,6.93,54852,314594,301127,2.19,0,0,0,0.0780401624563722,0.013947603502841,0.0149438608959011,0.178994244953126,0.124200088334822,0.00166042898843345,0.0584471003928575,0.0275631212079953,3.54933300567535,0,0.00797005914448057,0.164050384057225,0,0.561557083888193,0,0.0481524406645701,1.0679879253604,0.33208579768669,80.4361614866817,13.334905206109,0.165782465990958,100,93.7710666927908
51,596.32,6.96,50610,306528,294345,2.13,0,0,0.0254803037252204,0.0791588102396847,0.0309161018532674,0.0754216990266524,0.177003176544531,0.216072975589869,0,0.0428069102583703,0.0125702831711087,3.41809781039257,0.0438261224073791,0.0261597784912263,0.149824185904296,0,0.459324941819973,0,0.0366916373643174,1.14967130408194,0.482427083864173,80.1647726307564,13.409774244509,0.167277643339365,100,93.5745468752654
51.5,623.01,6.93,51964,303728,290963,2.19,0,0,0.0103105893189168,0.0945137354234044,0.0189027470846809,0.0137474524252225,0.155346212405014,0.119602836099435,0.0120290208720696,0.0398676120331451,0.019590119705942,3.52862735124397,0.0329938858205339,0.0113416482508085,0.107230128916735,0,0.576018256616821,0,0.0635819674666538,1.05442960101456,0.350903723153803,80.3146791860133,13.4762839261349,0.167793534914372,100,93.7909631121483
