"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Mg","Al","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Pb","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
52,649.7,6.84,54169,310661,296053,2.37,0,0,0,0.100995429872354,0.0388443961047515,0.0324266263135317,0.19962641824268,0.115857633599389,0.00135110942973049,0.0530310451169216,0.0388443961047515,3.69967539595951,0.0131733169398723,0.017902199943929,0.130719837326425,0,0.454986100461742,0.0621510337676024,0.10302209401695,1.05758090612154,0.69176802802201,79.589127622419,13.5989164102374,0.170863996333172,100,93.1880440326563
52.5,676.4,6.9,58726,318929,304482,2.51,0,0.00229898647539099,0.0279162643440335,0.104111244671278,0.0206908782785189,0.0183918918031279,0.196727556965601,0.168154439342884,0,0.0410533299176963,0.00459797295078198,3.63174177783908,0,0.035141650409548,0.14844884098239,0,0.450272922537293,0.0495924225405771,0.0732391405731702,1.06213175163064,0.531065875815319,80.171570076392,13.2628529765306,0.165430874858669,100,93.4344230529227
53,703.09,6.88,50083,302953,288104,2.48,0,0.00833032516035876,0.0100658095687668,0.0992697081609419,0.022561297309305,0.0763613139699553,0.211034904062422,0.52446338822092,0.0298503318246189,0.0728903451531391,0.0555355010690584,7.21961513897759,0.0687251825729598,0.0093716158054036,0.132938105684059,0,1.34812428845139,0.0985755143975786,0.233943298253408,1.06281065170911,0.830255740982423,74.8090967150751,13.0761808235915,0.174793994283805,100,87.8852775386666
53.5,729.78,6.96,49347,306785,291670,2.34,0,0.0044570919189495,0.0294853773099736,0.0867418658072479,0.026742551513697,0.188226420269483,0.202969108924469,0.450509137038434,0.0298282305345082,0.0819419206637639,0.0709706174786574,8.82092776082559,0.0164569547776597,0.0222854595947475,0.10491308670758,0,1.28638529845373,0.142626941406384,0.305482223060308,1.13587273288305,0.606164500977132,73.4768745500051,12.9101381698495,0.175703420279035,100,86.3870127198546
54,756.47,7.01,53201,315316,300399,2.25,0,0,0.00565914001045276,0.0745674919024364,0.0209721070975602,0.0522638224494755,0.173435996790935,0.329561682961661,0.0113182800209055,0.0476033542055733,0.0239681223972117,6.41180563184298,0.0479362447944234,0.0216378882752606,0.107523660198603,0,1.31558360713584,0.100865848421599,0.0595874154041791,1.1181794879477,0.770308822599276,76.6377384744956,12.6694829210483,0.165316502981943,100,89.3072213955439
54.5,783.16,7.09,53031,308096,292712,2.17,0,0,0,0.0611522588756184,0.0235726584492607,0.0235726584492607,0.139386154308672,0.278089043155047,0.0222061275246659,0.0546612369837929,0.0416791932001421,5.82449643335429,0.00683265462297412,0.0133236765147995,0.18755636940064,0,1.01499084424281,0.0536363387903468,0.0239142911804094,1.0689688157643,0.650127087375987,77.7334034819208,12.7784306758862,0.164387896367592,100,90.511834157807
55,809.86,7.13,48435,292647,276115,2.36,0,0,0.0166597251145356,0.0909041522554008,0.0159353892399906,0.0985096789381236,0.243014685909856,0.481683356572443,0.0300599387936186,0.0391141372254314,0.053600854716332,6.29810042916901,0.0220922441736233,0.0217300762363508,0.21041957155533,0,1.33495101678648,0.168408090831719,0.321967296235264,1.28786918494106,0.697173279249588,75.7401807218007,12.8276261702551,0.169363553770382,100,88.5678068920558
55.5,836.55,7.12,35713,245759,231221,2.09,0,0.0121096267207563,0.0333014734820799,0.114176480509988,0.0562232669177973,0.265114327850844,0.491737342196427,1.06478217808936,0.0246517401101111,0.0869298203882865,0.13580081393991,12.2605645680972,0.117636373858776,0,0.131908433922524,0,0.88184031727222,0.323500028111633,1.15733432516943,1.47175213324049,0.62407826278755,66.9796428525091,13.7669156348256,0.20553880326207,100,80.7465584873346
56,863.24,7.18,48448,303935,289293,2.09,0,0,0.0172835153287497,0.0812325220451238,0.0110614498103998,0.114762541782898,0.388187754283719,0.625663254900741,0.0103701091972498,0.0736277753004739,0.0940223233883986,8.48171231243065,0.0152094934892998,0,0.125132650980148,0,1.12688519943448,0.225722710193472,0.435198915977919,1.14451438506981,0.653662549733315,73.2036378343064,13.1721127023468,0.179937952430196,100,86.3757505366531
56.5,889.93,7.27,49565,301741,286470,2.3,0,0,0.00942507068803016,0.090759939958809,0.0233881383740008,0.0862219429608685,0.197577407756484,0.522218731455301,0.0293224421405383,0.0663245715083604,0.0397947429050162,6.82584563828673,0.0129158376095228,0,0.154990051314274,0,1.0685237546689,0.138583446783258,0.176632806227528,1.18511536984676,0.746325967815129,75.5066848186547,13.1193493210458,0.173750832162142,100,88.6260341397005
57,916.62,7.3,49916,302391,287809,2.21,0,0,0.00868631627225,0.06010930860397,0.01494046398827,0.09554947899475,0.22897129693651,0.50832322825207,0.02675385411853,0.07261760403601,0.06810071957444,6.9733747033623,0,0.00382197915979,0.13654889179977,0,1.12192460972381,0.13724379710155,0.24808119273546,1.13999214757009,0.51284011271364,75.6550351100904,12.9870851849664,0.171661875063148,100,88.6421202950568
57.5,943.32,7.36,51911,305014,289812,2.27,0,0.0117317433370599,0.00655597421776876,0.0890232288518074,0.0175976150055898,0.0938539466964791,0.192883662512249,0.450636964652947,0.0313996659903662,0.0576235628614412,0.0531378962913889,6.44521275861593,0.0248436917725974,0.00241535892233586,0.148026996811726,0,1.10174871985977,0.0848826135563745,0.0593488192345383,1.14557023173644,0.625923012159607,76.6407188108153,12.7168647260983,0.165928307085551,100,89.3575835369136
58,970.01,7.37,49887,300883,285035,2.25,0,0,0.0063150139456558,0.0754293332397776,0.0136825302155876,0.0842001859420773,0.19576543231533,0.419597593278018,0.0399950883224867,0.0582384619432701,0.0540284526461663,5.65263914957812,0.0150858666479555,0,0.158226182749487,0,1.10512744048976,0.169803708316523,0.362762467767116,1.14968337221745,0.673250653428526,76.3607977967618,13.4053712701949,0.175553054145322,100,89.7661690669567
58.5,996.7,7.4,51901,303520,289070,2.37,0,0,0,0.0750683225516311,0.0152212266924966,0.0653820873836787,0.144601653578718,0.318262012661293,0.0380530667312416,0.0574255370671464,0.0608849067699865,4.93548275504203,0.0470474279586259,0,0.191995018507628,0,1.26924274397205,0,0.074030511640779,1.20489846749922,0.510257031168921,77.90500570796,13.0871415228145,0.167988454706927,100,90.9921472307745
59,1023.39,7.43,50910,301599,285808,2.53,0,0,0,0.0808234898953143,0.0181940323573868,0.059130605161507,0.150450652186083,0.371928007613503,0.0125958685551139,0.0622795723002855,0.039537031853552,4.81512064042994,0,0,0.15849801265185,0,1.17386497228909,0.127358226501707,0.1431030621956,1.17876336561608,0.568913396405979,77.690967362705,13.348471701282,0.171814976108662,100,91.039439063987
59.5,1050.08,7.47,49364,301162,286659,2.27,0.00209307923351438,0,0.0268611834967679,0.102909728981124,0.0129073219400054,0.169190571375746,0.405708524762872,0.712693479011648,0.0122096288621672,0.0861650951130088,0.0690716147059747,6.83843870243041,0,0,0.111630892454101,0,1.12677432070858,0.132910531328163,0.388266197816918,1.26561524319836,0.615365294653229,74.8739791878155,13.0472094021119,0.174255589774173,100,87.9211885899274
60,1076.78,7.47,47554,296952,282605,2.14,0,0.00636931406026079,0.0219387484297872,0.0895242476247766,0.0134463296827728,0.151448134321756,0.423559385007342,0.696024486474054,0.0396312874860671,0.0251234054599176,0.0576776773234727,6.92485978662798,0.0410466906105695,0,0.220095185860123,0,1.10649139257975,0.0863395905946462,0.418251623290458,1.35100228233754,0.435590311565613,74.7134693299836,13.1781107906796,0.176381995226007,100,87.8915801206631
60.5,1096.81,7.48,54042,309998,294204,2.25,0,0,0,0.0734184443447404,0.0105369063642914,0.0367092221723702,0.187624913325448,0.365732620902503,0.0254925153974793,0.0598224361327514,0.0299112180663757,5.21916765237726,0.0540441326426561,0.039428423814768,0.240989245557504,0,1.16279860233036,0.118285271444304,0.114206468980707,1.07782355100542,0.742002148169298,77.5251186251717,12.9168876018001,0.166615515472505,100,90.4420062269718
61,1116.84,7.52,53611,309588,294144,2.29,0,0.00475957354221062,0.0176784160139252,0.0788729329852045,0.0146186901653612,0.0645942123585727,0.189023063533507,0.313111945169713,0.0108790252393386,0.0390964969538729,0.0163185378590078,5.32188315926893,0.00407963446475196,0.0129188424717145,0.250217580504787,0,0.779890121845083,0.0775130548302872,0.13700772410792,1.1800342689295,0.737393929503916,77.9312173629243,12.8188914273281,0.164489813724207,100,90.7501087902524
61.5,1136.88,7.58,53475,311924,296721,2.28,0,0.0087624401373681,0.00404420314032374,0.0849282659467985,0.0175248802747362,0.114248738714146,0.262199170264322,0.412171703384661,0.0134806771344125,0.0714475888123861,0.0340387097643915,5.46237037486393,0.0181989141314568,0.0242652188419424,0.119978026496271,0,0.559448101078117,0.115259789499227,0.0397679975465168,1.2142719928822,0.639658130027871,77.9783028501522,12.8056322269068,0.164220453111359,100,90.7839350770589
62,1156.91,7.6,53940,308408,293298,2.14,0,0,0.0068190031981125,0.0712585834202756,0.02727601279245,0.0371635674297131,0.173884581551869,0.216844301699977,0.0115923054367912,0.0545520255849,0.0225027105537712,4.42212357397596,0.00170475079952812,0.0282988632721669,0.186158787308471,0,0.569386767042394,0.0419368696683919,0,1.19605316094893,0.620188340868332,79.1734004323248,13.1388553621232,0.165950373362502,100,92.312255794448
62.5,1176.94,7.63,55233,310784,295615,2.26,0,0,0.0138693909307714,0.084231179067368,0.0206349474823673,0.0169138913789896,0.159667134617661,0.130913519273379,0,0.0588603419988837,0.00710383437917562,4.36243086446899,0.0280770596891227,0.00202966696547875,0.122794851411464,0,0.548686636334421,0.00744211220675541,0.0480354515163304,1.17619200649493,0.603487644402348,79.2990883412547,13.3095411261269,0.167839774763245,100,92.6086294673816
63,1196.98,7.66,52875,305514,290450,2.15,0,0.0130831468411086,0.0265105870201412,0.0836632811155104,0.0251334136684455,0.0213461869512825,0.182475469099673,0.160440695472543,0.0110173868135652,0.0612842141504562,0.0182475469099673,3.98519538646927,0.0485453606472715,0.0130831468411086,0.174556722327423,0,0.515407126872095,0,0.00688586675847822,1.10036150800482,0.605956274746084,79.6281631950422,13.3186434842486,0.167260463507437,100,92.9468066792908
