"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0550910231511645,0.0910889369732401,26.58846642,0.463509298,59.5854791882399,-54.5476777089255,173.718636085405
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00343059763755324,0.011883938817136,25.05462045,0.186955871,54.0048675365653,-60.1568188898626,168.166553962993
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0189670249373731,0.0456581447865968,46.4043754,0.519109914,55.6831883469877,-58.4697646264371,169.836141320412
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.481911787072006,0.113497626614508,121.9608593,0.839622095,105.692744171679,-8.2606476100312,219.64613595339
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.622258624716265,0.201263877830535,150.558177,2.59385652,120.853695512021,6.93755921133769,234.769831812705
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.245503787073657,0.165074880891807,145.2111951,2.397227724,80.1547965798176,-33.8858198847848,194.19541304442
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.61480327017036,0.132105730877862,165.8736664,2.61051165,120.048331676308,6.13048878178277,233.966174570833
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.533957873410727,0.175512575489907,110.8952002,2.069414432,111.31501679058,-2.62329564094283,225.253329222102
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.252462154035728,0.171828635516228,153.965778,1.949345735,80.906473387724,-33.1311375958044,194.944084371252
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,1.09047043305662,0.329321228372807,97.81476508,1.178390202,171.432223410275,57.5619600141926,285.302486806357
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.805592071117657,0.153563649176704,168.0404108,1.955006557,140.658270425167,26.7744758762058,254.542064974127
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.759629954649892,0.200895123667755,114.9998151,1.529219743,135.693217966819,21.8030530511231,249.583382882515
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.747342864061521,0.187452315905494,209.897137,2.629036009,134.365906388935,20.4738414543994,248.25797132347
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.744892357656707,0.156746238299102,130.9618352,0.711514938,134.101190710362,20.208736899926,247.993644520798
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,1.31042605038745,0.649380265901082,119.867266,2.07053159,195.19290421621,81.3025078029935,309.083300629427
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,1.41576034919574,0.296159386585436,112.4064678,0.932757371,206.571629989493,92.6621591930621,320.481100785925
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.986338804613717,0.240538557023644,127.1397723,0.326624311,160.18341596785,46.3133900277111,274.05344190799
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.371847574354735,0.148268634889439,94.40874214,1.478332239,93.8030699807347,-20.1871133338583,207.793253295328
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.262018961048757,0.10659942555902,91.74775016,0.40610632,81.9388463896782,-32.0946800646388,195.972372843995
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.410835675238125,0.147888876418606,100.7977844,1.025597866,98.0147551905126,-15.9616342915593,211.991144672585
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.693548897807029,0.157278884867575,91.25190224,0.699750267,128.554819238859,14.653457439895,242.456181037822
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.356066470063264,0.158999774187075,121.0153008,1.039947828,92.0983179658278,-21.8976859529632,206.094321884619
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.624922102147211,0.123664364656567,85.39705279,1.57965392,121.141417361722,7.22588333983742,235.056951383607
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.538117127018687,0.186284944746077,121.2110164,1.417347214,111.764319693451,-2.17285193603843,225.701491322941
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.56467834536222,0.195910057526704,95.32051892,1.284724348,114.63359231552,0.703481561824418,228.563703069215
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.708292936243323,0.135716963348274,119.1548845,2.957478603,130.147542331483,16.2488871082601,244.046197554706
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.335976770186922,0.117554704033107,121.5336821,2.37450858,89.9281303978021,-24.0754810953319,203.931741890936
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.403788751303297,0.148950741825302,118.8967341,1.10170535,97.2535120255913,-16.725308818996,211.232332870179
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.489609348119938,0.069567273308542,85.79649547,1.323999276,106.524272337514,-7.42679539527867,220.475340070306
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.521477935141629,0.178259459756541,111.2286921,1.368956728,109.96687286369,-3.97491965924446,223.908665386625
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.618068335738772,0.125420230093375,136.1592518,2.420949669,120.401040016849,6.48394828697906,234.318131746719
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.58664821768775,0.122753269958145,116.7915838,1.35786783,117.006885300754,3.08232169886787,230.931448902639
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.353664501325522,0.0992386742148894,95.07661499,0.69914278,91.8388455632773,-22.1580562722696,205.835747398824
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.565397687370857,0.156487760209359,101.292967,0.811859205,114.71129915504,0.781374231002587,228.641224079077
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.278588934242793,0.0953998381806369,119.6977813,1.823339563,83.7288158789966,-30.2977473801152,197.755379138108
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.49388184738218,0.187965597430485,99.83622626,1.333664845,106.985808589443,-6.96398324489384,220.93560042378
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.259720876414778,0.100617241115262,110.4667193,1.25507819,81.6905960557443,-32.3439080135586,195.725100125047
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.417227622904329,0.0938760559361995,95.05242503,0.168162163,98.7052446177341,-15.2689630770366,212.679452312505
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.734099357408595,0.114173623807315,109.9097917,0.96047458,132.935278073323,19.0410721558788,246.829483990766
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.594118241050948,0.125356603039793,92.99111859,0.763475857,117.813833733804,3.89109575096815,231.73657171664
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.739208125195686,0.327201922421823,54.97448254,0.904111945,133.487152138526,19.5937835579221,247.38052071913
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.535856982313581,0.146750173182108,53.58134359,0.512470791,111.520167816064,-2.4176225469225,225.45795817905
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.662692963208732,0.138490953796253,126.2966844,0.909448982,125.221610376744,11.314197137978,239.129023615511
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.971980685768573,0.205921166331038,152.5618881,1.310436979,158.632381795625,44.7619200285119,272.502843562737
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.892228732208071,0.267087362586863,138.0986394,3.800967424,150.017185988415,36.1422363734276,263.892135603402
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.769789205781814,0.128139371476628,172.6424549,2.126521142,136.790669926911,22.9020132187653,250.679326635057
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.93584772166063,0.196714421581179,142.7753473,1.931616323,154.729122414666,40.857061407,268.601183422332
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,1.04571612327305,0.184318601799861,129.6985539,0.996133225,166.597644133048,52.7282146922735,280.467073573822
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.78340910529097,0.103720717392648,153.3496638,2.167962906,138.261958038454,24.3752341380352,252.148681938873
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.727452489282417,0.117394970305649,135.6264282,2.715802678,132.217250892104,18.3219340334021,246.112567750806
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.521318933527439,0.159122397871597,151.7312933,1.325348387,109.949696732213,-3.99214068154683,223.891534145973
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.464042225966785,0.172193624772927,121.4529542,1.405222576,103.762386844525,-10.1965256692964,217.721299358346
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.484774541629981,0.120350787116861,127.9383347,0.485558929,106.001992910599,-7.950530744022,219.954516565219
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,1.41053315476428,0.20586303645784,230.1968823,2.48800676,206.006962899361,92.0985826632056,319.915343135516
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,1.27476313488842,0.214959146805854,147.1050077,0.981019187,191.340421783325,77.4550993499314,305.225744216718
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,1.0645707933799,0.14756007583768,90.62519465,1.806865583,168.634417749228,54.7647714643091,282.504064034146
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.647369949803935,0.0997011612502054,90.09213851,1.320509697,123.566343578312,9.65573050446658,237.476956652157
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.820077494783037,0.217277684447578,91.69283278,2.73622133,142.22305668627,28.3410287614853,256.105084611055
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,1.03185808478264,0.296234304430191,107.4610267,2.19863695,165.100631084857,51.231236165123,278.970026004592
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.517359752008724,0.108829175220817,263.6699608,4.67933169,109.522006594264,-4.42095309475876,223.464966283286
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,2.36391994043287,0.618345731808102,227.4544094,2.714332835,308.996463116561,194.641165995888,423.351760237235
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,1.5092051891089,0.503803035024046,198.7277638,1.546696593,216.665998303801,102.734495541799,330.597501065804
