Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,1.1,-51.51,75,329,450,1314.028776,1127.492248,1528.280223,15457.31168,15661.371,15224.56724,225.918915,208.39612,244.4119097
HER42PB,1.2,-50.47,110,410,680,1533.687687,1318.513834,1779.800288,15251.69521,15482.92473,14988.7472,211.876471,195.8208074,228.7118812
HER42PB,1.3,-49.42,122,369,592,1817.202457,1566.201893,2102.736905,14981.4651,15247.05057,14680.76828,198.5918154,184.0069054,213.7541825
HER42PB,1.4,-48.38,84,436,668,1146.290924,982.1339327,1335.435978,15611.38009,15794.44191,15402.18699,239.5883587,220.6835295,259.6364036
HER42PB,1.5,-47.34,102,350,855,1830.415526,1577.741198,2117.790992,14972.9625,15239.85857,14670.80748,193.8813429,179.6596049,208.660901
HER42PB,1.6,-46.29,100,367,954,1678.823506,1445.16242,1945.336223,15112.15594,15361.20091,14829.58282,206.2799211,190.8960408,222.3403282
HER42PB,1.7,-45.25,96,330,827,1705.567128,1468.54379,1975.773338,15085.3753,15337.73847,14799.16792,206.3169367,190.9771076,222.3181081
HER42PB,1.8,-44.2,136,418,900,1955.47119,1687.434541,2259.583687,14851.71731,15133.49758,14533.37763,190.0708723,176.3272471,204.2980542
HER42PB,1.9,-43.16,76,511,787,898.5269498,768.2115873,1049.379397,15835.94911,15987.51512,15662.40315,262.783304,241.5326583,285.4768185
HER42PB,2,-42.11,298,262,460,4544.930131,4015.919717,5115.860356,12332.02824,12867.06356,11755.4391,120.3010002,114.2760961,125.9599159
HER42PB,2.1,-41.07,88,292,596,1717.754435,1479.188709,1989.658095,15074.93524,15328.69152,14787.19177,204.569692,189.3791409,220.4095051
HER42PB,2.3,-38.98,75,356,698,1242.045823,1065.066582,1445.594939,15522.50758,15717.66922,15299.72962,232.7059664,214.5235644,251.9348065
HER42PB,2.4,-37.94,105,400,798,1536.075569,1320.621485,1782.489622,15245.63568,15477.4154,14982.10514,215.5481169,199.2224864,232.6646023
HER42PB,2.5,-36.89,309,414,751,3530.631643,3090.553007,4015.003302,13326.33777,13774.68667,12833.85681,140.2899529,132.0196884,148.399255
HER42PB,2.6,-35.85,156,446,772,1938.336475,1672.410574,2240.148246,14866.0496,15145.94722,14549.76719,192.8732911,178.9015792,207.3439349
HER42PB,2.7,-34.8,182,436,729,2186.821637,1891.006194,2520.959658,14628.62722,14937.23752,14281.34076,181.8105144,169.0156543,194.9589524
HER42PB,2.8,-33.76,97,451,577,1203.998428,1032.112895,1401.827135,15555.00359,15745.57499,15337.39255,238.2573457,219.5714803,258.0396803
HER42PB,2.9,-32.72,92,389,494,1318.635289,1131.502558,1533.549117,15451.02585,15655.80092,15217.49581,227.5982269,209.9558921,246.2144426
HER42PB,3,-31.67,101,443,725,1337.9749,1148.282611,1555.751125,15434.57731,15641.65443,15198.46659,224.7071581,207.3223273,243.0416574
HER42PB,3.1,-30.63,100,514,681,1165.57396,998.8028198,1357.667161,15597.39955,15782.62529,15385.7457,234.2858539,215.8312553,253.8465104
HER42PB,3.2,-29.58,92,534,699,1015.540686,869.1119469,1184.678997,15733.56159,15899.83295,15543.30185,248.1570964,228.3144705,269.2785214
HER42PB,3.3,-28.54,126,467,786,1530.701964,1315.931609,1776.361409,15251.76333,15482.81277,14989.03326,214.7940715,198.5149946,231.8646997
HER42PB,3.4,-27.49,178,443,778,2051.759553,1772.107504,2368.449431,14753.70981,15047.07072,14422.87251,191.7900101,178.0811407,205.9374296
HER42PB,3.5,-26.45,88,440,690,1195.547689,1024.770416,1392.139185,15566.96776,15756.17607,15350.858,234.7439229,216.3128798,254.2621793
HER42PB,3.6,-25.41,103,506,793,1167.282451,1000.313953,1359.58698,15589.78358,15775.66158,15377.43862,240.1933414,221.2838305,260.2337728
HER42PB,3.7,-24.36,138,473,805,1670.097538,1437.527811,1935.413109,15121.95408,15369.844,14840.64008,205.2077465,189.8875614,221.2061754
HER42PB,3.8,-23.32,120,472,913,1564.119036,1345.032489,1814.562883,15223.70792,15458.61357,14956.69163,209.4324141,193.6133139,226.0048577
HER42PB,3.9,-22.27,180,408,777,2332.660701,2019.770337,2685.094607,14488.01843,14813.11967,14123.09513,176.5802382,164.369359,189.0696287
HER42PB,4,-21.23,106,499,616,1193.410862,1022.916601,1389.685468,15569.52415,15758.4212,15353.75987,234.3243603,215.9215687,253.8140291
HER42PB,4.1,-20.19,131,584,680,1219.74643,1045.733732,1419.97044,15544.47761,15736.74176,15324.93901,233.0353306,214.7838771,252.3499198
HER42PB,4.2,-19.14,151,509,710,1697.035485,1461.050612,1966.112191,15098.12164,15349.15182,14813.34603,202.1022442,187.0569374,217.8011469
HER42PB,4.3,-18.1,179,490,686,1888.380255,1628.58318,2183.518196,14913.49151,15187.52306,14603.58797,195.3876016,181.1531301,210.1532061
HER42PB,4.4,-17.05,121,408,729,1748.716185,1506.230439,2024.933777,15049.823,15307.01851,14758.28057,198.7201876,184.0104236,214.0450245
HER42PB,4.5,-16.01,174,479,856,2017.224927,1741.69699,2329.463592,14791.47259,15080.53723,14465.24818,188.5618558,175.0251528,202.5475985
HER42PB,4.6,-14.96,177,540,1101,1871.753486,1614.022526,2164.632498,14927.24594,15199.44583,14619.35079,198.2599438,183.7910107,213.276083
HER42PB,4.7,-13.92,158,553,944,1684.981101,1450.525726,1952.373036,15108.45156,15358.0997,14825.20128,203.8267117,188.6339444,219.6850576
HER42PB,4.8,-12.88,172,480,1167,2073.625591,1791.301322,2393.219145,14737.22548,15032.84417,14403.92091,186.4082948,173.1138769,200.1193168
HER42PB,4.9,-11.83,166,674,968,1402.282041,1204.146199,1629.475717,15375.46042,15590.46617,15130.50856,219.5169107,202.6469985,237.2750953
HER42PB,5,-10.79,193,629,980,1730.178399,1490.030497,2003.826326,15065.80482,15320.88078,14776.59615,201.2761522,186.3480874,216.8368888
HER42PB,5.1,-9.74,359,958,1217,1891.618727,1631.427522,2187.184868,14909.91796,15184.36233,14599.56839,195.7226809,181.4695165,210.5061059
HER42PB,5.2,-8.7,202,764,1337,1476.713793,1268.931162,1714.620168,15299.96291,15524.55763,15044.39922,220.5826692,203.7705724,238.2399765
HER42PB,5.3,-7.65,233,579,1223,2216.582187,1917.276634,2554.462911,14597.82652,14909.95263,14246.78387,182.8506659,170.0301091,196.0125879
HER42PB,5.4,-6.61,107,376,1010,1852.907046,1597.451758,2143.319206,14951.13142,15220.7237,14646.03801,193.220904,179.0839128,207.9021526
HER42PB,5.5,-5.57,209,490,1119,2416.971438,2094.345583,2779.78679,14408.41058,14742.80181,14033.59437,171.8773459,160.111974,183.8782072
HER42PB,5.6,-4.52,160,385,810,2312.935206,2002.340514,2662.914607,14506.47991,14829.40184,14143.88411,177.8442562,165.5170197,190.4606535
HER42PB,5.7,-3.48,142,567,1127,1501.002613,1290.054618,1742.428525,15280.63535,15507.97836,15022.00185,215.6214073,199.226393,232.8289898
HER42PB,5.8,-2.43,112,499,798,1269.435556,1088.812911,1477.067553,15497.30368,15695.88731,15270.69201,230.52013,212.5591506,249.499804
HER42PB,5.9,-1.39,136,480,966,1706.046838,1468.926116,1976.372158,15089.61824,15341.73156,14803.65328,201.5942947,186.6016956,217.2339343
HER42PB,6,-0.34,344,493,943,3217.65652,2808.570503,3670.636996,13628.36456,14046.77144,13166.13711,151.2382848,141.9174301,160.4852609
HER42PB,6.1,0.7,135,656,803,1158.945413,993.0848797,1350.007786,15599.83614,15784.48983,15388.85133,238.4778175,219.6846555,258.4002529
HER42PB,6.2,1.74,153,558,633,1479.830943,1271.608567,1718.23724,15302.34254,15526.95824,15046.71925,215.0858899,198.6925612,232.3028818
HER42PB,6.3,2.79,104,474,654,1226.232263,1051.368567,1427.406271,15535.83572,15729.10441,15315.18888,235.191388,216.7863893,254.6642195
HER42PB,6.4,3.83,303,364,907,3811.837408,3345.395801,4322.430696,13049.11939,13523.26222,12531.05831,136.302566,128.6013471,143.7703587
HER42PB,6.5,4.88,87,375,903,1461.644276,1255.759941,1697.461083,15322.34107,15544.51529,15069.40609,213.2740271,196.9841353,230.3921933
HER42PB,6.6,5.92,148,559,724,1456.218685,1251.053634,1691.231558,15325.21221,15546.86943,15072.8663,215.8284689,199.3363059,233.1615094
HER42PB,6.7,6.97,90,446,810,1274.365767,1093.064744,1482.765294,15496.83891,15695.74858,15269.83378,226.0546874,208.4460421,244.66029
HER42PB,6.8,8.01,174,370,749,2571.253604,2231.142041,2952.598025,14259.52007,14610.81156,13866.83013,166.4856961,155.3057656,177.8312132
HER42PB,6.9,9.05,100,499,898,1217.504281,1043.792794,1417.389671,15546.23773,15738.24227,15326.99254,233.5173609,215.2243066,252.8771533
HER42PB,7,10.1,132,442,898,1723.876561,1484.536931,1996.631579,15069.68167,15324.13766,14781.16703,203.7011363,188.58478,219.4607587
HER42PB,7.1,11.14,86,333,939,1733.652305,1493.035597,2007.825543,15066.5987,15321.82531,14777.19722,197.008362,182.3984601,212.2366037
HER42PB,7.2,12.19,96,345,1146,1807.673707,1557.857431,2091.912696,14990.48578,15254.93989,14691.02496,199.0998796,184.4620424,214.3217099
HER42PB,7.3,13.23,101,460,1117,1384.616325,1188.799796,1609.223704,15390.75146,15603.65085,15148.15267,221.8915861,204.8087256,239.8829945
HER42PB,7.4,14.27,313,422,811,3519.603544,3080.594188,4002.89983,13336.7072,13784.0388,12845.24724,140.9486213,132.6263825,149.1122975
HER42PB,7.5,15.32,139,480,880,1700.139491,1463.755141,1969.658034,15096.22362,15347.55942,14811.10539,200.8962557,185.9448125,216.495948
HER42PB,7.6,16.36,105,388,681,1580.765449,1359.558515,1833.549601,15206.47975,15443.51955,14937.11729,210.014174,194.1813081,226.5924777
HER42PB,7.7,17.41,125,451,880,1706.204318,1469.051624,1976.568745,15091.01111,15343.04238,14805.12578,200.0439392,185.1653691,215.5648463
HER42PB,7.8,18.45,149,427,884,1944.794751,1678.101768,2247.433478,14857.43094,15138.2393,14540.17614,195.0336831,180.9182965,209.6497496
HER42PB,7.9,19.5,168,475,955,2013.6239,1738.540958,2325.377293,14793.93395,15082.64016,14468.10397,189.7015156,176.0782514,203.7781074
HER42PB,8,20.54,215,541,699,2036.334792,1758.508248,2351.059902,14772.05771,15063.41179,14443.36491,188.8668659,175.3393322,202.8345534
HER42PB,8.1,21.58,197,486,938,2251.382735,1947.94279,2593.713589,14568.66,14884.47768,14213.63535,177.2166346,164.8388963,189.9104333
HER42PB,8.2,22.63,218,420,964,2755.745381,2395.257663,3158.494782,14079.05042,14450.19272,13665.55628,162.4635703,151.8089896,173.2083092
HER42PB,8.3,23.67,275,719,990,1989.350922,1717.214078,2297.908313,14816.79724,15102.69678,14494.00843,191.1112078,177.34851,205.342624
HER42PB,8.4,24.72,154,540,1056,1658.211657,1427.155131,1921.858422,15132.09185,15378.61812,14852.2849,206.9558611,191.4861185,223.1160493
HER42PB,8.5,25.76,190,614,1095,1798.678236,1549.943514,2081.745995,15003.54343,15266.63617,14705.53987,195.037708,180.679684,209.9735043
HER42PB,8.6,26.81,241,621,1105,2037.885933,1759.888221,2352.791159,14768.88027,15060.51794,14439.89227,190.4931613,176.8532107,204.5759379
HER42PB,8.7,27.85,202,518,1007,2142.369234,1851.829169,2470.828509,14671.12139,14974.66216,14329.28321,183.7687489,170.7680436,197.1476447
HER42PB,8.8,28.89,170,564,775,1649.581512,1419.607149,1912.040137,15141.7991,15387.17884,14863.24303,205.8787615,190.4733809,221.9762062
HER42PB,8.9,29.94,157,525,865,1714.941475,1476.713134,1986.479891,15079.67257,15332.95533,14792.43455,202.6453257,187.5909018,218.3449308
HER42PB,9,30.98,226,647,797,1830.086791,1577.478623,2117.381658,14970.27342,15237.32228,14667.97184,196.8991611,182.4584615,211.9058662
HER42PB,9.1,32.03,221,620,996,1938.336475,1672.410574,2240.148246,14866.0496,15145.94722,14549.76719,192.8732911,178.9015792,207.3439349
HER42PB,9.2,33.07,197,509,797,2030.979041,1753.806155,2344.994019,14776.43279,15067.2112,14448.36738,189.8475336,176.2420168,203.8979741
HER42PB,9.3,34.12,170,480,883,1924.789076,1660.530161,2224.784232,14877.92895,15156.30123,14563.31047,194.5413474,180.4279809,209.1646681
HER42PB,9.4,35.16,199,463,694,2168.053041,1874.472929,2499.782403,14645.4011,14951.94412,14300.34284,183.8052239,170.8423224,197.1341241
HER42PB,9.5,36.2,124,422,1083,1754.449444,1511.278806,2031.407406,15040.29858,15298.44594,14747.74115,202.5113497,187.5346181,218.1108122
HER42PB,9.6,37.25,151,506,1035,1767.266809,1522.459336,2046.030262,15032.27787,15291.69054,14738.30712,197.7146857,183.1094911,212.9219888
HER42PB,9.7,38.29,133,531,1083,1453.219481,1248.473887,1687.756481,15323.54825,15545.14284,15071.30257,220.4916353,203.6426393,238.2003226
HER42PB,9.8,39.34,87,328,963,1631.818509,1404.124145,1891.756185,15155.31412,15398.75892,14878.91029,210.1267405,194.3763054,226.5928935
HER42PB,9.9,40.38,108,334,764,1895.032078,1634.412269,2191.068212,14907.67731,15182.46037,14596.95238,194.5499804,180.3867299,209.2387791
HER42PB,10,41.43,99,361,811,1670.254463,1437.652798,1935.609143,15123.37497,15371.18034,14842.14326,203.6299387,188.4262261,219.5069664
HER42PB,10.1,42.43,149,502,653,1632.131325,1404.373133,1892.147254,15158.21936,15401.48952,14881.9861,206.9086837,191.3967137,223.126012
HER42PB,10.2,43.43,111,386,633,1591.848162,1369.239993,1846.175302,15193.92463,15432.45529,14922.93129,211.4865789,195.5640819,228.1527784
HER42PB,10.3,44.43,88,432,764,1206.28402,1034.085993,1404.465865,15554.12336,15744.89412,15336.27996,236.8519847,218.2792513,256.5135408
HER42PB,10.4,45.43,94,413,806,1407.24489,1208.467627,1635.150437,15369.72067,15585.41749,15124.00752,220.293808,203.3742561,238.1014161
HER42PB,10.5,46.43,213,546,715,2055.867224,1775.676517,2373.154199,14754.40173,15047.95617,14423.3245,186.990413,173.6266859,200.7806656
HER42PB,10.6,47.43,206,434,658,2400.339883,2079.655015,2761.079227,14421.49303,14754.20813,14048.47642,175.4264607,163.3962196,187.7037211
HER42PB,10.7,48.43,230,490,805,2437.144557,2112.227375,2802.390343,14387.47858,14724.18251,14010.21833,172.6362315,160.8494836,184.6506917
HER42PB,10.8,49.44,210,449,1202,2583.718531,2242.241849,2966.493687,14244.93596,14597.71498,13850.69624,168.6048792,157.3025412,180.0694427
HER42PB,10.9,50.44,244,559,920,2212.586571,1913.768949,2549.93777,14600.00024,14911.77079,14249.3498,184.6725594,171.7196309,197.9717998
HER42PB,11,51.44,317,592,1021,2684.046101,2331.426149,3078.548984,14148.02927,14511.58221,13742.47394,165.1839957,154.2510062,176.2364426
HER42PB,11.1,52.44,472,625,904,3371.365188,2946.859084,3840.031083,13479.91123,13913.22241,13002.55948,145.9829516,137.1778708,154.668807
HER42PB,11.2,53.44,211,740,889,1525.345011,1311.256763,1770.251451,15257.87199,15488.19283,14995.94074,214.0423631,197.8097704,231.0671798
HER42PB,11.3,54.44,179,561,917,1795.091949,1546.837375,2077.623179,15002.90262,15265.82829,14705.10901,199.2647969,184.5937044,214.5271767
HER42PB,11.4,55.44,197,733,1140,1500.853286,1289.936035,1742.241347,15279.11516,15506.55285,15020.38814,217.2909276,200.7704882,234.6298827
HER42PB,11.5,56.45,418,649,644,2804.60818,2438.82007,3212.89199,14030.97933,14407.30245,13612.0893,161.671862,151.1368445,172.2780801
HER42PB,11.6,57.45,464,483,799,4057.869911,3569.390231,4590.053786,12809.82963,13305.35263,12270.88493,129.5598279,122.5165107,136.320657
HER42PB,11.7,58.45,154,417,687,1996.397195,1723.393542,2305.898739,14811.30845,15097.95273,14487.70461,189.5537236,175.9130979,203.6560211
HER42PB,11.8,59.45,155,388,612,2030.801139,1753.66354,2344.77341,14775.13846,15065.98597,14447.00813,191.3197663,177.6098562,205.4778333
HER42PB,11.9,60.45,129,456,668,1589.224693,1366.936006,1843.204084,15198.53973,15436.60768,14928.04233,209.4949461,193.7156802,226.0129499
HER42PB,12,61.45,174,384,732,2396.461138,2076.209424,2756.743394,14426.33806,14758.56041,14053.83765,174.4601686,162.4895372,186.6783241
HER42PB,12.1,62.45,180,446,769,2123.834852,1835.522463,2449.88651,14686.92537,14988.45861,14347.26058,186.4991497,173.2782937,200.1122765
HER42PB,12.2,63.46,160,472,884,1905.132081,1643.257927,2202.539186,14899.5727,15175.45021,14587.6469,192.5545851,178.5512342,207.0732842
HER42PB,12.3,64.46,117,509,844,1328.23863,1139.836811,1544.571134,15442.43587,15648.38428,15207.59329,226.5848659,209.0382768,245.0949483
HER42PB,12.4,65.46,171,530,812,1729.855817,1489.77329,2003.423846,15062.99588,15318.23611,14773.62819,204.4076726,189.249969,220.2073341
HER42PB,12.5,66.46,301,720,809,2073.536588,1791.22992,2393.108869,14736.59294,15032.24495,14403.2572,187.1298439,173.784498,200.8933044
HER42PB,12.6,67.46,198,556,811,1908.396226,1646.125613,2206.233756,14895.97865,15172.27093,14583.60498,192.8844972,178.862828,207.4206318
HER42PB,12.7,68.46,158,467,785,1881.748546,1622.772423,2175.989967,14919.28233,15192.56443,14610.19818,196.2284919,181.9225111,211.0712193
HER42PB,12.8,69.46,167,674,953,1379.444038,1184.319821,1603.27499,15393.2714,15605.68953,15151.2245,224.5439327,207.2500206,242.7598776
HER42PB,12.9,70.46,369,574,1074,3091.941932,2695.733884,3531.731138,13751.21825,14157.08985,13301.79822,154.0991818,144.4356392,163.7300113
HER42PB,13,71.47,218,541,1001,2168.144447,1874.546385,2499.895439,14646.01857,14952.53004,14300.98948,183.0963544,170.18294,196.3744503
HER42PB,13.1,72.47,161,425,829,2052.118542,1772.395397,2368.894404,14756.29121,15049.51524,14425.58221,188.8496181,175.3487307,202.7827564
HER42PB,13.2,73.47,112,344,911,1849.060006,1594.127769,2138.885586,14949.25887,15218.74742,14644.31582,198.9404905,184.3841786,214.0579622
HER42PB,13.3,74.47,189,504,1248,2251.198646,1947.794637,2593.48632,14567.46876,14883.34562,14212.3899,178.5919578,166.1191084,191.3831482
HER42PB,13.4,75.47,138,479,944,1718.075015,1479.444263,1990.058177,15077.74863,15331.33981,14790.16519,201.4357192,186.4753006,217.0360054
HER42PB,13.5,76.47,198,418,895,2507.336119,2174.454729,2881.025158,14318.45053,14662.93676,13932.96007,171.4727248,159.8678775,183.2741426
HER42PB,13.6,77.47,113,475,904,1461.500448,1255.645809,1697.280645,15320.83332,15543.1025,15067.80423,214.9256049,198.5110574,232.174499
HER42PB,13.7,78.48,212,423,771,2515.697107,2181.872835,2890.383686,14310.18848,14655.59866,13923.72304,171.3737814,159.7878712,183.1526388
HER42PB,13.8,79.48,333,857,1106,1999.70998,1726.31564,2309.631651,14806.938,15094.04269,14482.84363,190.6113889,176.9010389,204.7840878
HER42PB,13.9,80.48,158,480,1072,1941.821792,1675.460925,2244.10952,14863.72113,15143.96532,14547.05568,191.7164453,177.8331198,206.0941663
HER42PB,14,81.48,200,425,1111,2605.338299,2261.440684,2990.668185,14224.54121,14579.6289,13827.86879,167.3798641,156.1897877,178.7223932
HER42PB,14.1,82.48,111,383,1029,1788.582808,1541.156329,2070.201833,15007.00773,15269.29104,14709.93041,201.668833,186.8120016,217.1271219
HER42PB,14.2,83.48,140,409,1068,2088.069499,1804.002529,2409.549275,14724.39327,15021.61841,14389.349,184.7966048,171.6384274,198.3610982
HER42PB,14.3,84.48,181,525,1120,2010.203326,1735.530138,2321.513995,14797.67678,15085.95591,14472.30582,189.3792667,175.7733175,203.4395578
HER42PB,14.4,85.49,194,502,1262,2209.156369,1910.716658,2546.110272,14605.86491,14917.09436,14255.77744,182.2380941,169.4483499,195.3716616
HER42PB,14.5,86.49,167,511,1016,1820.166009,1568.814589,2106.078539,14976.61756,15242.68533,14675.40779,200.4758004,185.7594523,215.7730361
HER42PB,14.6,87.49,159,406,906,2153.409434,1861.556223,2483.283359,14660.57165,14965.37402,14317.37654,183.2782888,170.3291244,196.5994697
HER42PB,14.7,88.49,162,346,795,2507.336119,2174.454729,2881.025158,14318.45053,14662.93676,13932.96007,171.4727248,159.8678775,183.2741426
HER42PB,14.8,89.49,132,386,884,2070.468011,1788.491272,2389.696223,14743.55251,15038.60546,14410.83641,183.2388525,170.1626381,196.7267372
HER42PB,14.9,90.49,157,411,1122,2167.961284,1874.399192,2499.668935,14644.78128,14951.35594,14299.69373,184.5168077,171.5042335,197.896702
HER42PB,15,91.49,139,420,940,1958.810804,1690.371166,2263.35982,14848.05308,15130.2541,14529.26008,190.3954812,176.6341075,204.6394695
HER42PB,15.1,92.49,205,559,912,1958.638728,1690.233403,2263.146117,14846.74873,15129.02101,14527.88825,191.8719146,178.0049578,206.2250035
HER42PB,15.2,93.5,407,546,793,3329.222777,2908.899194,3793.649347,13521.03518,13950.27862,13047.79566,147.0014145,138.0815566,155.8143656
HER42PB,15.3,94.5,127,423,1034,1888.549199,1628.718265,2183.728307,14914.82574,15188.78281,14604.99322,193.8844275,179.7582944,208.5378458
HER42PB,15.4,95.5,80,356,796,1384.474571,1188.687458,1609.045598,15389.17579,15602.17636,15146.47611,223.6090085,206.3955548,241.7376622
HER42PB,15.5,96.5,90,318,839,1820.826753,1569.34227,2106.901434,14982.05427,15247.81231,14681.14182,194.3783447,180.1047938,209.2161115
HER42PB,15.6,97.5,87,339,814,1594.937723,1371.915177,1849.728997,15193.70976,15432.43589,14922.48241,208.6118865,192.9083061,225.047959
HER42PB,15.7,98.5,199,318,1069,3342.172788,2920.574883,3807.887464,13507.51336,13938.0487,13032.97275,147.5732206,138.6357859,156.3991595
HER42PB,15.8,99.5,112,350,932,1908.396226,1646.125613,2206.233756,14895.97865,15172.27093,14583.60498,192.8844972,178.862828,207.4206318
HER42PB,15.9,100.51,149,556,919,1606.570306,1382.043522,1863.028883,15185.42341,15425.38508,14912.81511,205.2656501,189.83077,221.4153801
HER42PB,16,101.51,114,519,968,1292.500438,1108.832613,1503.536725,15473.68921,15675.31535,15243.68924,231.0697236,213.1114007,250.0334077
HER42PB,16.1,102.51,147,480,822,1730.017723,1489.902385,2003.625852,15064.4057,15319.5635,14775.11782,202.8359421,187.7934857,218.5156978
HER42PB,16.2,103.51,227,554,899,2171.887265,1877.842988,2504.119237,14642.67473,14949.5988,14297.20077,182.6973721,169.8175789,195.9393575
HER42PB,16.3,104.51,85,455,854,1127.673493,966.0177906,1314.004677,15630.17709,15810.76108,15423.76191,239.4087847,220.480498,259.4927775
HER42PB,16.4,105.51,87,400,737,1292.772907,1109.048194,1503.879701,15476.95119,15678.36297,15247.16652,227.5352757,209.8482056,246.2131506
HER42PB,16.5,106.51,115,297,955,2356.630248,2040.949889,2712.046941,14466.36692,14794.06406,14098.66872,174.2622015,162.2454165,186.5437076
HER42PB,16.6,107.52,94,382,912,1479.757655,1271.550391,1718.145334,15301.58469,15526.24788,15045.91442,215.9170185,199.4610962,233.1996154
HER42PB,16.7,108.52,69,273,661,1606.264833,1381.800497,1862.646783,15182.53607,15422.67261,14909.75655,208.45847,192.7862633,224.8560385
HER42PB,16.8,109.52,56,214,877,1789.235953,1541.677645,2071.015788,15012.4879,15274.45608,14715.71402,195.5355138,181.1256479,210.5295654
HER42PB,16.9,110.52,119,348,726,1941.650026,1675.323452,2243.896128,14862.40634,15142.72274,14545.67241,193.2030045,179.2131763,207.6908318
HER42PB,17,111.52,95,305,841,1839.552269,1585.783885,2128.110799,14959.78955,15228.0564,14656.16894,197.9175525,183.4190864,212.9796301
HER42PB,17.1,112.52,123,346,705,1975.407075,1704.981391,2282.101815,14828.33772,15112.71985,14507.20525,193.5145732,179.5581248,207.9523065
HER42PB,17.2,113.52,97,305,830,1891.78825,1631.563079,2187.395687,14911.25416,15185.62402,14600.97562,194.2169587,180.0722707,208.8880667
HER42PB,17.3,114.52,90,333,695,1623.468132,1396.811945,1882.268722,15166.36661,15408.58814,14891.28867,207.424624,191.8592887,223.7019772
HER42PB,17.4,115.53,89,322,639,1566.552811,1347.181524,1817.302611,15217.64505,15453.10135,14950.04623,213.0615042,196.9764985,229.9105247
HER42PB,17.5,116.53,114,310,886,2157.221004,1864.9055,2487.595831,14657.86448,14963.04619,14314.25526,182.1738869,169.3076808,195.4082784
HER42PB,17.6,117.53,126,433,643,1626.299584,1399.287068,1885.491898,15163.1734,15405.77304,14887.68243,207.7863883,192.1992596,224.085042
HER42PB,17.7,118.53,101,345,748,1657.89377,1426.901985,1921.46123,15129.19096,15375.8903,14849.21536,210.1746425,194.4670859,226.5827781
HER42PB,17.8,119.53,73,329,861,1461.500448,1255.645809,1697.280645,15320.83332,15543.1025,15067.80423,214.9256049,198.5110574,232.174499
HER42PB,17.9,120.53,77,363,855,1316.227128,1129.414176,1530.782963,15452.9605,15657.45658,15219.74416,228.0717427,210.38861,246.7322488
HER42PB,18,121.53,128,389,731,1852.407676,1597.052726,2142.697691,14947.102,15216.92167,14641.79098,197.7496966,183.2849707,212.7706934
HER42PB,18.1,122.54,84,281,989,1904.962823,1643.122551,2202.328752,14898.24898,15174.20001,14586.25318,194.0475681,179.936804,208.6774409
HER42PB,18.2,123.54,140,396,970,2038.240083,1760.172157,2353.230267,14771.44686,15062.94777,14442.58723,187.5724299,174.1394465,201.4418706
HER42PB,18.3,124.54,303,604,962,2428.514091,2104.619403,2792.661555,14392.64094,14728.56914,14016.22449,176.1043413,164.0708208,188.373321
HER42PB,18.4,125.54,116,483,1118,1450.953951,1246.476703,1685.201309,15329.5706,15550.61793,15077.90572,216.734818,200.1647361,234.1523374
HER42PB,18.5,126.54,174,351,1307,2755.538809,2395.089888,3158.242362,14077.99505,14449.18056,13664.46416,163.7255141,152.9889255,174.5528479
HER42PB,18.6,127.54,181,570,1064,1769.832709,1524.746387,2048.888122,15024.72943,15284.77958,14730.0955,202.6972244,187.7333992,218.2757467
HER42PB,18.7,128.54,126,475,876,1533.687687,1318.513834,1779.800288,15251.69521,15482.92473,14988.7472,211.876471,195.8208074,228.7118812
HER42PB,18.8,129.55,190,454,906,2289.712078,1981.80772,2636.818701,14530.10784,14850.34705,14170.36732,177.4394479,165.1045967,190.0733487
HER42PB,18.9,130.55,221,577,940,1996.046652,1723.112707,2305.463735,14808.70776,15095.49245,14484.97152,192.5049529,178.6542088,206.8241123
HER42PB,19,131.55,158,321,762,2666.333848,2315.672404,3058.778714,14164.8973,14526.57228,13761.31191,166.0282195,155.0146882,177.1687403
HER42PB,19.1,132.55,187,582,938,1760.522836,1516.600522,2038.302295,15033.52415,15292.46386,14740.10596,203.2123849,188.1949899,218.8511117
HER42PB,19.2,133.55,122,451,945,1606.110342,1381.677586,1862.453542,15181.0758,15421.30076,14908.20973,210.0732232,194.2810219,226.5960955
HER42PB,19.3,134.55,238,506,838,2392.202267,2072.45781,2751.938669,14428.85415,14760.69372,14056.77107,176.2029533,164.1078404,188.5496324
HER42PB,19.4,135.55,96,324,862,1859.283112,1603.048239,2150.543603,14944.09046,15214.49982,14638.11285,193.8857993,179.7113119,208.6029197
HER42PB,19.5,136.55,122,317,884,2197.687466,1900.616068,2533.166417,14615.42497,14925.43639,14266.6535,184.1469331,171.206915,197.4394508
HER42PB,19.6,137.56,120,322,835,2186.638192,1890.858727,2520.732891,14627.40008,14936.07266,14280.05612,183.2211009,170.3279768,196.4703599
HER42PB,19.7,138.56,118,322,791,2116.676468,1829.209256,2441.819508,14694.71235,14995.3678,14355.98652,185.8705544,172.6823099,199.4533455
