Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,307,3534.62,46,205,313,1299.822968,1115.164865,1511.973952,15470.44062,15672.73099,15239.67345,226.995776,209.3635113,245.6119719
HER42PB,307.1,3535.61,70,257,540,1652.609885,1422.243411,1915.503122,15139.99786,15385.67389,14861.10857,204.6516201,189.3420687,220.6476765
HER42PB,307.2,3536.59,75,254,427,1687.908595,1453.087591,1955.701395,15105.16993,15355.20467,14821.4984,204.1808412,188.9671028,220.0595716
HER42PB,307.3,3537.58,58,303,384,1129.82456,967.8721939,1316.492049,15629.43599,15810.20252,15422.80654,237.9988154,219.1846539,257.9607783
HER42PB,307.4,3538.57,37,303,498,772.477696,659.7363479,903.2934544,15947.98002,16083.37807,15792.88499,276.8016513,254.1449511,301.0809271
HER42PB,307.5,3539.55,46,197,600,1547.330632,1330.41028,1795.374178,15237.83102,15470.7991,14972.96742,212.0977188,196.0499847,228.9177678
HER42PB,307.6,3540.54,49,220,671,1440.33014,1237.253183,1673.014851,15336.67925,15556.61096,15086.27283,220.2499821,203.395228,237.9716834
HER42PB,307.7,3541.52,50,266,262,1049.812516,898.706477,1224.241443,15702.66255,15873.27528,15507.48979,244.7843025,225.277613,265.528137
HER42PB,307.8,3542.51,39,262,519,996.9935244,853.1006594,1163.261278,15750.86353,15914.73581,15563.31753,249.4023182,229.4229039,270.6805647
HER42PB,307.9,3543.49,66,332,419,1231.272494,1055.693068,1433.263724,15538.87584,15732.22734,15318.08246,227.1110297,209.3389612,245.9131829
HER42PB,308,3544.48,105,255,590,2372.53357,2055.021916,2729.901513,14450.65289,14780.14469,14081.0473,174.0729099,162.0927638,186.3105534
HER42PB,308.1,3545.47,77,247,444,1785.828761,1538.716099,2067.113777,15013.19407,15274.91873,14716.70357,198.2365336,183.6245422,213.4420173
HER42PB,308.2,3546.45,37,233,727,1113.455711,953.7086765,1297.639938,15645.55932,15824.17237,15441.34852,238.244335,219.3783248,258.2709101
HER42PB,308.3,3547.44,70,270,632,1612.185634,1386.950682,1869.423293,15179.09064,15419.80389,14905.66074,205.9831001,190.5047936,222.1753365
HER42PB,308.4,3548.42,29,279,645,712.7466741,608.4046991,833.9543537,16004.01259,16131.44862,15858.01558,280.5001094,257.406045,305.2894309
HER42PB,308.5,3549.41,5,313,477,136.724023,116.209866,160.7879107,16402.91609,16462.90075,16335.87876,457.6192548,418.1487548,500.5926933
HER42PB,308.6,3550.39,65,271,576,1471.824596,1264.645389,1709.070971,15308.99092,15532.68014,15054.40108,216.4438553,199.9338441,233.787322
HER42PB,308.7,3551.38,39,284,355,817.1088574,698.1144886,955.0665478,15909.36003,16050.42616,15747.77862,270.7904785,248.7187173,294.414204
HER42PB,308.8,3552.37,62,263,459,1382.028283,1186.558096,1606.247266,15392.01718,15604.67545,15149.69485,223.2139041,206.025827,241.31725
HER42PB,308.9,3553.35,122,257,339,2332.470651,2019.617158,2684.860371,14486.83804,14811.99625,14121.8631,177.9506747,165.6459604,190.5358973
HER42PB,309,3554.34,82,279,436,1603.155614,1379.107737,1859.071317,15182.77241,15422.71103,14910.22947,211.3313494,195.4406001,227.9585837
HER42PB,309.1,3555.32,72,261,296,1524.231795,1310.26789,1769.006743,15261.63327,15491.6337,15000.03804,211.3943031,195.357778,228.2145893
HER42PB,309.2,3556.31,76,311,640,1448.255527,1244.136479,1682.102348,15330.97539,15551.76699,15079.60217,218.0284545,201.3558966,235.5548509
HER42PB,309.3,3557.29,72,325,627,1325.883599,1137.788921,1541.874111,15445.19265,15650.80774,15210.71828,226.1831201,208.6627079,244.6669804
HER42PB,309.4,3558.28,69,302,641,1357.362334,1165.125892,1577.976177,15415.46808,15625.03148,15176.59135,224.4289529,207.1019983,242.6918461
HER42PB,309.5,3559.27,41,313,769,918.9032073,785.7601332,1072.973187,15819.90898,15973.9135,15643.57316,258.4471816,237.5857396,280.7130196
HER42PB,309.6,3560.25,81,348,563,1316.227128,1129.414176,1530.782963,15452.9605,15657.45658,15219.74416,228.0717427,210.38861,246.7322488
HER42PB,309.7,3561.24,73,345,621,1326.292438,1138.112577,1542.388417,15449.95521,15655.25977,15215.79196,221.0117222,203.8870227,239.0789963
HER42PB,309.8,3562.22,73,390,724,1178.297356,1009.826723,1372.298612,15583.96183,15770.91739,15370.37531,235.000187,216.5152599,254.5854518
HER42PB,309.9,3563.21,131,386,702,1868.882691,1611.475414,2161.418487,14933.48984,15205.12791,14626.1831,194.8868421,180.6560488,209.6577844
HER42PB,310,3564.19,132,331,439,2129.759719,1840.705559,2456.622655,14684.81252,14986.81154,14344.62256,182.6871264,169.7422701,196.0141583
HER42PB,310.1,3565.14,88,306,535,1580.457931,1359.313967,1833.164757,15203.52152,15440.74166,14933.98213,213.2799171,197.2037406,230.1124814
HER42PB,310.2,3566.08,75,323,711,1407.24489,1208.467627,1635.150437,15369.72067,15585.41749,15124.00752,220.293808,203.3742561,238.1014161
HER42PB,310.3,3567.03,63,276,531,1404.902954,1206.417285,1632.488569,15374.14071,15589.39287,15128.90689,218.2157082,201.4492162,235.8639063
HER42PB,310.4,3567.98,85,277,401,1684.902022,1450.462723,1952.274278,15107.74248,15357.43263,14824.45137,204.6148634,189.3640115,220.5337247
HER42PB,310.5,3568.92,117,316,480,1965.244288,1696.049373,2270.604482,14838.74258,15121.89345,14518.94045,193.2725057,179.3165488,207.7144351
HER42PB,310.6,3569.87,55,288,551,1217.76366,1043.997742,1417.716674,15549.54972,15741.33246,15330.5286,229.9459874,211.929167,249.0140926
