"Element_ICP","Element_XRF","n_obs","n_pred","ncomp_max","ncomp_opt_LOO","rmsep_min_LOO","ncomp_opt_kfold","rmsep_min_kfold"
"Ti_ICP","Ti",268,13396,6,5,0.613679150800695,5,0.610997923697115
"Ca_ICP","Ca",268,13396,6,3,0.388814410032822,3,0.38773934176835
"Mn_ICP","Mn",268,13396,6,4,0.562793304986379,4,0.560943110128286
"Fe_ICP","Fe",268,13396,6,5,0.552122755086851,5,0.555183572953291
"Sr_ICP","Sr",268,13396,6,6,0.341946616430044,6,0.341685139567005
"Zr_ICP","Zr",268,13396,6,5,0.723384757817017,5,0.719388402151623
