"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,172.727272727273,26.4616360382003,2.467420581,0.015066934,10.3571003112233,-4.8234176113529,25.5376182337995
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,238.75,34.793220342736,2.98969441,0.02200764,9.35668761744444,-5.84270917049482,24.5560844053837
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,191.916666666667,24.6002894784643,3.556521683,0.014282314,10.0663320549592,-5.07415784424215,25.2068219541605
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,203.333333333333,17.3065060458531,7.052448962,0.06465722,9.89334043940844,-5.24102619772112,25.027707076538
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,213,38.5544348220078,9.844407416,0.040880493,9.74686578682532,-5.39265631281768,24.8863878864683
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,227.454545454545,38.944482629414,10.02079263,0.096502178,9.52784256023553,-5.63705259335351,24.6927377138246
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,219.5,38.7792900055343,9.325702706,0.028353619,9.6483742100884,-5.499941954422,24.7966903745988
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,235.454545454545,31.4304426833719,9.672030755,0.061309265,9.40662215809778,-5.78138382612119,24.5946281423168
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,242.636363636364,31.4078739403759,6.289145655,1.766837081,9.29779929708774,-5.91642879700072,24.5120273911762
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,197,28.7228132326901,7.635178907,0.081872982,9.98930659110083,-5.14682377950624,25.1254369617079
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,221.083333333333,27.5300111723827,5.960197779,0.068926753,9.62438267216531,-5.52672362106843,24.775488965399
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,221.25,31.077981097409,6.674238754,0.048794576,9.62185724712077,-5.52955749787244,24.773271992114
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,213.454545454545,44.4147805046105,6.367819135,0.01977015,9.73997826397659,-5.40001958080803,24.8799761087612
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,215.909090909091,16.9378543237008,5.912256586,0.047824043,9.70278564059341,-5.44014311136346,24.8457143925503
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,200.454545454545,23.1920832887588,7.120078834,0.066671523,9.93696141745044,-5.19770230948447,25.0716251443854
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,208.636363636364,20.9917732803721,5.857915852,0.041156676,9.81298600617318,-5.32303499679489,24.9490070091413
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,216.090909090909,19.9872686751069,4.568507031,0.022190259,9.70003063145392,-5.44313951195048,24.8432007748583
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,225,29.9265768172706,5.784125479,0.017909738,9.5650351836187,-5.5940621815487,24.7241325487861
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,229.7,31.2518443900161,6.534750001,0.055133377,9.49381819736277,-5.67691318492638,24.6645495796519
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,198.818181818182,44.1312093236027,9.469595678,0.030083547,9.96175649970588,-5.17345100410467,25.0969640035164
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,233.454545454545,40.8493907821491,7.155451754,0.030710634,9.43692725863222,-5.74469728745223,24.6185518047167
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,224.666666666667,43.5103610092069,6.317256008,0.021906999,9.57008603370776,-5.58827088857399,24.7284429559895
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,219.636363636364,32.1691551871439,16.20702482,0.031666011,9.64630795323377,-5.50223852640369,24.7948544328712
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,223.588235294118,36.4298277918134,12.29132094,0.371333453,9.58642701929006,-5.56961125271473,24.7424652912948
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,239.545454545455,26.9048829633717,8.534630865,0.135962996,9.34463445245914,-5.85767495390569,24.546943858824
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,186.636363636364,43.1700653862667,5.623618255,0.058556283,10.146342112052,-5.00144961228668,25.2941338363907
