Base path:	Sample name:	Section name	User ID
	MST1A	MST1A__rad	
Year	Month	Day	Time
2023	08	22	12
Voltage	45	kV	
Current	40	mA	
Exposure time	275	ms	
line camera signal level	206384	at 25 ms	
Step size	200	microns	
XRF	OFF		
XRF exp. time	0	seconds	
Start coordinate	176.0	Stop coordinate	842.0
XRF voltage and current	0	  	0
Tube	Mo		
Optical Start	0.5	Optical End	1273.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	No XRF	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum	No XRF	kPa	
