"depth","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc"
5.1,6.07,21028,48722,1.52,141,179,4,74,757,114,164,70,0,153,71,847,38247,5362,0.140194002
5.2,6.09,20234,46486,1.3,74,102,13,61,561,30,137,154,0,26,39,847,37076,5322,0.143542993
5.3,6.11,20329,46710,1.21,84,118,13,51,583,0,192,170,0,108,0,829,37133,5339,0.143780465
5.4,6.11,20653,47454,1.36,62,99,0,31,674,55,176,71,0,0,188,868,37564,5480,0.145884357
5.5,6.08,21066,48811,1.37,46,133,41,51,1119,17,224,85,0,0,0,944,38449,5595,0.145517439
5.6,6.1,21602,49890,1.35,50,113,16,75,809,91,243,44,0,68,62,779,39448,5782,0.146572703
5.7,6.1,21959,51151,1.46,69,45,39,67,1206,146,174,121,0,34,52,852,39997,5857,0.146435983
5.8,6.1,22064,50855,1.51,87,133,26,48,915,69,164,66,0,0,117,932,40128,5569,0.138780901
5.9,6.11,22803,52843,1.49,32,129,49,73,914,79,229,131,0,53,74,914,41760,6109,0.146288314
6,6.11,23091,54502,1.21,66,107,44,34,1400,87,216,129,0,0,49,833,42495,6304,0.148346864
6.1,6.12,22926,54426,1.28,59,157,67,79,1533,12,199,113,0,0,0,969,42267,6142,0.145314311
6.2,6.13,23348,56050,1.26,53,108,34,49,1325,99,280,116,0,0,74,963,43624,6523,0.149527783
6.3,6.15,23418,56369,1.34,18,80,54,23,1701,35,257,89,0,7,84,950,43503,6368,0.146380709
6.4,6.17,22941,53944,1.35,28,105,28,51,1365,90,259,181,0,0,33,828,42120,6081,0.144373219
6.5,6.18,22790,53450,1.42,31,129,43,70,1985,0,165,140,0,101,0,845,41782,5932,0.141975013
6.6,6.19,22853,53798,1.39,41,114,38,24,1917,22,187,78,0,120,159,899,41601,6079,0.146126295
6.7,6.19,22900,53579,1.23,37,92,26,50,1505,61,196,58,0,23,48,888,42198,5952,0.141049339
6.8,6.2,23162,54448,1.47,26,101,56,27,1356,83,218,134,0,0,0,758,42643,6038,0.141594166
6.9,6.19,23228,55556,1.24,61,113,36,32,1633,42,238,52,0,0,118,813,43464,6324,0.145499724
7,6.2,22963,54547,1.35,36,134,49,39,1980,62,131,103,5,34,9,770,42389,6314,0.148953738
7.1,6.21,23245,54778,1.36,37,117,75,24,1886,43,200,61,0,25,64,840,42689,6173,0.144603996
7.2,6.23,22473,53545,1.42,57,98,74,34,1889,58,262,116,0,0,99,917,41290,5969,0.144562848
7.3,6.23,21869,52449,1.16,74,107,15,37,1446,35,275,161,57,0,126,1085,40599,5970,0.147047957
7.4,6.24,21482,51310,1.37,38,108,34,48,1530,45,161,36,0,0,6,843,39955,5777,0.144587661
7.5,6.24,22381,53811,1.39,33,107,41,53,1345,0,176,53,0,0,101,973,41967,6381,0.152048038
7.6,6.25,23591,56039,1.32,28,102,62,67,1730,40,215,161,0,0,130,1025,43422,6443,0.148381005
7.7,6.25,24332,56873,1.32,41,110,20,49,1684,107,236,162,0,0,123,1029,44202,6330,0.14320619
7.8,6.25,24067,57134,1.38,12,114,74,47,1636,13,151,100,0,0,70,871,44726,6809,0.152238072
7.9,6.26,23982,56793,1.28,21,72,10,30,1290,52,221,137,0,0,84,968,44694,6360,0.14230098
8,6.26,24213,58289,1.82,38,139,89,89,1811,70,212,48,0,5,128,884,45176,6513,0.144169471
8.1,6.26,24364,57686,1.53,49,112,30,57,1986,82,221,51,0,15,165,864,44438,6484,0.145911157
8.2,6.26,24008,58405,1.16,42,94,25,47,2413,140,235,161,0,29,122,1133,44009,6533,0.148446909
8.3,6.26,24049,58731,1.2,45,129,46,49,2443,9,234,231,0,0,70,1022,44547,6713,0.150694772
8.4,6.27,24083,57535,1.18,37,186,54,16,2579,64,254,119,0,0,61,939,43878,6380,0.145403163
8.5,6.26,22697,55355,1.35,26,140,86,37,1937,123,178,153,0,0,0,1116,42180,6570,0.155761024
8.6,6.25,20326,49517,1.3,36,63,10,11,1258,95,161,168,0,60,0,1008,38465,5862,0.152398284
8.7,6.24,21525,53210,1.2,38,127,37,24,1860,82,199,111,0,15,87,965,40702,6059,0.148862464
8.8,6.23,22234,53768,1.21,48,112,45,35,1920,145,209,59,0,0,0,958,41274,6070,0.14706595
8.9,6.23,22648,54506,1.29,19,122,31,10,1669,0,188,75,0,107,80,859,42408,6176,0.145632899
9,6.24,23290,55962,1.24,38,113,44,33,1785,113,153,160,0,0,70,961,42749,6508,0.152237479
9.1,6.26,23055,54752,1.24,35,111,40,38,2172,0,173,89,0,0,74,850,42145,6165,0.146280698
