"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7558",1.1,1.1,1.1,-51.51,6.66,1,TRUE,16596,44628,1.45,0.240014547505315,-0.421086205540863,-0.920247444250789,0.329692830389388,-0.849683588375591,0.750498001787928,0.573436574171716,-0.104044288747062,-1.05203080527837,-1.27787265503332,32520,5.65711361310133,0.176768590555455
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7559",1.2,1.2,1.2,-50.47,6.68,1,TRUE,16084,44476,1.35,0.700116395835501,0.0995550122243954,-0.396906486214239,0.419443819126181,-0.445151640760693,-1.16920640625084,0.903705152528479,0.366359311988015,-0.641585788870057,-1.62159753130158,30857,5.63734136373414,0.177388583638584
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7560",1.3,1.3,1.3,-49.42,6.7,1,TRUE,16223,44600,1.42,0.253857885536146,-0.292317769546132,-0.423936292927345,0.340144199346425,-0.668750865715995,0.24179289275499,0.596264838950158,0.116953648803372,-1.20393287461309,-1.50071124007164,31203,5.59404057480981,0.178761663707453
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7561",1.4,1.4,1.4,-48.38,6.7,1,TRUE,16870,48427,1.4,0.65462215178666,-0.74342156871314,-1.3188527957694,0.118852760561435,-0.895793571103654,0.884405449882263,0.764023183614269,-0.177462962154502,-1.31817876179651,-1.33467464729799,32377,5.6811803549319,0.176019759543787
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7562",1.5,1.5,1.5,-47.34,6.71,1,TRUE,16085,44532,1.13,0.857881435453518,-0.101638827595988,-0.437938688335346,0.345024144888306,-0.580287570741962,-1.14577630364432,0.828371182157172,0.616596709484646,-0.686003289125384,-1.44973509316745,31642,5.63771764212293,0.177376744186047
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7563",1.6,1.6,1.6,-46.29,6.73,1,TRUE,16366,44776,1.31,0.810834169435536,0.559049865473294,-0.0769918021667761,0.801890787006289,-0.270803718215214,0.554153876201297,-1.75932769348857,1.04281147727404,-0.440715142365911,-1.53712277357463,31975,5.79307414489059,0.17261992078627
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7564",1.7,1.7,1.7,-45.25,6.76,1,TRUE,16696,47047,1.33,0.511011961550649,-0.14888846971662,-0.471047621990767,1.01907883063048,-0.507926365321715,-1.12705495773804,0.834330697782775,0.61417404460797,-0.800700831147364,-0.768111185991406,33353,5.37115568290353,0.186179671384878
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7565",1.8,1.8,1.8,-44.2,6.78,1,TRUE,16936,47641,1.27,0.637286408087752,-0.0294607194472799,-0.268493911711798,0.718577672398804,-0.568571474168515,-1.2278206314107,0.877366112304655,0.538674055223372,-0.775431145279469,-1.2400046601902,32875,5.69415597637956,0.175618652553283
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7566",1.9,1.9,1.9,-43.16,6.81,1,TRUE,16562,46327,1.18,0.0845109875534904,0.112593528867038,-1.0412176923034,0.549461081816899,-0.827334808017345,0.5276655447794,0.607343882318806,0.30431105388447,-1.43030645537638,-1.41186709832433,32476,5.775714583768,0.173138749412997
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7567",2,2,2,-42.11,6.84,1,TRUE,15674,42856,1.25,-0.0856571976395897,-1.05308761311842,0.442109297997302,0.62956710582487,-1.32081117766089,0.541539346694503,0.774830871865063,-0.222508704053754,-1.29574994317326,-1.59538122717942,32041,5.86543818298693,0.17049024621904
