Site,depth,SH20_age,Ti,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS
BI10,0.1,-65.98,NA,NA,NA,NA,NA
BI10,0.2,-64.97,-8.55071086,5.185516615,178.6657274,115.2284426,277.0274546
BI10,0.3,-63.96,NA,NA,NA,NA,NA
BI10,0.4,-62.95,-6.656003255,6.473917787,648.0175547,417.9316016,1004.773866
BI10,0.5,-61.94,-6.970944676,6.25975762,523.0921378,337.3623652,811.0726414
BI10,0.6,-60.93,NA,NA,NA,NA,NA
BI10,0.7,-59.92,NA,NA,NA,NA,NA
BI10,0.8,-58.91,-8.028881448,5.540360615,254.7698568,164.3109412,395.029567
BI10,0.9,-57.9,-7.566052182,5.855084516,349.0043953,225.0864423,541.1435125
BI10,1,-56.89,-6.888419543,6.315874711,553.285814,356.8354356,857.8889917
BI10,1.1,-55.88,-9.003414599,4.877678073,131.3253816,84.69682136,203.6245939
BI10,1.2,-54.87,NA,NA,NA,NA,NA
BI10,1.3,-53.86,NA,NA,NA,NA,NA
BI10,1.4,-52.85,-7.243104436,6.074688984,434.7142782,280.364063,674.0396813
BI10,1.5,-51.84,-8.969338302,4.900849955,134.4039684,86.68232115,208.3980504
BI10,1.6,-50.83,NA,NA,NA,NA,NA
BI10,1.7,-49.82,-7.807891222,5.690633969,296.0812675,190.9542688,459.0843531
BI10,1.8,-48.81,-7.48648591,5.909189581,368.4074701,237.6002361,571.2286579
BI10,1.9,-47.8,NA,NA,NA,NA,NA
BI10,2,-46.79,-8.5101434,5.213102488,183.6629874,118.451369,284.7758809
BI10,2.1,-45.78,-7.905195798,5.624466857,277.1244982,178.7283146,429.6912198
BI10,2.2,-44.77,NA,NA,NA,NA,NA
BI10,2.3,-43.76,-8.14458242,5.461683954,235.4936512,151.8789701,365.1411366
BI10,2.4,-42.75,-7.84360351,5.666349613,288.9777262,186.3729201,448.0700641
BI10,2.5,-41.74,NA,NA,NA,NA,NA
BI10,2.6,-40.73,NA,NA,NA,NA,NA
BI10,2.7,-39.72,-7.731515123,5.742569716,311.8647862,201.1336709,483.5572505
BI10,2.8,-38.71,-7.678696487,5.778486389,323.2695156,208.4890223,501.240682
BI10,2.9,-37.7,-7.65581669,5.794044651,328.3383563,211.7581138,509.1000967
BI10,3,-36.69,NA,NA,NA,NA,NA
BI10,3.1,-35.68,-5.655209392,7.154457613,1279.798104,825.3913301,1984.371689
BI10,3.2,-34.67,-6.44960228,6.61427045,745.6605349,480.9053387,1156.17272
BI10,3.3,-33.66,NA,NA,NA,NA,NA
BI10,3.4,-32.65,NA,NA,NA,NA,NA
BI10,3.5,-31.64,-6.480439539,6.593301113,730.1873269,470.926068,1132.18097
BI10,3.6,-30.64,-6.771637688,6.395286372,599.0148398,386.3278542,928.7934443
BI10,3.7,-29.63,NA,NA,NA,NA,NA
BI10,3.8,-28.62,-8.495356497,5.223157582,185.5190518,119.6484168,287.6537736
BI10,3.9,-27.61,-6.966001177,6.2631192,524.8535124,338.4983438,813.8037143
BI10,4,-26.6,-8.416178773,5.276998434,195.781342,126.2669649,303.5658132
BI10,4.1,-25.59,-7.437751522,5.942328965,380.8208159,245.6060833,590.4759845
BI10,4.2,-24.58,-7.675501808,5.780658771,323.9725437,208.9424323,502.3307516
