Element,R2,RMSE,Type,CV,adjCV,CI_lower,CI_upper,label_R2,label_RMSE,label_RMSEP_CV,label_RMSEP_adjCV
Ti,0.758,0.606,Ti_ICP,0.623,0.622,-0.939,1.018,R^2:0.76,RMSE: 0.606,RMSEP_CV[4]:0.623,RMSEP_adjCV[4]:0.622
Ca,0.637,0.429,Ca_ICP,0.443,0.442,-0.684,0.634,R^2:0.64,RMSE: 0.429,RMSEP_CV[4]:0.443,RMSEP_adjCV[4]:0.442
Sr,0.635,0.374,Sr_ICP,0.384,0.383,-0.615,0.488,R^2:0.64,RMSE: 0.374,RMSEP_CV[4]:0.384,RMSEP_adjCV[4]:0.383
Zr,0.722,0.693,Zr_ICP,0.719,0.717,-1.024,1.109,R^2:0.72,RMSE: 0.693,RMSEP_CV[4]:0.719,RMSEP_adjCV[4]:0.717
