"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.143224007928989,0.0250797494449321,13959.03161,176.5369365,11925.7229200632,-21489.5502534962,45340.9960936226
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.112262933580288,0.0146082797390089,9355.988249,27.23893955,10415.615075823,-23005.2700971599,43836.5002488059
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.027866194043187,0.00482223307186242,3942.206507,48.5012016,6299.21468971609,-27143.0455541369,39741.4749335691
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0367120829530544,0.00347254981734576,4568.280308,27.82191253,6730.66761934058,-26708.935378159,40170.2706168402
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.207073049052006,0.0224597692355202,18556.10587,33.23324312,15039.9216316829,-18367.5608387244,48447.4041020903
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.260874255511813,0.0213628112335968,34440.81517,173.6494448,17664.0432299682,-15740.8317127954,51068.9181727319
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.158431904362763,0.0280132085724999,25853.87296,38.38777974,12667.4789534742,-20745.4762745954,46080.4341815439
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0234294688928508,0.00408125436497116,26327.35852,199.5705658,6082.81607974532,-27360.8136578459,39526.4458173365
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0187467853549968,0.0018317160303132,20544.92897,1107.050592,5854.42099684327,-27590.6807668895,39299.5227605761
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0654340247240989,0.0082405940373459,2355.109726,9.689444316,8131.56311417297,-25300.0847863515,41563.2110146975
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0479451649732148,0.00829791341692664,6242.966621,15.13819392,7278.55446210933,-26157.8148036829,40714.9237279016
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0484892211763393,0.00553297101087372,3694.801697,28.74082309,7305.09047732613,-26131.1261631221,40741.3071177743
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0407344743540223,0.0069105661856116,6284.597012,38.94604963,6926.85734902484,-26511.5696157532,40365.2843138029
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.027342055328303,0.00258579398420262,3753.765384,11.81590071,6273.65013805028,-27168.7706147732,39716.0708908738
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.0827216799123529,0.0180747545294186,11390.75321,93.133272,8974.75813429016,-24452.5977803755,42402.1140489559
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0832039936595231,0.0085496115741001,7073.372392,64.24483976,8998.28269822433,-24428.9588212354,42425.5242176841
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0371329093849486,0.0130808042270477,1987.252608,27.50554815,6751.19317632577,-26688.2858386123,40190.6721912638
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.166037982124614,0.020055641009245,15892.74003,5.384076861,13038.460837459,-20373.4435253373,46450.3652002552
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0332275075925488,0.012437900867346,4238.013215,41.30378848,6560.70954467943,-26879.9285509848,40001.3476403436
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.4003090866538,0.0386140112696064,3019.385269,15.63993365,24464.8935459607,-8950.07128700196,57879.8583789233
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.0609883475552364,0.00979935076737147,36760.73258,176.9107347,7914.72787486414,-25518.0840308418,41347.5397805701
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.181083286484725,0.0427678236137235,6074.810846,90.83067827,13772.2865399297,-19637.7521349063,47182.3252147658
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.144729320797511,0.0780355094763976,49049.46764,602.4649613,11999.1436529871,-21415.8871970026,45414.1745029767
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.131410262218918,0.00992088274764029,51904.82693,633.5042142,11349.5145538511,-22067.7586845056,44766.7877922078
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.164416048385158,0.0221821228733235,34127.39087,180.3909133,12959.3519914543,-20452.7703941921,46371.4743771007
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.320331637901964,0.0521155378387738,29114.97389,241.7735926,20564.0414191178,-12842.1629177808,53970.2457560164
