"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0207235344220733,0.0031436758451738,2.896325963,0.085387528,19.3990209431592,-71.1547971666434,109.952839052962
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0198667950647667,0.00251798842335565,2.113253146,0.03629458,11.3492005004964,-79.2229223519158,101.921323352909
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0218738747633854,0.00279817612946009,6.431024383,0.078886265,30.2074810851391,-60.3264435483479,120.741405718626
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0205823929338991,0.00205139120448903,35.64216716,0.676354366,18.0728724160454,-72.483756408496,108.629501240587
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0205606998233317,0.00254864061161851,40.9140318,0.917402906,17.8690465459939,-72.6880214444952,108.426114536483
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0204096454950824,0.00217980674334461,27.74345656,3.945793598,16.4497581601812,-74.1104207790077,107.00993709937
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.0202851105438363,0.00278938306944397,60.55383697,6.691084732,15.2796426661079,-75.283170670652,105.842456002868
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.020488227966732,0.00209743619031123,6.355756988,0.110447115,17.1881096568471,-73.3704393324132,107.746658646107
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0203663131234172,0.00139385024106858,31.40903404,0.597663272,16.0426123832483,-74.5184760670737,106.60370083357
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0216814847324344,0.00262976996605996,6.255310392,0.136212551,28.3998073849571,-62.1370703044198,118.936685074334
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0210517474512367,0.0034494764041801,30.42377281,3.299014819,22.4828712754398,-68.064723281061,113.030465831941
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0210457120517119,0.00314276130790642,21.97235957,0.521915705,22.4261633839906,-68.1215416699997,112.973868437981
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0212316810971572,0.00232997438597262,39.24997232,1.135258391,24.1735062730046,-66.3708619186303,114.717874464639
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.0225412822793357,0.00132093467930529,13.33706426,0.180364254,36.4783622109619,-54.0464831834535,127.003207605377
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.0219274510214513,0.00296651220636409,13.96054981,0.385854347,30.7108771924174,-59.8222518335309,121.244006218366
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0238134860731126,0.00283555976062597,13.08141258,0.324463031,48.4318367642659,-42.080713105175,138.944386633707
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0210448205434866,0.00231753137839059,11.39582517,0.228978244,22.4177868794264,-68.1299345090333,112.965508267886
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0204555990782006,0.00194684421711411,8.138802933,0.19067742,16.8815325261464,-73.6776902069699,107.440755259263
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0214252033440203,0.00117784014570461,5.71655892,0.108668636,25.9918181383612,-64.5492266998038,116.532862976526
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0205980119391606,0.0020389930267651,10.71344504,0.348935486,18.219626719762,-72.3366870881804,108.775940527704
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.0219625225681252,0.00177247794030395,9.674570314,0.181126451,31.0404052466192,-59.4922092784515,121.57301977169
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0215338961534833,0.00266482198331908,58.14267286,6.463462839,27.0130827646723,-63.5261621622617,117.552327691606
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.0213267616718805,0.0028810482720981,5.057282645,0.115798204,25.0668719711953,-65.4758444080423,115.609588350433
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.0192544723940534,0.00241047655999189,16.90685979,0.392208159,5.5958899864215,-84.9911394213053,96.1829193941483
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.0213592813882576,0.00279575118499355,5.156965844,0.162421667,25.372423333403,-65.1697365097367,115.914583176543
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0200035528976908,0.00233410402300494,15.8979202,0.224859279,12.634160727639,-77.9348405301923,103.20316198547
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0196758423581077,0.00229595670191605,34.80855314,1.065068086,9.55503172730281,-81.021576629681,100.131640084287
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.0184077584444758,0.00337624981186211,12.27077458,0.312493156,-2.35973292534153,-92.9698783047301,88.2504124540471
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.0193658588502251,0.00236100287110525,5.275218799,0.119640341,6.64246379475633,-83.9417408935715,97.2266684830842
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0194909541037482,0.00156663889423638,16.62081972,0.226326755,7.81784382195166,-82.7632484521806,98.398936096084
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.0203177761376898,0.00139550968140636,8.204676276,0.204151273,15.5865646756211,-74.9755515704815,106.148680921724
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0198382597854174,0.00200176844071552,9.348601732,0.169618079,11.0810864316328,-79.4916973221234,101.653870185389
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.0192620318914857,0.00219526052631241,4.985074292,0.127587693,5.66691811936277,-84.9199179916889,96.2537542304145
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.019465427469845,0.00201967876958217,7.527120756,0.159172342,7.57799862554054,-83.0037236088231,98.1597208599042
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0201072072287219,0.00271599271375027,5.881017729,0.137897582,13.6080844137503,-76.9586013900514,104.174770217552
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.020124723885295,0.00207722541589941,5.366567931,0.132996241,13.7726688220265,-76.7936299947907,104.338967638844
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.017887147711263,0.00286667530257859,6.491956622,0.038041679,-7.25132905331807,-97.8771291138904,83.3744710072542
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0189942921199282,0.00294318806210209,6.318871737,0.0188804,3.15126727641201,-87.4425561091672,93.7450906619912
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.0187252267846325,0.00276778150435442,13.10956878,0.116047921,0.623161595257771,-89.9779762910422,91.2242994815577
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.0188252094096305,0.00303176384120132,4.823094008,0.025467738,1.56258637101481,-89.0357992561654,92.1609719981951
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0222020506419431,0.00186764665109168,14.95585253,0.150306821,33.2909823547757,-57.238251821116,123.820216530667
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.0170412488524218,0.0041744245716007,3.512118591,0.040596801,-15.1992934700948,-105.852868782655,75.4542818424659
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.0197895739860326,0.00304861367849118,6.610934788,0.094285182,10.6236404886948,-79.9502784919144,101.197559469304
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0211791839613689,0.00215804541708355,25.31019839,0.350281555,23.6802494694669,-66.865046464975,114.225545403909
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.0171171252210894,0.00305692720339338,9.681378018,0.061403622,-14.4863681931055,-105.137333909249,76.1645975230378
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0177405436462962,0.00173093349958492,18.17108513,0.431769602,-8.6288032980607,-99.2592097149081,82.0016031187867
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.017191593132644,0.00336471807615102,10.27576935,0.187219683,-13.7866766105462,-104.435103811325,76.8617505902326
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0187086195048508,0.0024168528685569,12.79708303,0.179448508,0.467121582453848,-90.1344773807084,91.068720545616
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0215335395960044,0.00293990100277426,18.27558905,0.220152357,27.0097325932833,-63.5295181597034,117.54898334627
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.019300897178482,0.00229484503200555,16.48531144,0.237707627,6.03209170349265,-84.5537542769903,96.6179376839756
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.0187985270476524,0.00143714601939357,23.6965254,0.126505307,1.31188209196186,-89.2872340687428,91.9109982526666
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0197516945708845,0.00300614383854861,19.25420696,0.306869951,10.2677300384338,-80.3070788399904,100.842538916858
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.018247730915478,0.00181704744112789,10.69155001,0.147620518,-3.86333243122288,-94.4781729925523,86.7515081301065
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.0204090667254604,0.00377989216098428,30.86414748,0.245132518,16.4443201100962,-74.115870926806,107.004511146999
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.0211542314071017,0.00290292282425279,14.88976145,0.24262062,23.4457982565937,-67.0999425675543,113.991539080742
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,0.023167242444178,0.00232098629557878,13.96627653,0.338131722,42.3598089873551,-48.1581650208547,132.877782995565
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,0.020762952366187,0.00285885279114382,36.05342738,0.617087304,19.7693872274066,-70.7836603457175,110.322434800531
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,0.0218010456740302,0.00239655733561233,11.59992701,0.320170369,29.5231876797852,-61.0118371545408,120.058212514111
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.0204404254098481,0.00269469377024799,9.694411847,0.227113038,16.7389625547164,-73.8205749660598,107.298500075493
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.0202973560175408,0.00285919529980956,61.68487759,1.598916396,15.3946996711537,-75.1678518374701,105.957251179778
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.0310830697147466,0.00429301923816226,60.0329846,0.581671393,116.735974433443,26.1675411805419,207.304407686344
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.0215992894885584,0.00308347056138918,50.93045401,0.738584595,27.6275107129299,-62.9106744316459,118.165695857506
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.021832377681458,0.00141278351662957,78.78952034,1.427199314,29.8175794708836,-60.7169694035266,120.352128345294
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.0225214102137941,0.00278003530134357,55.86097273,0.54284315,36.291646661979,-54.2334429389309,126.816736262889
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,0.0227330351490459,0.00241694483531711,50.67135824,0.810955899,38.2800492203985,-52.242522141928,128.802620582725
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,0.022859068094868,0.00178697018532201,21.85695903,0.227943318,39.464239692186,-51.0569183596826,129.985397744054
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,0.0198746880974145,0.00268901104658343,7.181000574,0.167559119,11.4233624903956,-79.1485781356299,101.995303116421
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,0.0196418493160269,0.00314591829549937,28.83560184,0.21722532,9.23563717315208,-81.341785186727,99.8130595330312
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,0.021467200365958,0.0022829563319175,49.62591564,0.75197774,26.3864171291066,-64.1539265693986,116.926760827612
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,0.0190455726939362,0.0019010163881662,8.837063052,0.072120194,3.63309341109414,-86.9593692005109,94.2255560226992
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,0.0211883406145931,0.00386999695142115,8.791484806,0.12132249,23.7662842870365,-66.778849023342,114.311417597415
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,0.0209200678483274,0.00305708389299779,9.110923126,0.162174432,21.2456254896113,-69.3044134583708,111.795664437593
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,0.0214082960267827,0.00380899677806274,8.621791549,0.062939078,25.8329590095385,-64.7083701173437,116.374288136421
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,0.0244589900290134,0.006823032202162,8.287638868,0.061328528,54.4969146618958,-36.0119111964413,145.005740520233
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.0238665342570649,0.00334070138306824,10.6404829,0.029793352,48.9302711503875,-41.5819088251839,139.442451125959
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.0239002103973296,0.00373008214386464,20.13391113,0.39865144,49.2466881330099,-41.2652629590538,139.758639225074
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.0242206657389872,0.00319756080572044,11.10116946,0.204261518,52.2576481621435,-38.2523554721026,142.76765179639
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.025424303489398,0.00290647651461255,16.78597985,0.229967924,63.5668843798863,-26.939531729668,154.073300489441
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.0247975739016933,0.00615377136918193,18.09041528,0.063316453,57.6782081983841,-32.8293412791115,148.18575767588
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.0235241384760354,0.00374483344681334,12.6893661,0.16115495,45.7131613793625,-44.8016073105404,136.227930069265
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.0217778828137189,0.00335647317372565,15.7899099,0.203689838,29.3055522170809,-61.2298270432264,119.840931477388
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.0224820888562797,0.00345383854236043,9.92564195,0.11116719,35.9221878938564,-54.6033896510939,126.447765438807
