"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.31816191381295,0.000180325,-0.302742141476696,0.008034972,1.13013124662964,-0.662128190454479,2.92239068371375
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.31780817173935,0.000180389,-0.272851907643074,0.003005595,1.13034732672674,-0.661911550228869,2.92260620368236
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-7.14862628724867,7.86e-05,0.557321332541838,0.00454165,0.622849710597013,-1.17335075650144,2.41905017769547
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.70115176301007,0.000122949,0.158035995347025,0.012269219,0.896185414393816,-0.897239797930298,2.68961062671793
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.58852823370767,0.000374053,2.70737906727561,0.050641414,1.57582127960923,-0.217311184656572,3.36895374387504
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.06024784383202,0.000634399,1.56624775644835,0.037728077,1.89851650435842,0.102222698145817,3.69481031057102
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.41500917281184,0.00044493,1.85250594746283,0.021747503,1.68181380446374,-0.112123204850268,3.47575081377776
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-6.60022425677767,0.000136006,2.83582027716898,0.072771457,0.957836054718944,-0.83517353972137,2.75084564915926
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.16789611709499,7.71e-05,1.74078998486452,0.226259322,0.611078911997808,-1.18527518165228,2.4074330056479
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.29593204319622,0.000184379,0.437681308376675,0.010688746,1.14371015895023,-0.648515932166096,2.93593625006656
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.49837916218201,0.000150588,1.40336231461165,0.02443965,1.02004719546918,-0.772621618503571,2.81271600944194
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.07464009032351,0.000230047,0.713556964185686,0.011991471,1.27888431615159,-0.513215266070152,3.07098389837333
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.3322464570448,0.000177803,0.891821390097,0.01043611,1.12152783274036,-0.670754681450177,2.91381034693089
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-6.6074136775836,0.000135032,0.956002135004032,0.027240957,0.953444463042914,-0.839592172405437,2.74648109849126
"Bird Island","BI10","BI10.3",95,93,94,93.5,-6.45605692362593,0.000157098,1.74833298823245,0.069473871,1.04589934622943,-0.74665109291542,2.83844978537427
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.99552036081221,0.000248988,1.29011948439792,0.018650539,1.32721387633601,-0.464931093742439,3.11935884641446
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.51433373768436,0.000148204,0.32879124461259,0.01419095,1.01030148954071,-0.78241549090793,2.80301846998935
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.74816203983333,0.000318864,0.434258578075462,0.018208205,1.47831043511732,-0.314284268765838,3.27090513900049
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-6.78457262531475,0.000113109,-0.298646648317575,0.012050585,0.845228546741553,-0.948598696344463,2.63905578982757
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.37681656604344,0.000462251,0.00191871708452492,0.002420104,1.70514340757051,-0.0890014322834258,3.49928824742445
"Bird Island","BI10","BI10.4",145,141,142,141.5,-6.53338325619274,0.000145408,1.32682116128767,0.04959872,0.99866526609908,-0.794111764061166,2.79144229625933
