"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,15.2727272727273,17.9058141903177,134.9563972,2.246361623,1030.20228118507,-2915.75391979672,4976.15848216687
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,12.8333333333333,12.8263459923375,79.78694045,0.954822132,1016.44519033668,-2929.52727991768,4962.41766059103
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,12.5,7.78693544575551,340.544392,4.893302391,1014.56533941329,-2931.40936176536,4960.54004059195
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,31.9166666666667,13.7408371673856,1070.668936,10.73236296,1124.06665570038,-2821.78121884567,5069.91453024642
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,75.3,27.378215184096,1962.99309,30.40726253,1368.72925337872,-2576.85822572245,5314.31673247989
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,33.0909090909091,12.9340986965041,1538.231355,7.943023099,1130.68885781684,-2815.1515506664,5076.52926630008
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,39.4,14.8264028753512,3006.601666,14.09773486,1166.26930893033,-2779.53138329681,5112.07000115748
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,13.9090909090909,14.0389069763607,301.0170716,3.519876752,1022.51198195305,-2923.45330128279,4968.4772651889
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,8.45454545454546,9.2775388585943,1904.013462,92.77560752,991.75078502496,-2954.25114083959,4937.75271088951
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,65.4545454545455,47.7668580427133,225.6496719,2.024591047,1313.20529292351,-2632.43849552657,5258.8490813736
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,40.25,15.052181962034,1442.000824,11.02828725,1171.06292878496,-2774.73246394212,5116.85832151204
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,41.75,15.3393433544417,461.9149499,4.1315028,1179.52225794018,-2766.26381245727,5125.30832833764
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,28.3636363636364,15.9829454561587,2197.326275,24.940646,1104.02915381249,-2841.84145324432,5049.8997608693
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,23.4545454545455,17.8514068709647,574.7925663,2.379383359,1076.34407657721,-2869.55828948324,5022.24644263766
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,100.818181818182,72.2797595206544,606.0238476,2.682720915,1512.64038634064,-2432.80875819858,5458.08953087986
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,79.9090909090909,24.3903855871716,562.7226914,3.077677491,1394.72246478296,-2550.8392153984,5340.28414496431
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,62.9090909090909,77.927472107665,441.0920959,6.868091078,1298.85006769041,-2646.80854508109,5244.5086804619
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,30.6363636363636,21.7268162751597,354.6954517,1.783713254,1116.8463191992,-2829.0097222665,5062.7023606649
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,16.6,12.685950233756,192.9637106,2.274240107,1037.68750577091,-2908.25988526865,4983.63489681047
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,40.8181818181818,25.2222845191239,401.5251511,5.219646629,1174.26722013163,-2771.52463694474,5120.05907720801
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,24.3636363636364,20.5731510822855,523.0275133,1.869875762,1081.47094273189,-2864.42551136528,5027.36739682907
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,21.9166666666667,13.7870712384224,1149.476822,20.0568356,1067.67112799887,-2878.24127086792,5013.58352686567
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,77,60.4383983904273,253.7523195,4.53576382,1378.31649308797,-2567.26142871914,5323.89441489508
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,53.1176470588235,36.8508520134562,1574.554031,8.965107785,1243.63070340086,-2702.08595204791,5189.34735884963
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,59.2727272727273,39.0181775819705,227.5458294,2.628673775,1278.34260307168,-2667.3373769084,5224.02258305175
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,42.2727272727273,18.4015809597486,915.5577505,17.12303214,1182.47020597913,-2763.31262464515,5128.2530366034
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,32.7272727272727,18.3471573225441,2196.956371,20.5861252,1128.63811135497,-2817.20460671342,5074.48082942335
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,37.1818181818182,14.7161012623465,660.9863166,4.425975943,1153.75975551291,-2792.05482382419,5099.57433485
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,50.3333333333333,17.7270979012358,234.8825033,3.049548028,1227.92841921731,-2717.80503668882,5173.66187512343
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,47.4545454545455,15.0290627543013,1293.229498,27.32451171,1211.69334306081,-2734.05762085883,5157.44430698046
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,38.0909090909091,9.90408547473764,430.4165299,8.811078548,1158.88662166759,-2786.92225619413,5104.69549952931
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,38.0909090909091,12.4052774693237,389.6638198,1.204776961,1158.88662166759,-2786.92225619413,5104.69549952931
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,18.25,13.6789486571021,301.303437,4.144805205,1046.99276784166,-2898.94371253865,4992.92924822196
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,22.5,17.5831358598706,344.5794406,2.148483588,1070.96086711479,-2874.94772150906,5016.86945573865
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,32.4545454545455,18.7476059077613,232.314161,2.611283675,1127.10005150856,-2818.74440021235,5072.94450322948
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,30,11.3841995766062,227.4128172,2.821840444,1113.25751289092,-2832.60259815839,5059.11762394023
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,29.3333333333333,15.0050496550833,263.8954581,3.723189943,1109.49781104415,-2836.36657070447,5055.36219279278
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,46.8181818181818,30.3045151151381,277.5603378,3.234638602,1208.10453675254,-2737.65031622606,5153.85938973113
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,107.2,30.6369421160504,691.4862269,19.13692576,1548.63098674651,-2396.78527920062,5494.04725269363
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,43.3333333333333,15.6107965747098,244.2716404,8.441122001,1188.45154982625,-2757.32472150822,5134.22782116073
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,45.5833333333333,17.5471227029253,390.264881,7.243542018,1201.14054355909,-2744.62187553414,5146.90296265232
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,51.5454545454545,23.205015131922,159.3219544,2.10548711,1234.76424075688,-2710.96188517663,5180.49036669039
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,42.1818181818182,23.007903780302,247.3342292,5.109463262,1181.95751936366,-2763.82587436835,5127.74091309566
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,97.0909090909091,26.4024792224312,799.193679,23.04972736,1491.62023510644,-2453.84842989559,5437.08890010848
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,89.2,30.6224318651105,482.4222414,13.2812371,1447.11903688381,-2498.39172775182,5392.62980151943
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,56.25,22.6224736885574,927.4315698,12.88564894,1261.29577310736,-2684.40213814142,5206.99368435614
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,62.9090909090909,37.9063439161693,541.6620458,6.468674827,1298.85006769041,-2646.80854508109,5244.5086804619
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,64.8,22.5082700850648,617.6592849,3.394601775,1309.51394929214,-2636.13364068671,5255.16153927099
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,65.8181818181818,20.458827834547,862.5856098,15.31657184,1315.25603938539,-2630.38564022724,5260.89771899802
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,78.1666666666667,23.9348864187568,859.4671757,5.986441722,1384.89597131982,-2560.67541977115,5330.46736241078
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,45.0833333333333,17.7531473948774,1453.514493,20.57369583,1198.32076717402,-2747.44472281528,5144.08625716331
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,66.3333333333333,27.0263619901799,1096.289357,31.68024497,1318.16126353971,-2627.47743237172,5263.79995945113
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,37.8181818181818,16.9281905815015,439.7704209,9.598344787,1157.34856182118,-2788.46202501944,5103.15914866181
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,109.545454545455,19.8260618195527,2545.357841,41.02197568,1561.85830142559,-2383.5460536211,5507.26265647228
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,106.818181818182,21.8211740372427,713.4399266,14.05510364,1546.47770296154,-2398.94051075427,5491.89591667736
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,85.9090909090909,24.4518078900295,623.497368,13.29859263,1428.55978140386,-2516.96885133354,5374.08841414125
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,94,27.3276416838336,1578.677596,31.2176272,1474.18889018053,-2471.29614030464,5419.67392066569
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,143.416666666667,20.7953593307971,564.5866399,11.41091288,1752.87678957211,-2192.36590690153,5698.11948604575
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,161.545454545455,36.7487785820526,383.0841407,7.383390906,1855.11504547339,-2090.04908071175,5800.27917165854
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,106.692307692308,32.117971644612,3810.984322,92.18327006,1545.76782918628,-2399.65102719021,5491.18668556276
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,434.833333333333,182.242013584002,2897.539841,26.18796901,3396.33645934001,-548.315365645006,7340.98828432503
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,184.909090909091,49.2249013111343,3795.356029,93.10104025,1986.87550564872,-1958.195542228,5931.94655352543
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,180.166666666667,48.8519718283219,5093.523369,50.42995617,1960.13035387513,-1984.95884214933,5905.21954989958
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,169.636363636364,36.4507139224261,3509.410749,57.96869106,1900.74415425006,-2044.386695885,5845.87500438512
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,108.272727272727,47.8959098652294,3248.960975,183.8381806,1554.68068880903,-2390.73011799896,5500.09149561702
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,174.666666666667,27.9880927062444,1199.537678,19.22244936,1929.1128136393,-2015.99790495917,5874.22353223777
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,72.4545454545455,21.4679465080554,307.9839209,4.116043221,1352.68216231457,-2592.92142285412,5298.28574748325
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,109.090909090909,52.9215542958718,1347.461524,14.95676567,1559.29486834825,-2386.11178776143,5504.70152445792
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,167.4,78.4236358929288,2883.518514,39.47106595,1888.13206350954,-2057.00787379732,5833.27200081641
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,91.7,39.4406727461217,440.1427786,8.564769473,1461.21791880918,-2484.27939411752,5406.71523173588
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,135.538461538462,61.6557855958052,1607.114721,33.91012061,1708.44723601753,-2236.83133339231,5653.72580542737
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,171.153846153846,79.3566276940645,1837.980819,28.85629885,1909.30207698518,-2035.82265512442,5854.42680909479
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,201.384615384615,34.8915903467165,1832.527324,6.413845634,2079.79009534433,-1865.22085448775,6024.80104517642
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,253.384615384615,122.681524323169,1580.648497,25.4484408,2373.04683939214,-1571.80447857844,6317.89815736271
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,94.8461538461538,19.4672637772841,1819.746676,23.83868146,1478.96081944758,-2466.51971487084,5424.44135376599
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,159.25,46.1738316286696,2092.551562,28.04019092,1842.16970843282,-2103.00405960199,5787.34347646763
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,219.692307692308,89.1266744727082,2256.103454,45.34767943,2183.03729221324,-1761.91225022952,6127.986834656
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,242.909090909091,70.9809193311196,3140.602681,31.40602681,2313.96956631742,-1630.91023876375,6258.84937139859
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,370.416666666667,130.102378102319,2780.927179,39.76725866,3033.05526839618,-911.603744342507,6977.71428113487
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,234,115.548494345251,2482.596033,49.15540146,2263.72627800154,-1681.17921196951,6208.63176797259
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,183.25,61.103674937839,2488.325779,20.15543881,1977.51897491642,-1967.55837874587,5922.59632857871
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,162.666666666667,42.6429858525906,1575.735639,15.59978283,1861.4381803975,-2083.72126856121,5806.59762935621
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,136.083333333333,29.7732593059102,1161.29693,11.14845052,1711.52006925767,-2233.75598539812,5656.79612391347
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,170.916666666667,45.8643421274946,1911.570392,23.70347286,1907.96449075124,-2037.16119503119,5853.09017653367
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,128.181818181818,54.4294372225511,2382.409952,38.35680023,1666.95905759656,-2278.35395546358,5612.27207065671
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,121.25,60.7605209744856,1894.366875,25.95282619,1627.86670316712,-2317.47960015739,5573.21300649163
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,408.454545454545,75.8740583287379,3316.178876,18.57060171,3247.57189308499,-697.074405459193,7192.21819162917
