Location,Site,Section,sample,min_depth,max_depth,depth,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,0.000235945,0.001105359,0.00041653,0.000440044,0.143224008,0.001795816,0.004508931,0.002292526,0.00024402,0.000678378,0.000788552,0.020723534,1,0.146376585,0.146376585,0.000248174,0.000434577,0.00045841,0.000292512,0.025079749,0.001485372,0.000576835,0.001173295,0.000451163,0.000983842,0.001214406,0.003143676,0,0.003886984,0.003886984,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,0.000236064,0.000952565,0.000300331,0.000788982,0.112262934,0.001806569,0.005280298,0.00219736,4.36205E-05,0.001254787,0.000102195,0.019866795,1,0.145989152,0.145989152,0.000189047,0.000267519,0.000274703,0.000419487,0.01460828,0.000916471,0.000770364,0.001075692,0,0.001574066,0.00014002,0.002517988,0,0.003613515,0.003613515,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,0.000242538,0.001340116,0.000300306,0.000320075,0.027866194,0.000802829,0.004557719,0.00169042,0.000141281,0.000678631,0.000281105,0.021873875,1,0.143955505,0.143955505,0.000192651,0.000359089,0.000177088,0.000271163,0.004822233,0.000790159,0.000553073,0.001262609,0.000295614,0.001026764,0.000544824,0.002798176,0,0.003011,0.003010999,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,0.000281352,0.003069328,0.000779956,0.000697691,0.036712083,0.001227331,0.004987507,0.002138729,0.002240882,0.0018079,0.00607563,0.020582393,1,0.148022999,0.148022999,0.000218982,0.000534679,0.000327502,0.000206795,0.00347255,0.000815348,0.000453755,0.001138804,0.001502434,0.001899826,0.001448618,0.002051391,0,0.003202734,0.003202734,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,0.000681032,0.005655972,0.001955392,0.001141426,0.207073049,0.003756542,0.005542982,0.003562607,0.001922068,0.00121411,0.009100657,0.0205607,1,0.160262792,0.160262792,0.000586323,0.000788552,0.000708266,0.000446977,0.022459769,0.001430051,0.001108506,0.001316844,0.000688254,0.000941917,0.002873019,0.002548641,0,0.00242683,0.00242683,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,0.000280312,0.004231242,0.000816731,0.000897635,0.260874256,0.006350961,0.005601088,0.00350417,0.000454393,0.000160098,0.003657026,0.020409645,1,0.154934024,0.154934023,0.000201148,0.000628325,0.00032789,0.000427241,0.021362811,0.001489318,0.001021078,0.001219682,0.00046274,0.000245045,0.002440982,0.002179807,0,0.003348951,0.003348951,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,0.000347823,0.005805335,0.000919989,0.000751111,0.158431904,0.004450736,0.005138462,0.003327631,0.006221548,0.001124577,0.008642831,0.020285111,1,0.156005654,0.156005654,0.000173976,0.000650125,0.000335339,0.000362084,0.028013209,0.001732621,0.000877827,0.00068777,0.001207151,0.001195245,0.001892862,0.002789383,0,0.002073748,0.002073748,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,0.000234784,0.00445213,0.000319484,0.000773256,0.023429469,0.001362636,0.005201928,0.002762454,0.000111336,0.00071069,0.006668613,0.020488228,1,0.148821988,0.148821988,0.000174514,0.000346657,0.000298108,0.000365861,0.004081254,0.000766632,0.00068537,0.000803233,0.000224586,0.001335046,0.002223337,0.002097436,0,0.003551217,0.003551217,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,0.00014861,0.003863839,0.000207348,0.00072918,0.018746785,0.000777528,0.005359759,0.002861371,0.000314829,0.000640412,0.003136598,0.020366313,1,0.147191486,0.147191486,0.000160052,0.00036955,0.000187313,0.0003441,0.001831716,0.000751881,0.000699136,0.001209585,0.000472452,0.000791793,0.002116683,0.00139385,0,0.003572464,0.003572464,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,0.000667981,0.006860367,0.001672225,0.001336887,0.065434025,0.001843513,0.004950084,0.003309821,0.012533557,0.003491377,0.014645834,0.021681485,1,0.158576434,0.158576434,0.000539666,0.001344888,0.001218368,0.000861804,0.008240594,0.000443248,0.000632916,0.001537199,0.002176064,0.002920576,0.004621715,0.00262977,0,0.004789498,0.004789498,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
