"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank"
"Ca","RF",0.734447503581713,0.366697885888916,0.371218256028587,4496.46080402109,NA,NA,NA,13400.3536152465,3.96631751249651,178.34391231243,NA,1
"Ca","Bayes",0.71849446314204,0.377551919451181,0.391342413156401,4920.26934220119,NA,254.461762755566,283.189658599653,13400.3536152465,4.08476256724317,200.981320297776,NA,2
"Ca","PLS_LOO",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA,3
"Ca","PLS_kfold",0.714591218855023,0.380160401230266,0.391014570914877,5060.00126868248,NA,NA,NA,13400.3536152465,4.11297132102708,208.116401024517,NA,4
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,5
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8
"Fe","RF",0.80053438105373,0.509541347860933,0.516653413340178,18195.5344182785,NA,NA,NA,21584.5758201723,5.43392984194671,988.73257465652,NA,1
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13054.643263387,NA,438.148736470006,466.876632314093,21584.5758201723,5.66838416419403,739.987331433851,NA,2
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,NA,3
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,NA,4
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,19046.317786508,NA,503.727552589756,514.500513531289,21584.5758201723,6.52672883183217,1243.10151437439,NA,5
"Fe","WLS",0.711426381771426,0.612877558837851,NA,19118.97376675,NA,491.391320242748,502.164281184281,21584.5758201723,6.53030010588338,1248.52636413389,NA,6
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,NA,19121.2837499281,NA,491.44106706079,502.214028002323,21584.5758201723,6.53047909518848,1248.71143802073,NA,7
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,19165.0781241486,NA,522.979148483121,533.752109424654,21584.5758201723,6.6620416902927,1276.78549460795,NA,8
"Mn","RF",0.698151148146781,0.529253362135368,0.538666849894129,99.3730994626993,NA,NA,NA,197.778804797106,10.9308396118326,10.8623141195745,NA,1
"Mn","Bayes",0.675458563365959,0.54878715622519,0.563291283780317,106.167683499791,NA,454.927144861597,483.655040705684,197.778804797106,11.3525920752897,12.0527840235159,NA,2
"Mn","PLS_LOO",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,NA,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,NA,3
"Mn","PLS_kfold",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,NA,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,NA,4
"Mn","OLS",0.642325781154841,0.576119639333299,0.578466614037536,111.776118917736,NA,470.979249882013,481.752210823546,197.778804797106,11.9179538676928,13.3214262877132,NA,5
"Mn","WLS_weighted",0.642027836746649,0.576359544649593,NA,109.653909631702,NA,452.112021258381,462.884982199914,197.778804797106,11.9193763579275,13.0700621801843,NA,6
"Mn","WLS",0.64171449487873,0.57661174033931,NA,108.962939644912,NA,449.383505423298,460.15646636483,197.778804797106,11.9216071388441,12.9901335914022,NA,7
"Mn","OLS_weighted",0.621575234052913,0.592595892589243,NA,115.442539169045,NA,464.263343905446,475.036304846979,197.778804797106,12.6077701046542,14.5547299414087,NA,8
"Sr","RF",0.721982836872426,0.326271842029504,0.327736832283875,43.1095883838837,NA,NA,NA,163.852330174044,6.6428959547371,2.86372510285682,NA,1
"Sr","Bayes",0.719033486991341,0.327997906598047,0.346202462486856,49.7050467588939,NA,179.046097421121,207.773993265208,163.852330174044,6.6842619538624,3.32241552965426,NA,2
"Sr","PLS_LOO",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,NA,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,NA,3
"Sr","PLS_kfold",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,NA,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,NA,4
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA,5
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,NA,6
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,NA,7
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,NA,8
"Ti","Bayes",0.769067236846491,0.591446999353038,0.623668660505259,1783.30513592537,NA,495.052856787575,523.780752631662,3392.06646739343,8.13964971656281,145.1547914418,NA,1
"Ti","RF",0.758515868218349,0.604807761433501,0.609044942817076,1540.05877513209,NA,NA,NA,3392.06646739343,8.31040737521444,127.985158031214,NA,2
"Ti","PLS_LOO",0.754035431978301,0.610392701137588,0.641872967170071,2029.36926987965,NA,NA,NA,3392.06646739343,8.40035634529776,170.474250231858,NA,3
"Ti","PLS_kfold",0.754035431978301,0.610392701137588,0.641872967170071,2029.36926987965,NA,NA,NA,3392.06646739343,8.40035634529776,170.474250231858,NA,4
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,NA,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,NA,5
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,NA,6
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,NA,7
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,NA,8
"Zr","RF",0.76427923472626,0.638048553639218,0.656891235581288,43.5303797063521,NA,NA,NA,65.4747233406631,19.3407959944962,8.41912193463513,NA,1
"Zr","Bayes",0.723503699572672,0.691034085621477,0.73294668717106,78.0488237943269,NA,578.463608938088,607.191504782175,65.4747233406631,20.9583134637289,16.3577171455685,NA,2
