"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.81328090290992,0.000109908,7.35055584285185,23.70865277,8.38581664339811,7.45580026561161,9.31583302118461
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.95629657412204,9.53e-05,7.24247120132883,16.95048652,8.32316447387926,7.3913914421076,9.25493750565092
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.61341616388981,0.000134224,7.84267996218333,33.02866289,8.47337319859098,7.54558310929335,9.40116328788862
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.78752240865557,0.000306557,8.75807660650184,96.22229039,8.83517995108844,7.91372716742459,9.75663273475228
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.17661154619333,0.000564711,9.04100380665293,102.4072847,9.10280720194493,8.18303960697516,10.0225747969147
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.46800427769552,0.000421964,9.04402113279338,27.42631931,8.97515415066805,8.05490308319446,9.89540521814163
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.14807798302009,0.000581056,9.28899573342214,94.24288942,9.11530715822073,8.19555545114411,10.0350588652974
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.4144364373621,0.000445185,8.85011583510835,67.76762951,8.99862109932398,8.07850278833907,9.91873941030889
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.55585672959534,0.000386476,8.89923601451618,349.9533771,8.93666783191413,8.0161562892285,9.85717937459977
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.9883371068312,0.000681699,8.66848236944953,70.73844961,9.18528628966314,8.2655198569256,10.1050527224007
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.70833710932971,0.000901976,9.11437754626484,46.04204392,9.30794842284101,8.38773186057489,10.2281649851071
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.15151263079245,0.000579064,8.79883085915351,12.55357407,9.1138025109842,8.19404918859395,10.0335558333744
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.24362181640191,0.00052811,9.20085797360353,61.39912548,9.07345140636652,8.15362443184905,9.99327838088399
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.19349439534134,0.000555257,8.87915750034754,69.86799065,9.09541117941245,8.17563154093054,10.0151908178944
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.06297777026152,0.000632669,8.81471969158889,14.01324671,9.1525877786636,8.23285012257728,10.0723254347499
