Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,SH20_min_depth_min,SH20_min_depth_max,SH20_min_depth_median,SH20_min_depth_mean,SH20_max_depth_min,SH20_max_depth_max,SH20_max_depth_median,SH20_max_depth_mean,SH20_midpoint_depth_min,SH20_midpoint_depth_max,SH20_midpoint_depth_median,SH20_midpoint_depth_mean,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd,SAR,SAR_err,SAR_pc_err,DMAR,DMAR_err,DMAR_pc_err
South Georgia,POB4,POB_1A,16,31.5,32.9,32.2,-17.69,-17.79,-14.93,-16.08,-16.16,-5.23,-2.16,-3.04,-3.18,-11.53,-8.64,-9.59,-9.71,44267,285528.3333,2.106666667,116.6666667,501,488.3333333,61,12417.33333,76.66666667,62.33333333,425.3333333,3,61,202.3333333,2935,214438.3333,35928.33333,0.167566239,67.89943544,122.9756073,257.6845617,18.33030278,3911.072785,92.91573243,26.57693235,53.00314456,5.196152423,105.6550993,186.7199329,217.0691134,9710.000069,1484.618582,0.000666783,86.57066984,4.328533492,13.42933016,1.342933016,0.227620798,0.02276208,2008.828127,62.5916054,3544.338812,606.1221898,8147.851933,90.75336626,1433.304327,16.28919251,55.99665262,0.420128014,5244.470443,27.24487432,1.547300194,0.007500271,5.377096226,0.048082894,19.13155615,0.101062596,25.16989811,0.077839906,2.394824774,0.021513096,10.62932459,0.007552022,68.40901103,1.525239966,25.7005601,1.033289863,29.17530872,0.057445879,1.229997239,0.012913019,0.107858243,0.089571337,83.04542546,0.024550779,0.022843377,93.04542555
South Georgia,POB4,POB_1A,19,36.1,37.4,36.8,-1.785,21.75,29.21,26.58,26.42,33.67,42.38,38.76,38.64,27.83,36.1,33.04,32.84,47201.5,290670,2.37,104,418.5,551,106.5,13767.5,137,9.5,363.5,0,213.5,330.5,2930.5,214707,36644,0.170669536,12.72792206,96.87362902,43.84062043,65.76093065,2831.962659,140.0071427,13.43502884,137.8858223,0,92.63098834,113.8441918,4.949747468,127.2792206,210.7178208,0.000880247,82.88293446,4.144146723,17.11706554,1.711706554,0.353840775,0.035384077,2231.066565,59.9771842,3651.465906,731.6866913,8012.02176,78.9580102,1715.231415,16.92975969,81.9905042,0.838900435,4933.407235,21.71424332,1.231904717,0.010262711,3.206884305,0.012684849,12.90608826,0.04407562,10.81225849,0.033361483,2.183842448,0.05133278,10.48840983,0.055718217,59.5129419,1.773754751,31.58940291,1.14949967,15.97939879,0.106041706,1.426380876,0.018198067,0.106382979,0.063015027,59.23412506,0.037642636,0.026061549,69.23412492
South Georgia,POB4,POB_1A,21,39.2,40.6,39.9,17.43666667,48.17,60.21,55.25,55.11,63.65,118.47,85.54,87.6,54.19,66.95,61.74,61.52,52613.33333,309983.3333,2.213333333,261,737.3333333,1247.666667,148.6666667,17317,40.66666667,22.33333333,361.6666667,0,174.3333333,672,3231.333333,227365.6667,37899.66667,0.166692421,152.502459,47.01418226,221.8858565,59.50070028,1377.811308,70.43673284,38.68246804,57.76100184,0,79.65132349,224.6864482,1.527525232,3003.652832,680.8467767,0.002282058,80.56500294,4.028250147,19.43499706,1.943499706,0.387821946,0.038782195,1729.067606,54.83609426,5174.632753,853.1197494,9920.866738,107.0417876,3407.847355,14.69738857,166.6758881,0.286439586,9924.075645,33.09076413,2.172669917,0.017679999,3.283013484,0.0085671,14.36589299,0.063158779,14.76699588,0.059434745,2.108195242,0.028593466,13.77189749,0.129930246,122.9882961,3.003480471,38.30388391,1.17314976,9.011207172,0.113395503,1.441766139,0.02403531,0.043090182,0.019914651,46.21621622,0.016711318,0.009394471,56.21621632
South Georgia,POB4,POB_1A,24,43.8,45.1,44.4,249.3233333,73.46,419.61,191.44,208.16,82.98,527.32,253.75,273.53,73.67,520.94,213.19,245.17,57701,317832.6667,2.313333333,321.3333333,879.3333333,1254.333333,144,17432.33333,51.33333333,90,485.3333333,0,118.6666667,202,3288.333333,234041.3333,39479.66667,0.168713306,227.0734096,299.2863735,786.3391974,113.0265456,4716.59722,88.91194146,42.03569911,36.9368831,0,102.8899088,179.6774889,316.1207575,13387.25036,2148.452078,0.001898358,76.58466676,3.829233338,23.41533324,2.341533324,0.472476347,0.047247635,2170.917687,68.19357041,7122.822788,1113.55447,10188.18441,113.1202672,3497.062219,47.57087945,169.9904676,2.008391761,9286.226748,52.89163723,1.822061766,0.018143107,4.003302375,0.01303687,17.60350666,0.055916446,12.98468362,0.038736948,2.384540089,0.027573287,5.751736844,0.031056177,130.7410525,3.61161766,74.87357579,2.455824743,12.32866657,0.090157301,1.561973031,0.011050293,0.019886798,0.002864319,14.4031199,0.009396042,0.002292927,24.40311997
South Georgia,POB4,POB_1A,28,49.9,51.2,50.5,569.63,92.76,993.22,398.69,441.96,171.96,992.64,500.77,530.29,118.86,1112.34,432.21,501.12,53284,310762.6667,2.223333333,102.3333333,513.3333333,455.6666667,59.33333333,10197.66667,83.33333333,33.66666667,443.3333333,0,25,95,3364.333333,239099.3333,39678,0.165954338,103.664523,30.23794526,156.4043904,23.02896727,438.2833939,72.2795499,39.39966159,49.54122862,0,43.30127019,57.61076288,139.5433027,3127.061613,414.2933743,0.00124629,87.59589429,4.379794715,12.40410571,1.240410571,0.244004662,0.024400466,2171.860898,69.99185723,3469.760214,548.5435634,8486.165584,113.5689994,895.9237859,3.712913435,20.82763897,0.033753854,5236.857966,7.904742031,1.744792146,0.016065056,4.960356243,0.04228838,15.80996096,0.131657593,11.42068754,0.030793824,2.849946484,0.059820102,7.570509804,0.155315079,72.8129235,1.847012294,17.18374497,0.569492015,29.57490275,0.314279561,0.888794411,0.004728319,0.014717537,0.001444637,9.815753212,0.003591148,0.000711613,19.81575313
South Georgia,POB4,POB_1E,170,200.2,201.3,200.7,3778.715,3542.04,4057.1,3788.74,3800.58,3562.03,4078.41,3807.79,3819.45,3569.75,4087.65,3806.02,3819.6,56279.5,308607,2.585,35,494,321,66,11133.5,74.5,66.5,474,0,0,70.5,3554.5,234488,38251,0.163121003,41.01219331,39.59797975,31.11269837,26.87005769,277.892965,17.67766953,94.0452019,93.33809512,0,0,99.70205615,75.66042559,3725.038523,743.8763338,0.000581029,90.43033688,4.521516844,9.569663124,0.956966312,0.19553168,0.019553168,1174.207943,27.83118166,2400.357628,469.7919771,8642.477927,44.44094574,801.6977423,5.447919707,36.65682759,0.143526014,4216.267239,32.77760325,2.271954503,0.026351824,5.449026456,0.081194255,21.7488349,0.236147769,13.08869613,0.221798509,1.471227527,0.026968532,7.201458477,0.064793003,74.88881968,1.125564608,61.85187886,3.055895553,25.45986142,0.240470523,1.206578596,0.004531403,0.058293588,0.002050823,3.518093853,0.011398243,0.001540825,13.51809385
South Georgia,POB4,POB_1E,174,205.3,206.4,205.9,3794.655,3575.65,4096.47,3816.08,3828.91,3601.61,4125.09,3833.57,3849.09,3600.58,4127.62,3833.62,3848.55,61768,316590,2.785,23.5,627,321,42.5,9064.5,53,43,449.5,0,0,0,3292,243245.5,40129,0.164974559,13.43502884,73.53910524,12.72792206,13.43502884,44.54772721,74.95331881,60.81118318,7.778174593,0,0,0,189.5046174,511.2382028,219.2031022,0.001247893,92.65904727,4.632952364,7.340952726,0.734095273,0.11158136,0.011158136,671.203386,21.6162379,1952.523172,218.6404276,8972.566944,34.12967311,425.2372973,0.497018146,16.04081162,0.113906463,4463.205174,10.69801489,2.357841082,0.017253038,5.732386915,0.045233891,16.99716777,0.060197834,22.19696967,0.067312524,1.345030318,0.019990451,4.507072476,0.042549091,72.70995502,1.557929404,15.96434618,0.56108485,24.59674485,0.057426185,0.498424917,0.001616171,0.054509415,0.002002038,3.672830518,0.006082235,0.000831614,13.67283052
South Georgia,POB4,POB_1E,177,209.4,210.5,209.9,3808.206667,3601.02,4151.93,3836.4,3851.68,3622.62,4176.75,3855.08,3872.95,3619.03,4171.33,3853.66,3870.82,59408.66667,313049.3333,2.496666667,51.66666667,456.6666667,260.6666667,86,11118.66667,94.66666667,38.33333333,381,0,12,0,3340.333333,238533.6667,38684.66667,0.162175866,21.07921567,77.3067483,27.06165799,19,1734.922861,90.7872972,35.2325607,156.0096151,0,20.78460969,0,66.52317892,886.2529737,263.6082953,0.000566302,91.19679578,4.559839789,8.803204222,0.880320422,0.184025974,0.018402597,966.3699976,20.32549599,1898.735746,293.3554931,8491.223715,50.45533399,479.5621493,2.570425078,18.24332469,0.019603571,3877.868341,26.08294331,2.288764835,0.008064611,5.73476091,0.060947191,15.82014281,0.080391758,207.3506979,1.608385462,1.34312097,0.020569108,4.923991974,0.042179663,67.97188086,1.69098108,17.51428395,0.596695235,16.06999202,0.145313495,0.615251165,0.00252605,0.051716032,0.001910618,3.694440102,0.009517093,0.001303313,13.69443988
South Georgia,POB4,POB_1E,183,217.6,218.5,218.1,3834.505,3649.12,4232.77,3877.25,3896.07,3669.34,4261.98,3903.05,3919.98,3670.82,4271.88,3896.84,3918.61,59044,317910,2.3,117.5,369,256,67.5,9690.5,38.5,109.5,445.5,0,116,0,3547,244063.5,40555,0.166168051,113.8441918,12.72792206,24.04163056,26.1629509,796.9093424,54.44722215,33.23401872,12.02081528,0,45.254834,0,323.8549058,1051.467784,83.43860018,0.001057753,93.17786444,4.658893222,6.822135563,0.682213556,0.106073404,0.01060734,830.0212998,22.185493,2695.909694,365.6885155,9941.343133,67.8628497,529.7623669,7.137702191,32.86168706,0.264664564,4178.753143,39.54682775,1.831540327,0.004141929,4.562006327,0.01793847,11.60136026,0.043405677,57.54928203,0.147104951,1.317793379,0.019651115,7.110169989,0.061757612,70.86899848,1.037513405,22.20522155,0.796323366,115.411572,0.355868611,0.641280303,0.004974302,0.037641154,0.001468525,3.901380413,0.003992725,0.000555044,13.90138004
South Georgia,POB4,POB_1F,196,225.1,226.2,225.7,3857.985,3695.28,4296.93,3913.35,3937.66,3709.56,4326.46,3942.83,3964,3717.02,4346.36,3934.08,3964.02,60935.5,318950.5,2.57,32.5,314.5,165.5,22.5,7690,61.5,105.5,427.5,0,0,0,3479,247584,41298,0.166809489,26.1629509,43.13351365,28.99137803,17.67766953,118.7939392,86.97413409,24.74873734,24.74873734,0,0,0,309.7127702,1417.041989,239.002092,0.001920068,91.46775887,4.573387944,8.532241127,0.853224113,0.159526515,0.015952652,332.5460231,9.544861073,1636.161804,330.2882839,8036.188927,71.09665906,239.9609433,1.838223974,13.73734444,0.177944148,3149.824249,10.20555269,1.671684594,0.012563671,2.913948883,0.024228913,9.523847911,0.044199036,35.48721301,0.197163042,0.884469773,0.011338154,1.954388234,0.03161487,60.2839156,1.59581613,6.231949264,0.630685992,48.65092158,0.270511984,0.284786898,0.002578236,0.041761579,0.001742768,4.173136031,0.006662079,0.000944226,14.17313634
