Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content_pc,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Ln_C_org,Ln_C_org_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr,DMAR_err_pc
Isla Hermite,HER42PB,HER42PB1A,2,1.2,2.3,1.8,1.8,0.6,-66,-53,-62,-62,7,0.4077,0.14201,16465.71429,45928.42857,1.315714286,84.57142857,382.8571429,107.1428571,121,7042.285714,21.14285714,148.1428571,782.2857143,656.2857143,27205,4835.285714,5.629809391,1.727842759,0.177709285,-1.727842758,32040.28571,364.4972402,1711.692034,0.09658453,28.39517062,38.97190685,17.31500863,24.96664441,1062.298407,37.26673482,76.89262767,135.6229016,84.57878829,725.8971461,196.6847853,0.130214732,0.023398614,0.004207042,0.023398613,894.189524,77.68,22.32,1.12,35.3,1.77,20.48,1.77,3.0194488,0.260958221,4.7687,0.3195,0.9029,0.2594,0.0304,0.1058,0.0492,46.5
Isla Hermite,HER42PB,HER42PB1A,3,2.5,3.7,3.1,3.1,0.6,-65,-42,-60,-58,12,0.4116,0.01546,19219.71429,52847.57143,1.328571429,69.28571429,441.8571429,148.1428571,119.7142857,7603.428571,22.85714286,123.4285714,675.5714286,680.1428571,31968.42857,5356.714286,5.969385725,1.78643537,0.167590927,-1.78643537,37325.14286,294.422437,1304.465006,0.044880794,19.72066839,38.53755126,78.941811,33.73284396,1362.891027,26.44761219,84.27110446,102.4692753,148.3446759,671.7586018,121.7096467,0.132506991,0.021998875,0.003653047,0.021998875,740.4679666,79.48,20.52,1.03,41.92,2.1,24.32,2.1,3.191299057,0.275564475,5.0921,0.3895,0.9496,0.2452,0.031,0.1009,0.0166,16.4
Isla Hermite,HER42PB,HER42PB1A,4,3.9,5.1,4.5,4.5,0.6,-65,-30,-57,-55,17,0.4092,-0.06608,18864.14286,52131.57143,1.43,100.4285714,482.4285714,148.8571429,151.7142857,8591.714286,0.357142857,108.5714286,722,673.1428571,30640.42857,5152.857143,5.952529325,1.783245923,0.168188108,-1.783245924,35793.28571,612.25796,2292.62614,0.124096736,13.32737962,61.16332546,30.12987759,23.84473587,1092.072604,0.944911183,98.75197406,76.8873635,125.2217081,899.5133605,230.3109699,0.216495732,0.036534717,0.006171629,0.036534716,1049.776598,77.27,22.73,1.14,37.42,1.87,21.7,1.87,3.077312261,0.265187739,5.8875,0.5299,0.8513,0.2505,0.0351,0.1025,-0.0022,-2.1
Isla Hermite,HER42PB,HER42PB1A,5,5.3,6.5,5.9,5.9,0.6,-64,-19,-55,-51,23,0.4081,-0.1335,18524.28571,52431.28571,1.432857143,76,482.2857143,157,154.1428571,10177.85714,0.357142857,156.8571429,1007.571429,652.1428571,28922.42857,5319.571429,5.439274473,1.693232866,0.183999064,-1.693232866,34242,485.1260023,2026.48692,0.077827648,16.59317129,79.1995671,47.74934555,37.46299762,1422.475826,0.944911183,76.36628526,162.1612954,62.64830025,935.4647432,176.3130333,0.169749115,0.030951157,0.005647376,0.030951158,1043.884413,71.58,28.42,1.42,22.91,1.15,13.29,1.15,2.587011873,0.22385731,5.7703,0.5741,0.9087,0.3608,0.0539,0.1472,-0.0262,-17.8
Isla Hermite,HER42PB,HER42PB1A,6,6.7,7.9,7.3,7.3,0.6,-64,-8,-52,-48,28,0.4103,-0.20377,19571.42857,57552.85714,1.345714286,66,413.5714286,111.2857143,125.1428571,13753.28571,2.428571429,132.7142857,936.7142857,678.2857143,30147.71429,5354.714286,5.630693683,1.728002037,0.17768016,-1.728002037,35502.42857,343.5044188,3006.032348,0.059120539,8.640987598,63.77788839,31.41504038,30.76485317,3598.93293,6.425396041,45.03966506,147.5349837,49.35150888,742.0650722,93.19641317,0.130269677,0.023227926,0.004143643,0.023227927,787.2900476,69.69,30.31,1.52,28.64,1.43,16.61,1.43,2.810004924,0.241920954,5.4259,0.586,0.8766,0.3812,0.0602,0.1564,-0.053,-33.9
Isla Hermite,HER42PB,HER42PB1A,7,8.1,9.3,8.7,8.7,0.6,-64,3,-50,-44,33,0.3223,-0.21976,19518.28571,66067.85714,1.418571429,114.7142857,559.7142857,211,145.4285714,25766,14.57142857,125.2857143,1022.142857,578.5714286,27171.14286,5221.571429,5.20683413,1.649629293,0.192187451,-1.649629294,32392.71429,381.9318064,3406.410008,0.110064916,34.29632772,99.29537466,38.75564475,27.71796735,3105.261932,18.36534003,42.85912694,64.60502708,113.4193651,137.8603503,134.651225,0.146701387,0.028331204,0.005474048,0.028331205,142.651924,29.61,70.39,3.52,23.05,1.15,13.37,1.16,2.593013391,0.224973488,5.1998,0.6136,0.4258,1.0123,0.1701,0.3263,-0.1676,-51.4
Isla Hermite,HER42PB,HER42PB1A,8,9.5,10.7,10.1,10.1,0.6,-62,15,-46,-40,39,0.0853,-0.07685,19921.28571,57765.71429,1.364285714,77.71428571,426.2857143,121.5714286,112.1428571,14440.28571,6,145.7142857,913.1428571,635.7142857,30389,5449.857143,5.574128127,1.717431253,0.179655666,-1.717431253,35838.85714,888.4251449,3707.867478,0.051915683,35.06999803,87.09135871,24.6431677,25.55013745,4950.753132,13.0511813,56.9318724,170.9721503,135.7027564,2367.381394,327.5033987,0.223907011,0.040742018,0.007422814,0.040742019,2654.921997,68.61,31.39,1.57,31.04,1.55,18,1.55,2.890371758,0.248893124,5.6544,0.7294,0.8022,0.367,0.0657,0.0313,-0.0226,-72.2
Isla Hermite,HER42PB,HER42PB1A,9,10.9,12.1,11.5,11.5,0.6,-56,33,-29,-24,45,0.0853,-0.15703,20444,62930.42857,1.414285714,107.1428571,637,291.1428571,157.8571429,19232.28571,0.357142857,155.4285714,919.2857143,781.2857143,30279.85714,5440.428571,5.56645999,1.716447545,0.179760079,-1.716447544,35720.28571,222.7547231,2539.291755,0.083238041,20.22728002,75.2750512,115.1483515,50.89017119,3407.73237,0.944911183,54.89036692,150.5542143,236.2031007,923.9562451,122.8438808,0.149270687,0.027048852,0.00490356,0.027048851,994.009174,75.75,24.25,1.21,32.46,1.62,18.83,1.63,2.935451343,0.254104391,5.7703,0.805,0.9124,0.2921,0.0554,0.0249,-0.0412,-165.1
Isla Hermite,HER42PB,HER42PB1A,10,12.3,13.4,12.9,12.9,0.6,-53,66,-14,-8,60,0.0853,-0.65065,20683.28571,62784.85714,1.394285714,108.4285714,575.7142857,211.5714286,140.2857143,19096.71429,0.857142857,178.8571429,869.7142857,662.5714286,30766.57143,5476,5.623439603,1.725742168,0.178254515,-1.725742167,36242.57143,1002.712607,7135.274847,0.095368958,26.51953458,90.58092935,89.82549219,49.35826268,6560.664263,2.267786838,82.14910949,105.6499161,156.2891094,1146.896371,140.42317,0.297903318,0.052929506,0.009418794,0.052929505,1101.725443,72.33,27.67,1.38,38.04,1.9,22.07,1.9,3.09421922,0.266380449,5.3969,0.8095,0.9458,0.3618,0.0724,0.0309,-0.2293,-742.8
Isla Hermite,HER42PB,HER42PB1A,11,13.6,14.7,14.2,14.2,0.6,-50,107,0,8,78,0.0853,0.88905,19344.42857,54893.71429,1.437142857,102.7142857,493.1428571,181,117.1428571,12046.85714,0.357142857,172.2857143,1008.714286,676.8571429,30094.71429,5501.571429,5.472381587,1.69944165,0.182834908,-1.69944165,35596.28571,231.1499204,2999.977206,0.074546246,41.51591777,164.1487421,77.63160868,47.29844455,3432.651863,0.944911183,64.55414855,126.0498767,121.9691608,769.8808813,170.2222637,0.138514029,0.02515208,0.004569558,0.02515208,885.7610126,68.58,31.42,1.57,23.17,1.16,13.44,1.16,2.598235335,0.224252455,5.1832,0.8241,0.8701,0.3987,0.0833,0.034,0.3616,1063.2
