"Site","Site_Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","Depth_T_field_cm","Depth_B_field_cm","Depth_field_cm","Depth_T_cm","Depth_B_cm","depth","SH20_min","SH20_max","SH20_median","SH20_age","accum_rate","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Ash_Mass","Water_Content_pc","Dry_mass","LOI550","C_content","Volume_cm3","Wet_density_g_cm3","Dry_density_g_cm3","DMAR_g_cm2_yr"
"HER42PB","HER42PB1A","HER42PB1A_1","A",1,2.1,1.5,1,0,1,0.5,0,1,0.5,-67.08,-60.66,-64.82,-64.57,0.4097,4.1761,1.8575,2.3186,0.7099,NA,-0.135661324870226,0.135661324870217,NA,NA,2.5,-1.05539780902103,-0.229278569954753,1.30031803369464
"HER42PB","HER42PB1A","HER42PB1A_2","A",2,2.2,2.5,1.1,1.21,2.31,1.76,1.21,2.31,1.76,-65.68,-52.51,-62.32,-61.5,0.4077,6.6902,2.3847,4.3055,1.2371,NA,-0.005135444474588,0.00513544447458041,NA,NA,4.8,-1.2234021575343,-0.365329083254752,1.08120918684437
"HER42PB","HER42PB1A","HER42PB1A_3","A",3,2.4,2.3,1.2,2.52,3.72,3.12,2.52,3.72,3.12,-65.1,-41.72,-59.85,-58.17,0.4116,7.2317,2.3962,4.8355,1.2486,NA,0.20845235980918,-0.208452359809188,NA,NA,5.1,-1.05539780902103,-0.433354339904752,0.907112397823469
"HER42PB","HER42PB1A","HER42PB1A_4","A",4,2.5,2.6,1.2,3.92,5.12,4.52,3.92,5.12,4.52,-64.64,-30.21,-57.31,-54.75,0.4092,7.6345,2.6223,5.0122,1.4747,NA,-0.0525994009820929,0.0525994009820844,NA,NA,5.9,-1.55941085456082,-0.433354339904752,1.05268330825037
"HER42PB","HER42PB1A","HER42PB1A_5","A",5,2.7,2.3,1.2,5.33,6.53,5.93,5.33,6.53,5.93,-64.32,-19.2,-54.7,-51.31,0.4081,8.4731,3.2295,5.2436,2.0819,NA,-0.728960781214028,0.728960781214018,NA,NA,5.8,-0.60738621298566,0.314923483245243,2.31787785164585
"HER42PB","HER42PB1A","HER42PB1A_6","A",6,2.1,2.7,1.2,6.74,7.94,7.34,6.74,7.94,7.34,-64.06,-8,-52.06,-47.86,0.4103,7.9727,3.2161,4.7566,2.0685,NA,-0.954414574624672,0.954414574624663,NA,NA,5.4,-0.663387662490081,0.450973996545242,2.69582864117059
"HER42PB","HER42PB1A","HER42PB1A_7","A",7,2.2,2.6,1.2,8.15,9.3,8.72,8.15,9.3,8.72,-63.76,3.19,-49.51,-44.49,0.3223,8.6255,6.4113,2.2142,5.2637,NA,-5.71267621450197,5.71267621450195,NA,NA,5.2,0.344638428589504,4.73656516549521,15.1420730752881
"HER42PB","HER42PB1A","HER42PB1A_8","A",8,2.8,2.1,1.2,9.5,10.7,10.1,9.5,10.7,10.1,-62.45,15.06,-45.96,-40.2,0.0853,7.7589,3.2228,4.5361,2.0752,NA,-1.08494045502031,1.0849404550203,NA,NA,5.7,-1.16740070802987,0.382948739895242,0.141633785193276
"HER42PB","HER42PB1A","HER42PB1A_9","A",9,2.8,2.2,1.2,10.91,12.11,11.51,10.91,12.11,11.51,-56.36,33.47,-29.12,-23.69,0.0853,8.0985,2.8334,5.2651,1.6858,NA,-0.242455227012109,0.242455227012101,NA,NA,5.8,-0.99939635951661,-0.161253313304754,-0.124881377881544
"HER42PB","HER42PB1A","HER42PB1A_10","A",10,2.7,2.3,1.1,12.32,13.42,12.87,12.32,13.42,12.87,-52.97,66.26,-14.46,-7.77,0.0853,8.2046,3.1004,5.1042,1.9528,NA,-0.645898857325895,0.645898857325886,NA,NA,5.4,-0.383380414967974,0.314923483245243,0.0459318567688214
