"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-8.47150784220028,2.09e-05,3.13148340772836,0.057813095,3.74316987878948,2.38262301249003,5.10371674508893
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-12.3984445381776,4.125e-07,2.52650241766842,0.167196198,2.73014239054324,1.36573276233488,4.0945520187516
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-9.18131569293557,1.03e-05,2.6352276865988,0.043639925,3.56006153764805,2.19979885533042,4.92032421996567
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.10655939916968,0.00022282,4.42020843695187,1.204215632,4.35325299612857,2.98863411544285,5.71787187681429
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.25431404928425,0.000192214,4.50048585044673,0.829001857,4.31513689350955,2.95091274964703,5.67936103737207
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.75431241377429,4.29e-05,4.42273332782719,0.676115824,3.9281839851244,2.56690948152785,5.28945848872095
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.07876264739502,0.000622761,4.14889549601093,0.318454995,4.6183925801062,3.25051341872246,5.98627174148994
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-9.53468642879955,7.23e-06,5.03855590993543,0.912951267,3.46890288226694,2.10861987462114,4.82918588991274
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-8.15569390336204,2.87e-05,4.03820854355804,1.511547748,3.82464004904768,2.46382729805389,5.18545280004147
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.38464477902467,0.001246732,4.69189223495974,0.741410788,4.79745339396204,3.42686579166433,6.16804099625974
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.87243357933178,0.000281601,5.56695263135749,2.462160119,4.41365017325825,3.04836767441889,5.7789326720976
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-8.32329721078114,2.43e-05,4.94495839155949,0.492872097,3.78140361039807,2.42074265472698,5.14206456606915
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.32976533450965,0.000178245,4.21238708406088,0.138761249,4.29567280944751,2.93164304924985,5.65970256964516
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.00704315935854,9.05e-05,4.17491914288766,0.286572998,4.12095620287364,2.75845330357741,5.48345910216987
"Bird Island","BI10","BI10.3",95,93,94,93.5,-8.92446242598228,1.33e-05,4.27628832446624,0.774294779,3.62632168901134,2.26600627202565,4.98663710599703
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-8.06592013931785,3.14e-05,3.73286878747651,0.244174097,3.84779888702774,2.48689488915451,5.20870288490097
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-7.47097655889917,5.69e-05,3.82272003609075,0.254790732,4.00127582021516,2.63959198256093,5.3629596578694
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-10.2181982973758,3.65e-06,3.5780087046861,0.124414396,3.29257808637206,1.93195055487912,4.653205617865
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-6.9737316333066,9.36e-05,4.46623122438134,1.036590908,4.129549540169,2.7669807269159,5.49211835342209
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-6.07400824632189,0.000230193,4.83744487171557,1.544773235,4.36165018079485,2.99694183307824,5.72635852851146
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.40069500208613,0.000451344,3.61081768221592,0.295665893,4.53534404892106,3.1685826621371,5.90210543570503
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-4.81173246948822,0.000813376,4.97774403879583,1.516565475,4.68727805785988,3.31840512450287,6.0561509912169
