Bird Island,BI10,BI10.12,469,458.3,459.3,458.8,0.5,6515.77,195.9,6307.45,6701.26,6515.22,6511.97,6301.71,6726.94,6528.02,6524.61,6308.95,6700.75,6520.14,6517.65,21292.72727,58885,1.335454545,33.18181818,315.7272727,184.9090909,67.45454545,13294,106.0909091,200.5454545,131.3636364,17.18181818,84.63636364,858.9090909,744.3636364,34476.45455,5588.454545,0.162143465,18.72868485,58.4261772,49.22490131,15.16155425,5753.232952,69.44415677,34.39291682,38.65041456,30.15897273,78.35850015,215.1118103,106.6070098,1142.661049,206.8653493,0.181038244,0.0049731,5505.035933,990.9064679,10269.18303,1334.993794,3795.356029,531.3498441,311.4480017,37.3737602,35173.56997,6331.242595,7.368448017,0.515791361,6.263265577,3.382163412,34.66157048,4.852619867,58.60550147,5.274495132,21.04953065,3.367924904,198.7277638,3.974555276,50.93045401,2.546522701,0.079113924,0.002383847,3.013182674,0.040112482,0.005219911,13.01318271
Bird Island,BI10,BI10.12,475,466.1,467.2,466.6,0.55,6608.54,157.41,6468.88,6790.07,6598.19,6605.33,6483.12,6826.94,6611.85,6623.12,6479.18,6794,6604.24,6611.83,22271.58333,59847.83333,1.283333333,43.33333333,318.0833333,180.1666667,75.33333333,11089.41667,169.9166667,202.0833333,157.75,10.5,59.25,657.4166667,807.25,36977.75,5991.5,0.162107014,22.27649937,48.15780562,48.85197183,17.82405593,1346.87392,74.17357816,28.88364851,42.84459232,14.21586821,58.89455138,213.0836192,55.20066699,934.663588,106.1067216,0.113523971,0.004334642,6097.843222,1097.61178,12229.13292,1589.78728,5093.523369,713.0932717,353.3049619,42.39659543,30813.78663,5546.481593,5.122222899,0.358555603,6.301289954,3.402696575,25.95749555,3.634049377,40.82277223,3.674049501,23.73857998,3.798172797,302.9231828,6.058463656,78.78952034,3.939476017,0.06183249,0.003072111,4.968441043,0.062064392,0.009290072,14.96844103
Bird Island,BI10,BI10.12,479,471.4,472.4,471.9,0.5,6732.83,194.805,6561.92,6922.94,6708.34,6716.5,6578.44,7021.95,6753.86,6764.33,6569.18,6958.79,6732.08,6739.79,20921.72727,58109.63636,1.321818182,38.45454545,309.2727273,169.6363636,54.09090909,12770.72727,180.7272727,189.8181818,161.2727273,11.72727273,86.81818182,679.6363636,768.2727273,34300.09091,5761.090909,0.168467554,14.55584856,41.80452346,36.45071392,22.98457981,1398.06145,49.29318596,35.37461853,37.63533156,18.03380664,62.24438638,186.6013251,66.94040769,2290.955323,148.3701146,0.064763426,0.008841814,6175.999603,1111.679929,9855.628818,1281.231746,3509.410749,491.3175049,115.4337622,13.85205146,13189.89932,2374.181878,5.35222129,0.37465549,9.999536344,5.399749626,89.58971424,12.54255999,35.42302354,3.188072119,30.35980649,4.857569038,245.5928888,4.911857776,55.86097273,2.793048637,0.02090738,0.002173771,10.39714801,0.007287127,0.001486366,20.39714804
Bird Island,BI10,BI10.12,484,478.2,479.2,478.7,0.5,6824.45,274.89,6592.87,7077.21,6794.98,6806.34,6604.35,7195.82,6841.98,6857.01,6594.93,7144.71,6820.07,6834.65,21790,55455.72727,1.312727273,36.90909091,289.8181818,108.2727273,46.54545455,4996.545455,68.90909091,208.1818182,213.6363636,13.72727273,89.36363636,916.1818182,870.2727273,38305.90909,5961.090909,0.15564358,12.56546494,47.45696615,47.89590987,17.68255432,813.5276718,40.23792874,32.66440932,63.81265192,29.82311489,76.68020961,89.08963821,88.52919395,876.0102116,155.3296202,0.177314851,0.00353544,5968.444872,1074.320077,10048.24434,1306.271764,3248.960975,454.8545365,105.7636335,12.69163602,10103.92743,1818.706937,5.409379617,0.378656573,13.45589808,7.266184963,97.79698974,13.69157856,54.064265,4.86578385,28.7689376,4.603030016,254.6825264,5.093650528,50.67135824,2.533567912,0.019735544,0.001658512,8.403681897,0.00609517,0.001121736,18.40368186
Bird Island,BI10,BI10.13,506,473.4,474.5,474,0.55,7029.52,496.37,6636.97,7557.55,6983.03,7021.96,6641.95,7670.98,7030.22,7064.43,6633.88,7626.62,7005.37,7046.96,20826.08333,59943.75,1.424166667,41,334.5,174.6666667,61.41666667,15793.33333,148.8333333,191,172.1666667,40.25,145.5,1013.25,748.0833333,32742.91667,5434,0.16606394,16.47587768,42.06812657,27.98809271,24.09246707,2157.795648,75.27022028,30.70090316,70.45028335,55.49303806,45.90206967,204.6181033,58.72038261,1161.338214,142.8750249,0.123026198,0.004827654,2516.983872,453.057097,6960.861032,904.9119342,1199.537678,167.9352749,60.6622639,7.279471668,33521.67785,6033.902013,21.80830378,1.526581265,10.48832859,5.663697439,46.69505839,6.537308175,136.0251037,12.24225933,10.73581104,1.717729766,111.667296,2.23334592,21.85695903,1.092847952,0.025900636,0.001063819,4.107310374,0.007131733,0.001006096,14.10731019
Bird Island,BI10,BI10.13,519,491,492,491.5,0.5,7655.16,639.28,6918.4,8096.3,7637.3,7601.98,6967.46,8106.82,7672.38,7641.43,6836.27,8114.83,7683.46,7628.01,21587.27273,62373.45455,1.338181818,17.27272727,305.9090909,72.45454545,40.09090909,14940.09091,196,190.1818182,224.5454545,56.36363636,68.72727273,813.3636364,709.8181818,35579.72727,5895.090909,0.165775222,10.66856044,40.41646829,21.46794651,14.8354612,4174.159303,69.75098566,48.81765701,40.1207269,52.05434223,47.88129261,92.54649937,126.057779,2148.93495,322.5106059,0.150079278,0.003774207,790.4601626,142.2828293,7012.381581,911.6096055,307.9839209,43.11774893,64.82600414,7.779120497,19102.04921,3438.368858,14.81752131,1.037226492,14.68864067,7.931865962,78.63602567,11.00904359,94.75874646,8.528287181,3.470088908,0.555214225,131.8281488,2.636562976,7.181000574,0.359050029,0.025348542,0.000841453,3.319533498,0.010776478,0.001435377,13.3195334
Bird Island,BI10,BI10.13,522,494.8,495.8,495.3,0.5,7808.21,630.22,7042.32,8146.49,7811.83,7776.2,7075.85,8155.54,7852.26,7817.39,6901.9,8162.34,7841.81,7787.38,21632,65648.63636,1.413636364,26.72727273,346.7272727,109.0909091,51,20218.45455,143.3636364,174.5454545,193.9090909,34.27272727,46.36363636,826.3636364,670.5454545,34173,5605.909091,0.164327659,14.37421935,46.91287863,52.9215543,22.4053565,8601.48369,69.43525434,27.89753981,47.90293216,31.90326287,50.24793076,147.3487514,112.4787657,1998.699527,169.8466688,0.084978591,0.00605834,3163.380594,569.4085069,9040.006112,1175.200795,1347.461524,188.6446134,87.95481953,10.55457834,17067.4608,3072.142944,4.1377886,0.289645202,13.66412704,7.378628602,99.33071721,13.90630041,57.03901807,5.133511626,14.31278916,2.290046266,224.4453244,4.488906488,28.83560184,1.441780092,0.024277737,0.000898295,3.700077253,0.005881017,0.000805704,13.70007713
Bird Island,BI10,BI10.13,525,498.7,499.7,499.2,0.5,7965.3,648.4,7110.5,8229.65,8007.09,7955.01,7155.3,8261.61,8053.85,7997.98,6954,8250.8,8024.65,7950.95,21969.2,75244.2,1.42,54.8,495.9,167.4,120.7,32461.8,273.2,210.2,375.8,169.1,88.2,1238.5,658.3,30715.8,5547,0.181211009,24.83635328,91.0792695,78.42363589,60.4024466,6283.970999,51.01154553,32.70677809,70.24528454,107.3917543,42.42064487,274.8184249,74.03159986,2061.698965,178.1566103,0.086412524,0.011687875,6266.517708,1127.973187,11396.20863,1481.507122,2883.518514,403.692592,169.8695081,20.38434097,32079.57549,5774.323588,10.38268079,0.726787655,13.11407391,7.081599911,78.85879013,11.04023062,47.08824283,4.237941855,25.23019472,4.036831155,262.4737246,5.249474492,49.62591564,2.481295782,0.02327205,0.000868727,3.732918661,0.009515421,0.001306745,13.73291859
Bird Island,BI10,BI10.13,529,503.9,505.1,504.5,0.6,8090.37,651.31,7188.03,8317.58,8158.77,8096.67,7246.45,8326.53,8183.56,8119.78,7016.89,8319.51,8168.95,8081.45,22666.2,76962.9,1.376,37.9,555.3,91.7,67.6,31490.9,288.9,236,549.8,296.1,4.4,1130.4,631.5,33134.3,5557.3,0.167993663,19.3071662,77.0310904,39.44067275,15.8689074,9764.807086,100.2402115,46.15192304,120.0831194,48.64485813,11.11755369,159.4624303,77.44137568,1853.806957,198.2243678,0.106928268,0.007156707,1326.826528,238.828775,7680.69076,998.4897988,440.1427786,61.619989,77.40139067,9.28816688,40180.34818,7232.462672,32.08267707,2.245787395,54.67369247,29.52379393,273.7512725,38.32517815,160.9095737,14.48186163,4.409343496,0.705494959,198.8915063,3.977830126,8.837063052,0.441853153,0.051925573,0.001054018,2.029863856,0.008370892,0.001007007,12.02986373
Isla Hermite,HER42PB,HER42PB_1A,3,2.5,3.7,3.1,0.6,-57.85,11.195,-65.37,-47.44,-60.81,-59.69,-64.86,-36.47,-58.53,-56.54,-64.95,-42.56,-59.69,-57.99,19465.15385,53638,1.333846154,76.61538462,458.1538462,135.5384615,128.6153846,7915.153846,83.61538462,173.4615385,115.9230769,12.30769231,109.3076923,713.8461538,682.4615385,32215.23077,5434.153846,0.168708174,17.88639363,40.48630664,61.6557856,30.31099487,1284.980664,42.11203007,38.28754233,49.45277468,22.14491896,79.44535293,90.3418011,123.6666321,736.8298259,160.9409033,0.218423437,0.004419991,5443.67845,979.862121,15948.18938,2073.264619,1607.114721,224.9960609,407.4375349,48.89250419,14682.28264,2642.810875,4.851245271,0.339587169,4.965819612,2.68154259,23.13004442,3.238206219,42.19689147,3.797720232,17.13305574,2.741288918,204.6688961,4.093377922,8.791484806,0.43957424,0.380952381,0.041522491,10.89965398,0.09340883,0.019522122,20.89965406
Isla Hermite,HER42PB,HER42PB_1A,5,5.3,6.5,5.9,0.6,-50.59,21.9,-64.55,-26.27,-55.32,-52.73,-64.11,-12.83,-53.03,-49.41,-64.19,-20.39,-54.35,-50.88,18793.53846,53598.84615,1.421538462,84.15384615,484.3076923,171.1538462,155.9230769,10825.15385,92.30769231,170.9230769,89.76923077,6.769230769,174.3846154,915.0769231,613.0769231,29367.30769,5307.461538,0.180820653,18.26584314,90.91056467,79.35662769,39.62419618,1410.878086,32.72202269,26.71286063,43.76671842,16.6490933,91.69109232,177.70409,81.35566108,830.9338506,147.8690949,0.177955315,0.005911097,5975.780316,1075.640457,16588.68048,2156.528462,1837.980819,257.3173147,366.7929674,44.01515609,16189.75967,2914.156741,5.402833637,0.378198355,5.507249153,2.973914543,28.86151963,4.040612748,35.42095591,3.187886032,22.17089462,3.547343139,214.4801797,4.289603594,9.110923126,0.455546156,0.361445783,0.023201856,6.419180201,0.130405574,0.021411526,16.41918006
Isla Hermite,HER42PB,HER42PB_1A,7,8.1,9.3,8.7,0.6,-43.33,32.49,-63.94,-5.25,-49.82,-45.77,-63.62,11.1,-47.52,-42.28,-63.46,1.52,-49,-43.76,19866.30769,66045.07692,1.385384615,118.6923077,558.6923077,201.3846154,146.4615385,24868.76923,158.1538462,186.4615385,103.8461538,9.538461538,125.3846154,943.6923077,598.7692308,28009.84615,5206.846154,0.186126875,43.01043404,81.92820497,34.89159035,31.97555156,2750.596788,49.54769782,34.98717714,44.61473253,15.30585609,39.40080046,112.6316893,102.7554977,1070.922721,145.1245707,0.135513579,0.008447015,5333.453521,960.0216338,15380.19155,1999.424902,1832.527324,256.5538254,315.5650704,37.86780845,16934.94085,3048.289353,4.923853521,0.344669746,4.900777465,2.646419831,28.38931831,3.974504563,31.93149296,2.873834366,20.66172394,3.30587583,191.8197183,3.836394366,8.621791549,0.431089577,0.343839542,0.015991471,4.650852878,0.348060522,0.050993835,14.65085289
Isla Hermite,HER42PB,HER42PB_1A,9,10.9,12.1,11.5,0.6,-22.31,44.37,-57.47,20.35,-34.18,-30.34,-55.11,43.3,-20.66,-16.45,-55,33.74,-25.73,-21.63,20964.61538,65795.53846,1.410769231,100.0769231,541,253.3846154,136.9230769,21869.07692,172.8461538,183.4615385,98.46153846,0,122.4615385,823.2307692,753.3846154,30909.23077,5459.615385,0.176783745,18.67467777,123.0033875,122.6815243,46.06057884,5261.359021,76.10064187,28.87794829,55.11142559,0,56.46771258,158.0375239,199.0517263,1069.420961,137.0179663,0.128123509,0.006256354,5207.184,937.29312,15558.14641,2022.559033,1580.648497,221.2907896,291.4015196,34.96818235,17138.00234,3084.840421,4.715790685,0.330105348,5.241528694,2.830425495,33.07658228,4.630721519,27.71352621,2.494217359,18.82353425,3.01176548,198.4859127,3.969718254,8.287638868,0.414381943,0.086393089,0.011908306,13.78386425,0.025239275,0.006002875,23.78386407
Isla Hermite,HER42PB,HER42PB_1A,13,16.3,17.5,16.9,0.6,41.21,114.21,-44.63,161.46,24.11,33.87,-45.27,187.84,35.23,45.38,-42.02,186.4,35.98,46.13,18354.53846,46608.69231,1.352307692,62.38461538,330,94.84615385,78,4048.307692,92.76923077,179.8461538,148.9230769,3.384615385,110.6923077,793.6923077,741.8461538,31057.84615,5487.538462,0.176709254,19.32415786,60.08743629,19.46726378,19.4422221,364.6572328,45.09278184,35.12559882,47.11946084,10.04604783,71.79065006,103.9273662,110.4059526,979.7075964,169.50104,0.173011867,0.002680377,5837.940234,1050.829242,17669.83951,2297.079136,1819.746676,254.7645346,318.8457154,38.26148585,13667.24784,2460.104611,5.347190156,0.374303311,6.351383957,3.429747337,33.89863255,4.745808557,28.93439766,2.604095789,20.45548446,3.272877514,217.6036906,4.352073812,10.6404829,0.532024145,0.104257168,0.005161956,4.951176496,0.035983073,0.005379893,14.95117664
Isla Hermite,HER42PB,HER42PB_1A,16,20.5,21.6,21.1,0.55,91.02,157.215,-30.5,285.82,66.82,83.68,-22.23,275.23,80.51,93.47,-21.58,292.85,84.9,97.83,17416.58333,46639,1.306666667,74.66666667,371.9166667,159.25,122.6666667,6877.166667,132.0833333,184.9166667,151.9166667,2,125.25,983.1666667,675.6666667,28378.75,5186.916667,0.183069921,25.42487448,58.15568187,46.17383163,30.24245461,1029.17927,48.23137103,27.62560845,57.72735027,6.92820323,45.61922442,160.137914,94.99792661,1887.105486,233.2542344,0.123604237,0.006360495,6956.874444,1252.2374,21182.64262,2753.743541,2092.551562,292.9572187,343.7990278,41.25588334,11986.74089,2157.61336,4.922970952,0.344607967,6.39350629,3.452493397,28.97734663,4.056828528,27.00122448,2.430110203,22.53472619,3.60555619,287.7800097,5.755600194,20.13391113,1.006695557,0.112359551,0.003597946,3.202171851,0.067760745,0.00894589,13.2021718
Isla Hermite,HER42PB,HER42PB_1A,20,26.1,27.3,26.7,0.6,158.96,162.79,8.85,334.28,142.27,148.82,7.71,344.53,156.55,162.79,14.15,339.73,157.58,162.97,16929.84615,45918,1.362307692,87.84615385,485,219.6923077,141.7692308,7685.230769,47.92307692,164.7692308,109.6153846,9.692307692,148.1538462,1018.307692,658.0769231,27134,5051.461538,0.186192238,18.34777986,121.1947469,89.12667447,35.34627243,782.0365671,34.62046971,25.34808949,46.59137699,17.8062939,49.77925631,125.694328,96.19638034,850.1492026,171.9862472,0.202301251,0.004069548,5864.826617,1055.668791,16828.03623,2187.64471,2256.103454,315.8544836,382.915235,45.9498282,14179.20706,2552.257271,6.646599115,0.465261938,7.84225117,4.234815632,41.9704529,5.875863406,36.91192497,3.322073247,22.63461313,3.621538101,192.0094569,3.840189138,11.10116946,0.555058473,0.085898354,0.003574833,4.161701621,0.037312421,0.005284074,14.16170157
Isla Hermite,HER42PB,HER42PB_1A,25,33.1,34.1,33.6,0.5,242.43,169.225,66.1,412.15,228.39,231.77,73.46,426.9,240.89,244.87,79.25,417.7,241.39,244.01,15819.54545,50811.90909,1.303636364,133.8181818,474.8181818,242.9090909,164.5454545,17722.90909,175.4545455,142.3636364,123.8181818,9.454545455,190.2727273,950.2727273,572.9090909,22577.63636,4675,0.207411269,47.62314182,70.00545433,70.98091933,47.50444955,1508.712925,60.93991079,42.63630549,29.80878455,17.62591068,116.0940058,164.3916609,65.01454383,1408.544871,181.3146436,0.128724791,0.007302329,8871.994311,1596.958976,23025.53265,2993.319245,3140.602681,439.6843753,585.3572459,70.24286951,35487.97724,6387.835903,9.632847657,0.674299336,11.08791026,5.98747154,61.64578206,8.630409488,47.90043877,4.311039489,34.84930473,5.575888757,237.2807242,4.745614484,16.78597985,0.839298993,0.076335878,0.002771619,3.630820399,0.058900293,0.008028593,13.63082035
Isla Hermite,HER42PB,HER42PB_1A,28,37.1,38.2,37.7,0.55,291.9,165.115,95.51,440.85,284.04,280.25,99.35,456.64,294.76,294.11,115.04,445.27,293.6,292.58,16145.25,49209.66667,1.344166667,174.75,778.6666667,370.4166667,190.25,14233.41667,98.91666667,146.75,130.5,15.33333333,204.1666667,1103,586.5833333,23589.5,4706.5,0.199898233,53.09532594,189.8618317,130.1023781,28.60109661,2137.657106,72.96631643,44.32344957,39.45883931,19.67616617,50.21740613,198.310592,158.3520005,1449.539018,195.3833063,0.13478996,0.009032944,7746.307975,1394.335436,19806.58483,2574.856028,2780.927179,389.3298051,509.8802514,61.18563017,25321.34917,4557.842851,8.041928644,0.562935005,8.769207812,4.735372218,43.74139458,6.123795241,42.59030524,3.833127472,30.00680597,4.801088955,201.9638553,4.039277106,18.09041528,0.904520764,0.079365079,0.003045995,3.837953092,0.046650769,0.006455512,13.83795316
Isla Hermite,HER42PB,HER42PB_1A,31,41.2,42.3,41.7,0.55,339.5,155.04,146.69,481.5,331.56,329.92,174.3,488.44,343.34,343.92,172.29,482.37,339.73,339.62,18131,55430.91667,1.355833333,79.33333333,426.1666667,234,124.8333333,16475.16667,129.8333333,164.9166667,94.66666667,1.25,154.6666667,739.6666667,649.9166667,27701.75,4996.416667,0.180753975,17.78320624,69.22274105,115.5484943,31.07420249,4112.851208,68.11865761,33.92895876,48.71127055,4.330127019,82.77827266,155.8001828,97.21434456,1355.74442,130.526527,0.096276647,0.009983476,8706.157013,1567.108262,23961.57686,3115.004992,2482.596033,347.5634446,510.7720501,61.29264601,30348.25974,5462.686753,8.722415009,0.610569051,8.979833284,4.849109973,34.73791874,4.863308624,44.27594323,3.984834891,30.61922635,4.899076216,256.1176349,5.122352698,12.6893661,0.634468305,0.078571429,0.003218727,4.096561814,0.058400901,0.008232519,14.09656183
Isla Hermite,HER42PB,HER42PB_1B,40,43.1,44.2,43.7,0.55,362.85,135.775,194.92,488.33,354.95,352.92,220.28,493.97,369.43,367.21,216.9,488.45,366.25,362.89,20091.08333,59727.91667,1.35,83,452.8333333,183.25,125.9166667,15627.83333,142.8333333,196,156.6666667,4.583333333,133.6666667,686.9166667,687.1666667,31517,5606.5,0.177930938,29.14228418,90.93337554,61.10367494,29.96500484,2422.88325,59.59992882,21.48995537,45.82046651,12.15399922,82.12997829,100.3978072,112.5205705,736.7245692,144.7314127,0.19645254,0.004515915,6598.380417,1187.708475,19881.77207,2584.630369,2488.325779,348.3656091,425.6460716,51.07752859,27170.31131,4890.656036,6.251857157,0.437630001,8.651530736,4.671826597,40.88974473,5.724564262,38.26194334,3.443574901,22.88497366,3.661595786,217.7898692,4.355797384,15.7899099,0.789495495,0.076976907,0.003678315,4.77846514,0.029049608,0.004293086,14.77846501
Isla Hermite,HER42PB,HER42PB_1B,48,54,55.1,54.5,0.55,483.7,135.3,345.25,596.91,494.03,477.35,350.91,622.4,503.26,490.43,345.95,616.55,499.4,485.68,17799.33333,47476.58333,1.316666667,68.33333333,402.1666667,162.6666667,112.1666667,6561.833333,70.16666667,162.5,103.6666667,5.833333333,119.6666667,825.25,662.25,29503.08333,5274.583333,0.178880947,15.81330472,33.60420248,42.64298585,21.49770953,383.5697953,34.93587199,30.69053748,56.09785822,13.43559271,58.63342722,106.744491,94.66027774,699.7771669,109.0474945,0.155831741,0.005906962,4618.995032,831.4191058,16479.65741,2142.355463,1575.735639,220.6029895,285.4554922,34.25465906,13872.977,2497.13586,5.871694204,0.411018594,11.09571628,5.991686791,27.8525667,3.899359338,30.62449678,2.75620471,17.215285,2.7544456,199.578966,3.99157932,9.92564195,0.496282098,0.084097859,0.00396897,4.719465993,0.031206116,0.004593374,14.71946589
Isla Hermite,HER42PB,HER42PB_1B,50,56.7,57.8,57.2,0.55,512.07,168.25,353.87,662.13,513.61,504.96,358.68,687.08,522.59,518.03,353.94,690.44,520.3,515.38,17684.75,46879.25,1.333333333,59,349.1666667,136.0833333,100.8333333,5776.833333,162.5833333,180.5,144.5,14.33333333,115.75,935,712.6666667,29362,5376.916667,0.183302172,14.57893873,49.58341609,29.77325931,18.084817,704.0105672,43.78139566,38.67933439,34.15073538,21.2745402,58.95163657,127.5118533,125.0972955,1156.512783,182.1819562,0.157526971,0.007672618,3415.579205,614.8042569,10723.74092,1394.08632,1161.29693,162.5815702,213.0614752,25.56737702,10017.06936,1803.072485,4.139917554,0.289794229,5.323592416,2.874739905,16.00316636,2.24044329,21.4504263,1.930538367,12.67297664,2.027676262,119.2508257,2.385016514,6.298210275,0.314910514,0.084162204,0.003301221,3.922451307,0.044658306,0.006217531,13.92245123
Isla Hermite,HER42PB,HER42PB_1B,56,64.7,65.8,65.2,0.55,594.04,211.26,399.99,790.74,586.54,587.9,410.49,803.75,598.83,600.87,404.23,826.75,594.34,598.68,17870.5,47524.66667,1.284166667,64.16666667,377.0833333,170.9166667,104.75,7074.75,132.6666667,184.0833333,117.5833333,8.5,94.91666667,804.0833333,607.5833333,29282.5,5274.5,0.180336404,15.31982277,36.62949217,45.86434213,22.85975026,662.4272344,56.38557735,28.51939797,41.40368524,19.92485885,75.92634988,131.8376814,78.9803869,1036.499397,149.7831766,0.144508696,0.008272381,4921.529077,885.8752339,16718.31854,2173.38141,1911.570392,267.6198549,318.8247,38.258964,18126.438,3262.75884,5.075843538,0.355309048,8.253068077,4.456656762,36.18123,5.0653722,34.30741154,3.087667039,16.21679654,2.594687446,197.3571738,3.947143476,10.43275985,0.521637993,0.084811103,0.002724391,3.212304339,0.026720894,0.003530446,13.21230431
Isla Hermite,HER42PB,HER42PB_1B,60,69.9,70.9,70.4,0.5,646.45,236.76,423.31,881.99,637.12,642.32,440.86,883.27,648.32,653.51,433.66,907.18,643.39,651.18,17555.45455,46970.45455,1.427272727,47.72727273,317.3636364,128.1818182,111.8181818,7567.636364,73.63636364,178,113.0909091,2.363636364,154.0909091,889,629.5454545,28528.81818,5086.181818,0.17828778,17.77127406,77.96957449,54.42943722,37.31438913,1259.102003,39.04426393,31.26339713,36.51973315,7.839294959,66.94393855,104.3666613,87.7284032,708.9077258,177.8633285,0.250897715,0.004582705,7273.786524,1309.281574,20223.29166,2629.027916,2382.409952,333.5373933,443.5927218,53.23112662,18736.05749,3372.490348,6.595896427,0.46171275,10.60653138,5.727526945,35.46679751,4.965351651,37.68347236,3.391512512,25.92994062,4.148790499,220.559147,4.41118294,10.79469099,0.53973455,0.089365505,0.002174102,2.432820245,0.048934245,0.006083907,12.43282032
Isla Hermite,HER42PB,HER42PB_1B,63,73.7,74.8,74.3,0.55,684.5,235.525,465.23,918.2,676.9,681.81,475.5,920.75,690.43,692.25,470.61,941.66,684.39,690.37,17671.83333,46547.66667,1.275833333,44.41666667,320.5833333,121.25,86.58333333,5734.916667,99.83333333,182,149.1666667,5.5,111,921.5,683.9166667,29539.33333,5376.25,0.182009144,11.79721333,51.4789601,60.76052097,21.05602196,888.6243156,48.77188708,28.02920555,42.73136666,19.05255888,53.44325793,154.8262956,127.5656397,453.5238459,126.498383,0.278923334,0.003582856,5415.67046,974.8206828,17750.4328,2307.556264,1894.366875,265.2113625,330.5850441,39.67020529,13972.31801,2515.017242,6.245626149,0.43719383,8.570619866,4.628134728,35.40585383,4.956819536,37.52964617,3.377668155,20.04468741,3.207149986,211.7085625,4.23417125,11.40700042,0.570350021,0.105363985,0.002414823,2.291886196,0.042375143,0.005208704,12.29188617
Isla Hermite,HER42PB,HER42PB_1B,69,81.5,82.5,82,0.5,760.73,254.88,522.71,1022.51,758.21,762.15,532.87,1023.42,768.88,770.18,529.19,1038.95,762.58,768.83,15943.90909,51358.63636,1.349090909,157.7272727,760.2727273,408.4545455,258.4545455,17990.45455,129.8181818,138.7272727,113,8.909090909,200.1818182,1276,527.0909091,21924.90909,4696.545455,0.21437147,23.82893581,95.76856573,75.87405833,22.80948766,1359.464848,46.05174955,30.07687121,42.87889924,17.48401868,58.85544696,80.66969691,102.3996626,585.7828018,135.2030796,0.230807527,0.009046891,8945.422022,1610.175964,26370.11281,3428.114665,3316.178876,464.2650426,654.0897303,78.49076764,29131.62831,5243.693096,11.02836,0.7719852,12.14358742,6.557537207,49.15261573,6.881366202,53.75514157,4.837962741,36.0531191,5.768499056,255.3811775,5.10762355,18.6667827,0.933339135,0.124533001,0.001997164,1.603722714,0.099010384,0.01148889,11.60372268
Isla Hermite,HER42PB,HER42PB_1C,80,86.5,87.8,87.2,0.65,814.34,262.825,574.42,1068.57,811.39,811.75,575.59,1075.92,826.67,825.89,566.18,1091.83,820.73,823.93,17513.23077,53067,1.379230769,121.3846154,644.8461538,287.2307692,181.3846154,15298,105.2307692,166.8461538,137.7692308,12.38461538,190.7692308,1180.692308,634.6923077,25716.84615,5142.230769,0.200281993,37.57778258,105.8456787,103.3054967,28.44450287,3374.729026,64.8268898,34.070628,49.59696537,26.49068535,60.5972412,202.3043848,150.8351112,1563.675683,199.1687533,0.127372163,0.007399419,8976.759109,1615.81664,26667.54291,3466.780578,2867.600154,401.4640216,567.7982591,68.13579109,22528.01628,4055.04293,9.134399757,0.639407983,7.820727692,4.223192954,39.76047449,5.566466429,44.16857409,3.975171668,32.92937976,5.268700762,253.6262866,5.072525732,14.95542664,0.747771332,0.091937765,0.002592223,2.819541376,0.064261467,0.008238025,12.81954136
Isla Hermite,HER42PB,HER42PB_1C,86,94.8,96,95.4,0.6,898.84,263.885,646.89,1146.81,892.01,895.07,660.57,1155.35,912.67,911.03,652.09,1179.86,909.49,911.22,19630.15385,52476.30769,1.318461538,79.61538462,440.8461538,176.7692308,140.5384615,8067.230769,130.6153846,189.8461538,117.6153846,0,117.0769231,849.2307692,730.8461538,32133.07692,5718.538462,0.178004606,14.18648689,56.6036603,41.40683085,26.53807135,791.9592954,62.84443553,37.172674,40.37230582,0,61.74606808,112.2580018,74.30998829,486.4710443,113.6108969,0.233540923,0.004549712,5721.295663,1029.833219,19173.11646,2492.50514,1937.934236,271.310793,360.8953237,43.30743884,16524.5867,2974.425606,5.668266146,0.39677863,7.733471223,4.17607446,34.52810771,4.833935079,29.23988643,2.631589779,20.28673632,3.245877811,218.7762183,4.375524366,9.993117862,0.499655893,0.07518797,0.002360068,3.138889982,0.020255757,0.002661382,13.13889009
Isla Hermite,HER42PB,HER42PB_1C,90,100.2,101.4,100.8,0.6,954.36,267.81,683.08,1202.58,950.3,949.87,709.33,1218.92,969.64,966.71,702.52,1238.14,969.02,968.4,18939.23077,47732.76923,1.345384615,43.84615385,283.8461538,152.6923077,82.84615385,4260.076923,58.76923077,181.7692308,127.4615385,0,65.69230769,703.0769231,721.5384615,32111.23077,5470.769231,0.17067339,13.53296071,55.75518833,181.2945966,38.33154957,1067.907569,33.96849974,33.28451553,25.29036504,0,43.70618685,146.8766271,99.78110658,1930.646487,184.1657559,0.095390719,0.006509994,6594.697268,1187.045508,20274.4736,2635.681568,2422.968415,339.2155781,431.4287933,51.7714552,17616.22911,3170.92124,7.144032067,0.500082245,7.374484715,3.982221746,40.65077512,5.691108517,32.82610384,2.954349346,24.33687143,3.893899429,219.7339196,4.394678392,20.92027695,1.046013848,0.071258907,0.002239474,3.142729173,0.027814343,0.003655564,13.14272915
