Element,R2,RMSE,CI_lower,CI_upper,label_R2,label_RMSE
Ti,0.953,1250.491,-971.923,2790.978,R^2:0.95,RMSE: 1250.49
Ca,0.987,1261.239,-2814.567,974.084,R^2:0.99,RMSE: 1261.24
Sr,0.752,57.074,-92.569,79.326,R^2:0.75,RMSE: 57.07
Zr,0.709,50.059,-68.472,66.522,R^2:0.71,RMSE: 50.06
