"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank"
"Ca","RF",0.67652135882806,0.404721258578198,0.405320083182145,4899.1312754143,NA,NA,NA,13400.3536152465,4.37365608740178,214.271153256962,NA,1
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5546.07861545861,NA,318.686507485063,340.232429368128,13400.3536152465,4.63923416424389,257.29557390418,NA,2
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,3
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,4
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,5
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8
"Sr","RF",0.687903628988896,0.345691061755634,0.346757684558846,44.4622459672722,NA,NA,NA,163.852330174044,7.03184186223893,3.12651482481829,NA,1
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,56.5643915636821,NA,244.972001338324,266.517923221389,163.852330174044,7.61572706279396,4.30778967622008,NA,2
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,3
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,4
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA,5
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,NA,6
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,NA,7
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,NA,8
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2132.72586760655,NA,503.766615819022,525.312537702087,3392.06646739343,8.33502896291361,177.763318764556,NA,1
"Ti","PLS_LOO",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,2
"Ti","PLS_kfold",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,3
"Ti","RF",0.742787031556751,0.624193853128855,0.624680929647959,1634.80229641458,NA,NA,NA,3392.06646739343,8.58190596085254,140.297195724157,NA,4
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,NA,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,NA,5
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,NA,6
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,NA,7
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,NA,8
"Zr","RF",0.743204375842857,0.665960724096371,0.675449546082181,45.4053867998287,NA,NA,NA,65.4747233406631,20.2051137993365,9.1742100739343,NA,1
"Zr","Bayes",0.7219222288162,0.693007515213175,0.70718613446717,84.3816359771264,NA,575.992116429963,597.538038313028,65.4747233406631,21.0181659201887,17.7354722558421,NA,2
"Zr","PLS_LOO",0.72037835645274,0.69492862207945,0.711474071275561,77.8910261396823,NA,NA,NA,65.4747233406631,21.0763417407145,16.4165788545487,NA,3
"Zr","PLS_kfold",0.72037835645274,0.69492862207945,0.711474071275561,77.8910261396823,NA,NA,NA,65.4747233406631,21.0763417407145,16.4165788545487,NA,4
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,148.16046066862,NA,661.700465220814,672.473426162346,65.4747233406631,24.9401894861566,36.9514996343163,NA,5
"Zr","WLS",0.608323185716187,0.822467487738816,NA,159.077231156446,NA,661.726819498081,672.499780439613,65.4747233406631,24.9432156773829,39.6789768609613,NA,6
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,NA,162.575252795128,NA,661.816062941063,672.589023882596,65.4747233406631,24.9453367350013,40.5549442575243,NA,7
"Zr","OLS_weighted",0.401191970178938,1.01694769214115,NA,153.784821913486,NA,788.726977570257,799.499938511789,65.4747233406631,37.3991921049437,57.51428097567,NA,8
