"Location","Site","Section","sample","min_depth","max_depth","depth","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_coh_sd","coh_inc_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","dry_mass_pc","K_ICP_sd_FDV2023","Ca_ICP_sd_FDV2023","Ti_ICP_sd_FDV2023","Mn_ICP_sd_FDV2023","Fe_ICP_sd_FDV2023","Co_ICP_sd_FDV2023","Ni_ICP_sd_FDV2023","Cu_ICP_sd_FDV2023","Zn_ICP_sd_FDV2023","Rb_ICP_sd_FDV2023","Sr_ICP_sd_FDV2023","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,-7.459112176,-4.708701764,-6.976449557,-6.946989285,-3.037697317,-6.495795437,-5.270266053,-5.621760754,-5.874653645,-6.831761152,-4.561376219,-3.860771708,-1.886162276,0.151652695,-7.931486565,-6.507366592,-7.974711177,-7.707043377,-4.791751191,-7.153749624,-7.350765841,-7.04608827,-6.623311708,-6.702851335,-6.223695187,-5.669532826,-5.828975856,0.002941087,8.957588582,1.61236594476,9.114377546,1.18486908098,7.273786889,1.01833016446,4.48256118,0.5379073416,8.739210768,1.57305793824,1.403362315,0.09823536205,1.785103665,0.9639559791,3.599795132,0.50397131848,5.566952631,0.50102573679,3.413203773,0.54611260368,5.124204491,0.10248408982,3.415224303,22.9846784,7.606107268,3.829554977,2.40046354,-1.910044771,2.717220949,-3.711548466,-2.674710889,-1.105433151,0.901039062,-1.361228944,0.670393547,1.193623884,2.29846784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,-7.757445037,-5.152808923,-6.897942156,-6.960132376,-3.02641375,-6.075295484,-5.22642249,-5.376733052,-8.184890248,-7.007683019,-4.628286267,-3.861058443,-1.897799599,0.149898092,-8.241317191,-6.91381906,-7.93773564,-8.156675803,-5.197030354,-6.99937397,-7.197691623,-6.847379144,-7.647955729,-6.671019033,-5.957036495,-5.762653468,-6.118675387,0.00220137,7.587472448,1.36574504064,8.798830859,1.14384801167,6.135380783,0.85895330962,3.839451494,0.46073417928,8.214682164,1.47864278952,0.713556964,0.04994898748,1.898255153,1.02505778262,3.528245342,0.49395434788,4.944958392,0.44504625528,2.053546607,0.32856745712,4.744930521,0.09489861042,3.08978528,23.15568582,6.59085933,2.530005411,1.418641215,-1.593263501,3.358318519,-4.423559632,-3.02013612,-3.683120668,-0.707505577,-2.1563338,0.424757633,-0.650249189,2.315568582
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,-8.069112843,-5.243240405,-7.275514563,-6.862532419,-3.200680509,-6.323575816,-5.264410346,-5.479344497,-6.337687568,-6.634957931,-4.645146252,-3.852260821,-1.903108998,0.149104333,-8.184177099,-7.286936096,-7.889184744,-7.944617587,-4.974703707,-6.680563533,-6.889407224,-6.725286961,-6.86299577,-6.968642158,-5.984356123,-6.061898005,-5.314746339,0.004918526,9.572179446,1.72299230028,9.200857974,1.19611153662,7.694996571,1.07729951994,4.83236729,0.5798840748,8.745857,1.57425426,0.89182139,0.0624274973,1.851257046,0.99967880484,3.679101434,0.51507420076,4.212387084,0.37911483756,3.916356428,0.62661702848,5.346617587,0.10693235174,3.669950739,24.17673458,8.206258087,4.117395592,3.216498842,0.210621932,3.662177346,-4.562483371,-3.923582055,-1.865871007,-1.975000456,-0.35125628,0.966617242,0.126860282,2.417673458
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,-9.182482238,-5.194620596,-7.43979748,-7.531482937,-3.599329274,-6.600380532,-5.227632245,-5.745448663,-6.979691579,-6.71247142,-4.666784705,-3.792406883,-1.897712793,0.149911105,-9.111892898,-7.459018004,-7.73585528,-7.899901249,-5.957722668,-7.042561511,-7.706883694,-7.06944127,-6.923974981,-6.385300174,-6.20523898,-6.629415703,-5.478666132,0.004174895,8.03772748,1.4467909464,8.8791575,1.154290475,6.354009221,0.88956129094,4.046986047,0.48563832564,8.230514718,1.48149264924,0.956002135,0.06692014945,1.777027584,0.95959489536,3.611230684,0.50557229576,4.174919143,0.37574272287,2.587956309,0.41407300944,4.874905946,0.09749811892,2.590546946,16.6231038,6.890144122,4.246607614,0.866841361,-0.534911896,2.469446142,-3.603033666,-3.040226774,-0.852913741,-1.249761983,-3.764408368,-0.340358867,-1.71277684,1.66231038
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.545455,21085,51886,1.319090909,-7.251353883,-5.055500193,-5.91246639,-6.569465885,-2.49227356,-6.452712627,-5.245164512,-5.944879885,-8.741690408,-5.854592902,-4.039317698,-3.820015956,-1.855059113,0.156443694,-7.675012116,-6.715879234,-6.204093157,-7.32583779,-4.013239092,-6.885808248,-7.143397421,-6.308140132,-8.350284599,-6.085468905,-4.70518101,-5.820368358,-5.057171,0.006363537,8.050065933,1.44901186794,8.814719692,1.14591355996,6.406919338,0.89696870732,4.099327369,0.49191928428,9.340557183,1.68130029294,1.748332988,0.12238330916,1.962918798,1.05997615092,3.226963318,0.45177486452,4.276288324,0.38486594916,2.330599146,0.37289586336,4.786385014,0.09572770028,2.636235481,15.49312409,6.852111166,2.640003076,0.986831546,-0.563781745,4.5340315,-2.666804554,-2.707977359,-2.48722184,-0.255802626,-2.979420674,0.727805381,-0.95229532,1.549312409
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,-6.838545922,-5.150809959,-6.127254298,-6.485713881,-2.486459932,-5.975804592,-5.150549247,-5.951064942,-7.999901768,-5.276335399,-3.957398997,-3.737503217,-1.812400248,0.163261797,-7.356156983,-6.852662653,-7.488615571,-7.634326876,-4.761869427,-6.764830309,-7.164215057,-6.840098889,-7.052889521,-5.740547114,-5.488303772,-5.865515915,-5.339634036,0.004797626,8.021130851,1.44380355318,8.795637625,1.14343289125,6.332786952,0.88659017328,3.989329742,0.47871956904,8.864092645,1.5955366761,1.290119484,0.09030836388,1.767793884,0.95460869736,2.934614483,0.41084602762,3.732868787,0.33595819083,2.271544681,0.36344714896,4.722121479,0.09444242958,2.571192336,27.34117399,6.762202711,4.188050421,1.124175251,-0.863482088,4.162701406,-3.981880233,-3.190369129,-2.464956963,-1.409873796,-1.591044837,-0.069610164,-1.125583675,2.734117399
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,-7.693413057,-5.140846821,-6.533957021,-6.756525326,-3.293251657,-6.513518936,-5.303621034,-6.041035032,-7.441154088,-6.593229821,-4.374094239,-3.861100804,-1.907991806,0.148378059,-7.764989322,-6.66359263,-6.326685865,-8.43588247,-4.33660945,-7.299617048,-7.754352788,-6.939383128,-7.288064315,-6.415513695,-5.758446962,-6.067252721,-5.895360399,0.002752184,7.26163414,1.3070941452,8.86638463,1.1526300019,6.089253688,0.85249551632,3.858788073,0.46305456876,7.594508365,1.3670115057,0.328791245,0.02301538715,1.519186462,0.82036068948,2.964972371,0.41509613194,3.822720036,0.34404480324,1.835218073,0.29363489168,4.845287051,0.09690574102,2.433247075,16.82974775,6.4249457,4.109916293,1.926886204,-0.208431217,3.314387735,-4.255150841,-3.80810187,-2.6048693,-1.36731273,-2.344705294,-1.118944665,-1.474128284,1.682974775
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,-8.457492004,-5.338801554,-7.227757726,-7.156247145,-1.795538709,-5.749351409,-5.238021896,-5.753753742,-9.490606918,-7.167615701,-5.262390476,-3.88949864,-1.897168076,0.149992787,-8.495223224,-7.250895891,-7.590111529,-8.096240092,-3.909244818,-6.722408783,-7.253118152,-6.818905453,-9.152774849,-6.868374829,-6.198060387,-6.241545568,-5.849009783,0.002882752,7.448147689,1.34066658402,8.628074483,1.12164968279,5.871259539,0.82197633546,3.658762553,0.43905150636,9.673617682,1.74125118276,0.434258578,0.03039810046,1.755117179,0.94776327666,3.740101344,0.52361418816,3.578008705,0.32202078345,1.798036837,0.28768589392,4.547633676,0.09095267352,2.096643109,13.84436494,6.353074684,4.1592874,0.578697289,-2.501504703,1.683445868,-4.005882962,-4.022410692,-2.284402228,-2.084137382,-3.163074984,0.390914587,-1.657172179,1.384436494
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,-8.567888633,-5.459411321,-7.877215289,-7.413455286,-3.404377204,-6.783856245,-5.259243896,-5.564238508,-6.959186583,-6.795673804,-5.724653485,-3.843187324,-1.920337918,0.146557429,-8.480523203,-7.650891704,-8.193888508,-7.74743289,-4.387006946,-7.071325525,-7.364625847,-6.992184213,-7.280935021,-6.53286956,-6.624848902,-6.744072903,-5.564136854,0.003832888,6.526826575,1.1748287835,8.584875349,1.11603379537,5.262502143,0.73675030002,3.469486612,0.41633839344,8.351849857,1.50333297426,-0.298646648,-0.02090526536,1.877134091,1.01365240914,4.140955647,0.57973379058,4.466231224,0.40196081016,0.952679147,0.15242866352,4.519042965,0.0903808593,1.743367037,12.21081609,5.799965383,4.480160583,0.821645978,-1.318616909,3.720954227,-4.418642073,-2.897999993,-0.566629701,0.035937356,-3.824634575,-0.901140282,-2.219452064,1.221081609
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,-8.591320404,-5.153746689,-6.856883929,-6.754305356,-0.915518314,-5.378054001,-5.279350098,-5.487370273,-6.075916158,-7.764686044,-4.995238289,-3.882560716,-1.848784746,0.157428366,-8.496961198,-7.221871221,-7.319928491,-7.544646578,-3.254140082,-6.40562111,-6.81226932,-6.896438118,-6.634189009,-7.459124977,-6.02165072,-6.195299207,-5.930363934,0.002657515,7.403298781,1.33259378058,8.638926677,1.12306046801,5.995270174,0.83933782436,3.625065478,0.43500785736,8.012808536,1.44230553648,0.001918717,0.00013431019,2.248086211,1.21396655394,4.348073956,0.60873035384,4.837444872,0.43537003848,1.939443132,0.31031090112,4.613116375,0.0922623275,2.371499498,16.79692387,6.389709709,4.533998778,1.652429704,-1.149586872,2.749827493,-6.023944765,-3.503776868,-1.66478812,0.434877126,-2.368131898,0.025275726,-1.052868228,1.679692387
