"Location","Site","Section","sample","min_depth","max_depth","depth","SH20_age","kcps","cps","MSE","K","K_sd","Ca","Ca_sd","Ti","Ti_sd","Mn","Mn_sd","Fe","Fe_sd","Co","Co_sd","Ni","Ni_sd","Cu","Cu_sd","Zn","Zn_sd","Rb","Rb_sd","Sr","Sr_sd","Zr","Zr_sd","Mo_inc","Mo_coh","coh_inc","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","dry_mass_pc","K_ICP_sd_FDV2023","Ca_ICP_sd_FDV2023","Ti_ICP_sd_FDV2023","Mn_ICP_sd_FDV2023","Fe_ICP_sd_FDV2023","Co_ICP_sd_FDV2023","Ni_ICP_sd_FDV2023","Cu_ICP_sd_FDV2023","Zn_ICP_sd_FDV2023","Rb_ICP_sd_FDV2023","Sr_ICP_sd_FDV2023","Zr_ICP_sd_FDV2023","dry_mass_err"
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,24.75,2.475,387.8333333,38.78333333,40.25,4.025,41.33333333,4.133333333,2063.416667,206.3416667,64.75,6.475,221.0833333,22.10833333,155.6666667,15.56666667,121.0833333,12.10833333,45.91666667,4.591666667,449,44.9,904,90.4,42998.16667,6520.5,0.151652695,738.9956124,154.9589388,0.002941087,7766.606331,1397.98913958,9084.977882,1181.04712466,1442.000824,201.88011536,88.46094721,10.6153136652,6242.966621,1123.73399178,4.068857773,0.28482004411,5.960197779,3.21850680066,36.59073739,5.1227032346,261.6355831,23.547202479,30.36236272,4.8579780352,168.0404108,3.360808216,30.42377281,1.5211886405,22.9846784,2010.436754,46.04204392,11.02828725,0.148073757,15.13819392,0.02443965,0.068926753,0.331067449,2.462160119,0.256345549,1.955006557,3.299014819,2.29846784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,17.58333333,1.758333333,238.5,23.85,41.75,4.175,39.08333333,3.908333333,1999.833333,199.9833333,94.75,9.475,221.25,22.125,190.3333333,19.03333333,10,1,36.58333333,3.658333333,402.3333333,40.23333333,866.8333333,86.68333333,41187.16667,6174.333333,0.149898092,748.5769327,163.8199307,0.00220137,1973.319538,355.19751684,6626.492173,861.44398249,461.9149499,64.668092986,46.49996193,5.5799954316,3694.801697,665.06430546,2.041238975,0.14288672825,6.674238754,3.60408892716,34.06414422,4.7689801908,140.4650062,12.641850558,7.795499709,1.24727995344,114.9998151,2.299996302,21.97235957,1.0986179785,23.15568582,728.4065428,12.55357407,4.1315028,0.203261185,28.74082309,0.011991471,0.048794576,0.025144385,0.492872097,0.115748702,1.529219743,0.521915705,2.315568582
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,12.45454545,1.245454545,217.3636364,21.73636364,28.36363636,2.836363636,42.90909091,4.290909091,1678.181818,167.8181818,73.18181818,7.318181818,213.4545455,21.34545455,171.5454545,17.15454545,73.36363636,7.336363636,53.27272727,5.327272727,395.0909091,39.50909091,873.9090909,87.39090909,41158.81818,6136.545455,0.149104333,1029.405345,242.7893588,0.004918526,14359.67839,2584.7421102,9905.624178,1287.73114314,2197.326275,307.6256785,125.5077224,15.060926688,6284.597012,1131.22746216,2.439569014,0.17076983098,6.367819135,3.4386223329,39.61078518,5.5455099252,67.51751759,6.0765765831,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,24.17673458,3663.807136,61.39912548,24.940646,1.234445563,38.94604963,0.01043611,0.01977015,0.154761353,0.138761249,0.70380336,2.629036009,1.135258391,2.417673458
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,3.636363636,0.3636363636,223.5454545,22.35454545,23.45454545,2.345454545,21.45454545,2.145454545,1101.818182,110.1818182,54.36363636,5.436363636,215.9090909,21.59090909,128.9090909,12.89090909,36.45454545,3.645454545,48.45454545,4.845454545,379.7272727,37.97272727,907.8181818,90.78181818,40259.81818,6034.909091,0.149911105,896.363522,199.4965937,0.004174895,3095.570446,557.20268028,7180.738417,933.49599421,574.7925663,80.470959282,57.22472424,6.8669669088,3753.765384,675.67776912,2.601276107,0.18208932749,5.912256586,3.19261855644,37.01157435,5.181620409,65.03458094,5.8531122846,13.30255749,2.1284091984,130.9618352,2.619236704,13.33706426,0.666853213,16.6231038,982.5430133,69.86799065,2.379383359,0.585720892,11.81590071,0.027240957,0.047824043,0.426171368,0.286572998,0.023181323,0.711514938,0.180364254,1.66231038
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.545455,21085,51886,1.319090909,26.63636364,2.663636364,242,24.2,100.8181818,10.08181818,52.36363636,5.236363636,3160.363636,316.0363636,60.09090909,6.009090909,200.4545455,20.04545455,99.09090909,9.909090909,5.090909091,0.5090909091,107.1818182,10.71818182,657.6363636,65.76363636,834.5454545,83.45454545,38250.63636,5976.090909,0.156443694,2260.375291,279.3658728,0.006363537,3134.001598,564.12028764,6732.62029,875.2406377,606.0238476,84.843338664,60.2997145,7.23596574,11390.75321,2050.3355778,5.745017677,0.40215123739,7.120078834,3.84484257036,25.20300712,3.5284209968,71.97280393,6.4775523537,10.28410137,1.6454562192,119.867266,2.39734532,13.96054981,0.6980274905,15.49312409,945.8757012,14.01324671,2.682720915,0.569052976,93.133272,0.069473871,0.066671523,0.083140624,0.774294779,0.050822268,2.07053159,0.385854347,1.549312409
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,39.81818182,3.981818182,210.3636364,21.03636364,79.90909091,7.990909091,54.63636364,5.463636364,3007.090909,300.7090909,90.09090909,9.009090909,208.6363636,20.86363636,94.09090909,9.409090909,11.36363636,1.136363636,179,17.9,687.0909091,68.70909091,857.9090909,85.79090909,36182.81818,5897.909091,0.163261797,2511.390484,285.0955821,0.004797626,3044.618396,548.03131128,6605.365982,858.69757766,562.7226914,78.781176796,54.01867077,6.4822404924,7073.372392,1273.20703056,3.633220643,0.25432544501,5.857915852,3.16327456008,18.81424853,2.6339947942,41.79884834,3.7618963506,9.694363956,1.55109823296,112.4064678,2.248129356,13.08141258,0.654070629,27.34117399,864.5444411,65.89419971,3.077677491,0.421691157,64.24483976,0.018650539,0.041156676,0.085012501,0.244174097,0.203712654,0.932757371,0.324463031,2.734117399
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,19.63636364,1.963636364,254.2727273,25.42727273,62.90909091,6.290909091,50.54545455,5.054545455,1610.090909,161.0090909,64.36363636,6.436363636,216.0909091,21.60909091,103.3636364,10.33636364,24.72727273,2.472727273,59.54545455,5.954545455,547.2727273,54.72727273,914.3636364,91.43636364,43429,6444.272727,0.148378059,552.6917767,162.0747302,0.002752184,1424.582603,256.42486854,7089.603048,921.64839624,441.0920959,61.752893426,47.40786167,5.6889434004,1987.252608,357.70546944,1.389287804,0.09725014628,4.568507031,2.46699379674,19.39416739,2.7151834346,45.72842227,4.1155580043,6.266500548,1.00264008768,127.1397723,2.542795446,11.39582517,0.5697912585,16.82974775,617.0473108,60.94161611,6.868091078,0.811856875,27.50554815,0.01419095,0.022190259,0.073912797,0.254790732,0.095875453,0.326624311,0.228978244,1.682974775
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,8.545454545,0.8545454545,203.5454545,20.35454545,30.63636364,3.063636364,33.09090909,3.309090909,7030.181818,703.0181818,135.0909091,13.50909091,225,22.5,134.1818182,13.41818182,1.545454545,0.1545454545,32,3.2,219.7272727,21.97272727,866.5454545,86.65454545,42366.36364,6354.727273,0.149992787,428.9103106,141.9909088,0.002882752,1716.680373,309.00246714,5586.311354,726.22047602,354.6954517,49.657363238,38.81328375,4.65759405,15892.74003,2860.6932054,1.543818014,0.10806726098,5.784125479,3.12342775866,42.10225675,5.894315945,35.80217711,3.2221959399,6.037782671,0.96604522736,94.40874214,1.8881748428,8.138802933,0.40694014665,13.84436494,574.2556523,64.02588147,1.783713254,0.081961578,5.384076861,0.018208205,0.017909738,0.101834918,0.124414396,0.042295483,1.478332239,0.19067742,1.384436494
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,7.7,0.77,187.9,18.79,16.6,1.66,26.1,2.61,1472,147.2,49.9,4.99,229.7,22.97,169,16.9,41.3,4.13,48.3,4.83,143.2,14.32,945.1,94.51,44116.7,6464.9,0.146557429,1115.395301,212.4897122,0.003832888,683.2265993,122.980787874,5350.125775,695.51635075,192.9637106,27.014919484,32.12024806,3.8544297672,4238.013215,762.8423787,0.741821487,0.05192750409,6.534750001,3.52876500054,62.86286744,8.8008014416,87.02811474,7.8325303266,2.592646444,0.41482343104,91.74775016,1.8349550032,5.71655892,0.285827946,12.21081609,330.288126,88.24884284,2.274240107,0.26750503,41.30378848,0.012050585,0.055133377,0.567434644,1.036590908,0.02182641,0.40610632,0.108668636,1.221081609
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,6.727272727,0.6727272727,225.2727273,22.52727273,40.81818182,4.081818182,45.45454545,4.545454545,15614.18182,1561.418182,180.1818182,18.01818182,198.8181818,19.88181818,161.4545455,16.14545455,89.72727273,8.972727273,16,1.6,263.8181818,26.38181818,803.5454545,80.35454545,38979.18182,6136.454545,0.157428366,780.3019695,161.467869,0.002657515,1641.390095,295.4502171,5647.265231,734.14448003,401.5251511,56.213521154,37.52718028,4.5032616336,3019.385269,543.48934842,1.001920559,0.07013443913,9.469595678,5.11358166612,77.32937965,10.826113151,126.1466188,11.353195692,6.954876946,1.11278031136,100.7977844,2.015955688,10.71344504,0.535672252,16.79692387,595.6836327,93.13022455,5.219646629,0.316767608,15.63993365,0.002420104,0.030083547,0.189230748,1.544773235,0.093655521,1.025597866,0.348935486,1.679692387
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.972727,23972.81818,57889.27273,1.315454545,8.181818182,0.8181818182,202.5454545,20.25454545,24.36363636,2.436363636,30,3,2676.181818,267.6181818,63.81818182,6.381818182,233.4545455,23.34545455,166.3636364,16.63636364,198.0909091,19.80909091,23.18181818,2.318181818,395.0909091,39.50909091,963.8181818,96.38181818,43889.09091,6543,0.149073162,498.626003,178.5463525,0.003382222,5412.77206,974.2989708,5488.24581,713.4719553,523.0275133,73.223851862,51.81193098,6.2174317176,36760.73258,6616.9318644,3.769043144,0.26383302008,7.155451754,3.86394394716,40.6484082,5.690777148,36.99629166,3.3296662494,9.787053209,1.56592851344,91.25190224,1.8250380448,9.674570314,0.4837285157,14.8081316,1133.053064,18.21293292,1.869875762,0.049962394,176.9107347,0.04959872,0.030710634,0.139015902,0.295665893,0.059603308,0.699750267,0.181126451,1.48081316
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,1.445,3.333333333,0.3333333333,163.6666667,16.36666667,21.91666667,2.191666667,37.08333333,3.708333333,7485.25,748.525,241.3333333,24.13333333,224.6666667,22.46666667,194.5,19.45,335.9166667,33.59166667,23.08333333,2.308333333,209.3333333,20.93333333,889.5833333,88.95833333,41299.08333,6409.916667,0.155222517,461.5002134,152.3157357,0.003991243,5594.694254,1007.04496572,6436.237221,836.71083873,1149.476822,160.92675508,82.80022216,9.9360266592,6074.810846,1093.46595228,1.250579343,0.08754055401,6.317256008,3.41131824432,67.58862806,9.4624079284,145.146567,13.06319103,20.81297886,3.3300766176,121.0153008,2.420306016,58.14267286,2.907133643,16.33050513,1512.473246,74.4489504,20.0568356,1.100044802,90.83067827,0.003346293,0.021906999,0.371106986,1.516565475,0.274237825,1.039947828,6.463462839,1.633050513
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,1.340909091,22.36363636,2.236363636,298.7272727,29.87272727,77,7.7,45.72727273,4.572727273,5640.909091,564.0909091,97.45454545,9.745454545,219.6363636,21.96363636,153.9090909,15.39090909,107.3636364,10.73636364,18.36363636,1.836363636,341.1818182,34.11818182,842,84.2,39460.90909,6059.454545,0.153574041,1155.963361,195.2973956,0.003237462,2804.420041,504.79560738,5642.915643,733.57903359,253.7523195,35.52532473,42.83579617,5.1402955404,49049.46764,8828.9041752,16.76515491,1.1735608437,16.20702482,8.7517934028,58.21751812,8.1504525368,148.0981288,13.328831592,4.260143181,0.68162290896,85.39705279,1.7079410558,5.057282645,0.25286413225,15.40632226,585.0799774,47.45052762,4.53576382,0.699855742,602.4649613,0.107585917,0.031666011,0.419583377,0.616201008,0.051289903,1.57965392,0.115798204,1.540632226
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,1.348823529,14.70588235,1.470588235,221.5294118,22.15294118,53.11764706,5.311764706,52.58823529,5.258823529,5513.470588,551.3470588,93.94117647,9.394117647,223.5882353,22.35882353,128.1176471,12.81176471,68.88235294,6.888235294,47.94117647,4.794117647,306.8235294,30.68235294,807.4705882,80.74705882,41957.52941,6396.058824,0.152447822,646.1320606,215.9295228,0.004793828,21023.43508,3784.2183144,6500.001765,845.00022945,1574.554031,220.43756434,219.4284939,26.331419268,51904.82693,9342.8688474,14.16367715,0.9914574005,12.29132094,6.6373133076,34.00992075,4.761388905,148.2023206,13.338208854,43.16608535,6.906573656,121.2110164,2.424220328,16.90685979,0.8453429895,18.59519446,4080.69295,157.0216455,8.965107785,1.571294805,633.5042142,0.137185591,0.371333453,0.690963856,1.199008089,0.550658986,1.417347214,0.392208159,1.859519446
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,23704.54545,59517.81818,1.359090909,25.63636364,2.563636364,234.4545455,23.44545455,59.27272727,5.927272727,34.18181818,3.418181818,6844.727273,684.4727273,139.0909091,13.90909091,239.5454545,23.95454545,158.7272727,15.87272727,107.4545455,10.74545455,30.63636364,3.063636364,331.3636364,33.13636364,889,88.9,41661.81818,6516.909091,0.156416456,698.4810403,165.7784392,0.00248921,1243.638909,223.85500362,6176.904031,802.99752403,227.5458294,31.856416116,41.17278862,4.9407346344,34127.39087,6142.9303566,6.771422937,0.47399960559,8.534630865,4.6087006671,31.39605337,4.3954474718,72.11422012,6.4902798108,2.564526013,0.41032416208,95.32051892,1.9064103784,5.156965844,0.2578482922,14.38022471,437.7130837,61.73924486,2.628673775,0.168930879,180.3909133,0.061270999,0.135962996,0.356175262,0.027502016,0.044583218,1.284724348,0.162421667,1.438022471
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.454545,21510,58730.81818,1.32,8,0.8,223.3636364,22.33636364,42.27272727,4.227272727,35.81818182,3.581818182,11848.63636,1184.863636,215.5454545,21.55454545,186.6363636,18.66363636,161.3636364,16.13636364,20.18181818,2.018181818,17.36363636,1.736363636,409.8181818,40.98181818,739,73.9,36929.18182,5825.272727,0.157757844,652.108552,199.2370904,0.005194461,11337.75217,2040.7953906,6093.055388,792.09720044,915.5577505,128.17808507,122.3868181,14.686418172,29114.97389,5240.6953002,5.562421054,0.38936947378,5.623618255,3.0367538577,28.97367916,4.0563150824,93.7163573,8.434472157,24.03856275,3.84617004,119.1548845,2.38309769,15.8979202,0.79489601,20.19056256,2616.583382,99.46457719,17.12303214,1.392426748,241.7735926,0.040340228,0.058556283,0.196486418,0.254401542,0.33159449,2.957478603,0.224859279,2.019056256
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.109091,21500.09091,61427.81818,1.414545455,5.090909091,0.5090909091,184,18.4,32.72727273,3.272727273,27.63636364,2.763636364,16426.63636,1642.663636,237.9090909,23.79090909,179.2727273,17.92727273,142.3636364,14.23636364,7.727272727,0.7727272727,12.81818182,1.281818182,203.9090909,20.39090909,700.2727273,70.02727273,35551.54545,5773.636364,0.162441652,762.2013335,147.2387671,0.004380893,21256.47654,3826.1657772,9697.311696,1260.65052048,2196.956371,307.57389194,243.6402038,29.236824456,24845.10488,4472.1188784,3.933228837,0.27532601859,4.972003175,2.6848817145,26.9304948,3.770269272,75.23867924,6.7714811316,58.90663431,9.4250614896,121.5336821,2.430673642,34.80855314,1.740427657,35.50400774,4637.824269,71.12002695,20.5861252,1.438405031,215.0112593,0.026102701,0.041494084,0.044764677,0.271229161,0.829134942,2.37450858,1.065068086,3.550400774
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.418182,21368,63253.63636,1.329090909,6.181818182,0.6181818182,212.7272727,21.27272727,37.18181818,3.718181818,26.45454545,2.645454545,18888.27273,1888.827273,197.8181818,19.78181818,195.9090909,19.59090909,143.0909091,14.30909091,35.54545455,3.554545455,37.36363636,3.736363636,252.1818182,25.21818182,641.3636364,64.13636364,34873.36364,5607.636364,0.160814896,692.400646,152.3169542,0.003733565,4642.258304,835.60649472,7288.66125,947.5259625,660.9863166,92.538084324,67.78989286,8.1347871432,27055.53366,4869.9960588,5.752426608,0.40266986256,6.761396788,3.65115426552,46.72905914,6.5420682796,130.7729603,11.769566427,12.67353344,2.0277653504,118.8967341,2.377934682,12.27077458,0.613538729,15.3832195,1389.963814,112.260405,4.425975943,0.637151851,347.4235335,0.069152067,0.051811841,0.124522427,0.867339372,0.313961187,1.10170535,0.312493156,1.53832195
