"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass_pc","Dry_mass_pc_err","LOI550_pc","LOI550_err","C_org","C_org_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr-1","DMAR_err_pc"
"Isla Hermite","HER42PB","HER42PB1A",1,0,1,0.5,0.5,0.5,-67.1,-60.7,-64.8,-64.6,3.2,0.4097,0.38933,76.56,23.44,1.17,38.28,1.91,22.13,1.11,2.5434,0.117,1.1907,0.2791,0.0161,0.1143,0.0119,10.4
"Isla Hermite","HER42PB","HER42PB1A",2,1.2,2.3,1.8,1.8,0.55,-65.7,-52.5,-62.3,-61.5,6.6,0.4077,0.08375,77.6805,22.3195,1.12,35.3,1.77,20.48,1.02,4.7687,0.2766,1.1623,0.2594,0.0179,0.1058,0.0134,12.7
"Isla Hermite","HER42PB","HER42PB1A",3,2.5,3.7,3.1,3.1,0.6,-65.1,-41.7,-59.9,-58.2,11.7,0.4116,-0.00356,79.478,20.522,1.03,41.92,2.1,24.32,1.22,5.0921,0.2979,1.1948,0.2452,0.0169,0.1009,0.0128,12.7
"Isla Hermite","HER42PB","HER42PB1A",4,3.9,5.1,4.5,4.5,0.6,-64.6,-30.2,-57.3,-54.8,17.2,0.4092,-0.07435,77.2668,22.7332,1.14,37.42,1.87,21.7,1.09,5.8875,0.365,1.1018,0.2505,0.0184,0.1025,0.0139,13.5
"Isla Hermite","HER42PB","HER42PB1A",5,5.3,6.5,5.9,5.9,0.6,-64.3,-19.2,-54.7,-51.3,22.6,0.4081,-0.13814,71.5804,28.4196,1.42,22.91,1.15,13.29,0.66,5.7703,0.3549,1.2695,0.3608,0.0273,0.1472,0.0202,13.7
"Isla Hermite","HER42PB","HER42PB1A",6,6.7,7.9,7.3,7.3,0.6,-64.1,-8,-52.1,-47.9,28,0.4103,-0.20676,69.693,30.307,1.52,28.64,1.43,16.61,0.83,5.4259,0.3256,1.2579,0.3812,0.0287,0.1564,0.0211,13.5
"Isla Hermite","HER42PB","HER42PB1A",7,8.1,9.3,8.7,8.7,0.58,-63.8,3.2,-49.5,-44.5,33.5,0.3223,-0.22125,29.61,70.39,3.52,23.05,1.15,13.37,0.67,5.1998,0.3094,1.4381,1.0123,0.0959,0.3263,0.0503,15.4
"Isla Hermite","HER42PB","HER42PB1A",8,9.5,10.7,10.1,10.1,0.6,-62.5,15.1,-46,-40.2,38.8,0.0853,-0.07717,68.6116,31.3884,1.57,31.04,1.55,18,0.9,5.6544,0.3449,1.1692,0.367,0.0281,0.0313,0.0043,13.8
"Isla Hermite","HER42PB","HER42PB1A",9,10.9,12.1,11.5,11.5,0.6,-56.4,33.5,-29.1,-23.7,44.9,0.0853,-0.15728,75.7473,24.2527,1.21,32.46,1.62,18.83,0.94,5.7703,0.3549,1.2046,0.2921,0.0215,0.0249,0.0034,13.5
"Isla Hermite","HER42PB","HER42PB1A",10,12.3,13.4,12.9,12.9,0.55,-53,66.3,-14.5,-7.8,59.6,0.0853,-0.65082,72.3285,27.6715,1.38,38.04,1.9,22.07,1.1,5.3969,0.3292,1.3076,0.3618,0.0271,0.0309,0.0042,13.6
"Isla Hermite","HER42PB","HER42PB1A",11,13.6,14.7,14.2,14.2,0.55,-50.2,106.8,-0.4,7.6,78.5,0.0853,0.88892,68.5768,31.4232,1.57,23.17,1.16,13.44,0.67,5.1832,0.311,1.2688,0.3987,0.0302,0.034,0.0046,13.6
"Isla Hermite","HER42PB","HER42PB1A",12,14.9,16.1,15.5,15.5,0.6,-48,149.4,13.9,23.5,98.7,0.0859,0.36442,71.1746,28.8254,1.44,28.92,1.45,16.77,0.84,4.9832,0.289,1.3973,0.4028,0.0292,0.0346,0.0045,13
"Isla Hermite","HER42PB","HER42PB1A",13,16.3,17.5,16.9,16.9,0.6,-45.9,192.4,27.1,39.9,119.1,0.0853,0.25791,71.9105,28.0895,1.4,29.64,1.48,17.19,0.86,5.2022,0.3069,1.2287,0.3451,0.0252,0.0294,0.0039,13.2
"Isla Hermite","HER42PB","HER42PB1A",14,17.8,19,18.4,18.4,0.6,-43.5,240.1,41,56.4,141.8,0.0856,0.21806,74.6873,25.3127,1.27,31.88,1.59,18.49,0.92,5.3135,0.3162,1.2882,0.3261,0.0235,0.0279,0.0037,13.2
"Isla Hermite","HER42PB","HER42PB1A",15,19.2,20.3,19.7,19.7,0.58,-41.7,286.4,54.6,72.5,164,0.0869,0.19907,70.7474,29.2526,1.46,26.38,1.32,15.3,0.77,4.6723,0.2663,1.3989,0.4092,0.0293,0.0356,0.0046,12.9
"Isla Hermite","HER42PB","HER42PB1A",16,20.5,21.6,21.1,21.1,0.56,-28.7,300.2,70.2,88,164.5,0.0885,0.1678,67.1354,32.8646,1.64,24.87,1.24,14.42,0.72,3.9701,0.2132,1.835,0.6031,0.0423,0.0534,0.0066,12.4
"Isla Hermite","HER42PB","HER42PB1A",17,21.8,23,22.4,22.4,0.6,-18.4,310.7,86.5,103.4,164.5,0.0878,0.14198,67.4074,32.5926,1.63,28.5,1.43,16.53,0.83,4.9832,0.289,1.4653,0.4776,0.0355,0.0419,0.0055,13.2
"Isla Hermite","HER42PB","HER42PB1A",18,23.3,24.5,23.9,23.9,0.6,-10.1,323.4,105.3,119.5,166.8,0.0878,0.12475,67.0104,32.9896,1.65,27.69,1.38,16.06,0.8,4.8754,0.2803,1.4751,0.4866,0.036,0.0427,0.0056,13.1
"Isla Hermite","HER42PB","HER42PB1A",19,24.7,25.9,25.3,25.3,0.6,-2.8,338.5,125.2,135.5,170.6,0.0881,0.11302,69.7737,30.2263,1.51,27.72,1.39,16.08,0.8,4.7689,0.2718,1.453,0.4392,0.0317,0.0387,0.005,12.9
"Isla Hermite","HER42PB","HER42PB1A",20,26.1,27.3,26.7,26.7,0.63,2.2,355.5,143.8,151.8,176.6,0.0875,0.10387,68.5204,31.4796,1.57,27.72,1.39,16.08,0.8,4.7493,0.2683,1.3799,0.4344,0.0314,0.038,0.0049,12.9
"Isla Hermite","HER42PB","HER42PB1A",21,27.5,28.7,28.1,28.1,0.6,7.3,371.8,160.6,168.2,182.3,0.0884,0.0977,67.4122,32.5878,1.63,26.06,1.3,15.12,0.76,4.4562,0.2473,1.4402,0.4693,0.0337,0.0415,0.0053,12.7
"Isla Hermite","HER42PB","HER42PB1A",22,28.9,30,29.5,29.5,0.55,12.8,394.9,176.8,183.5,191,0.0865,0.09166,63.7396,36.2604,1.81,22.44,1.12,13.02,0.65,4.2749,0.2373,1.5551,0.5639,0.0415,0.0488,0.0063,12.9
"Isla Hermite","HER42PB","HER42PB1A",23,30.2,31.4,30.8,30.8,0.6,26.1,409,192.7,199.2,191.4,0.0856,0.08392,62.7502,37.2498,1.86,22.29,1.11,12.93,0.65,4.6635,0.2635,1.5087,0.562,0.0422,0.0481,0.0063,13.2
"Isla Hermite","HER42PB","HER42PB1A",24,31.6,32.8,32.2,32.3,0.6,44.6,413.9,210,215.7,184.7,0.086,0.07524,60.0087,39.9913,2,19.62,0.98,11.38,0.57,4.7689,0.2718,1.4856,0.5941,0.0457,0.0511,0.0068,13.4
"Isla Hermite","HER42PB","HER42PB1A",25,33.1,34.1,33.6,33.6,0.53,56.1,419.3,226.3,231.2,181.6,0.0859,0.06882,59.5263,40.4737,2.02,19.47,0.97,11.29,0.56,3.9894,0.2174,1.9064,0.7716,0.0577,0.0663,0.0086,12.9
"Isla Hermite","HER42PB","HER42PB1A",26,34.3,35.5,34.9,34.9,0.6,67.7,429,243.8,246.7,180.7,0.0857,0.06424,58.9672,41.0328,2.05,48.43,2.42,28.09,1.4,4.5593,0.2553,1.6663,0.6837,0.0523,0.0586,0.0078,13.3
"Isla Hermite","HER42PB","HER42PB1A",27,35.7,36.9,36.3,36.3,0.6,78,436.6,261.8,263.1,179.3,0.0857,0.05983,59.8964,40.1036,2.01,18.91,0.95,10.97,0.55,4.4562,0.2473,1.6087,0.6452,0.0487,0.0553,0.0072,13.1
"Isla Hermite","HER42PB","HER42PB1A",28,37.1,38.2,37.7,37.7,0.55,89.1,447.1,279.6,279,179,0.0859,0.05637,63.181,36.819,1.84,20.1,1.01,11.66,0.58,3.8992,0.2086,1.5965,0.5878,0.0423,0.0505,0.0063,12.5
"Isla Hermite","HER42PB","HER42PB1A",29,38.4,39.6,39,39,0.58,96.6,463.1,295.6,294.5,183.2,0.0834,0.05312,57.2876,42.7124,2.14,13.93,0.7,8.08,0.4,4.2706,0.2349,1.5485,0.6614,0.0505,0.0552,0.0072,13.1
"Isla Hermite","HER42PB","HER42PB1A",30,39.8,40.9,40.4,40.4,0.58,112.6,478.6,313.4,310.8,183,0.078,0.04704,60.7212,39.2788,1.96,15.87,0.79,9.21,0.46,3.8869,0.206,1.5853,0.6227,0.0452,0.0486,0.0061,12.6
"Isla Hermite","HER42PB","HER42PB1A",31,41.2,42.3,41.7,41.7,0.55,154.3,482.2,329.3,327.8,164,0.0777,0.03989,58.6262,41.3738,2.07,18.16,0.91,10.53,0.53,3.6289,0.1887,1.7965,0.7433,0.054,0.0578,0.0072,12.5
"Isla Hermite","HER42PB","HER42PB1A",32,42.5,43.7,43.1,43.1,0.6,190.2,486.3,345.6,345.3,148.1,0.078,0.03453,71.7757,28.2243,1.41,32.95,1.65,19.11,0.96,4.1542,0.2243,1.4913,0.4209,0.0287,0.0328,0.004,12.2
"Isla Hermite","HER42PB","HER42PB1A",33,43.9,45,44.4,44.4,0.58,226.4,491.1,366,363,132.4,0.0777,0.02933,73.3166,26.6834,1.33,37.81,1.89,21.93,1.1,4.173,0.2274,1.4642,0.3907,0.0265,0.0304,0.0037,12.2
"Isla Hermite","HER42PB","HER42PB1A",34,45.2,46.4,45.8,45.8,0.58,253.1,496.1,387.7,380.5,121.5,0.0772,0.02562,75.7484,24.2516,1.21,40.77,2.04,23.65,1.18,3.7018,0.1925,1.495,0.3626,0.0233,0.028,0.0033,11.6
"Isla Hermite","HER42PB","HER42PB1B",42,45.7,46.9,46.3,46.3,0.58,262.3,498.9,396.8,386.9,118.3,0.0779,0.02479,70.3392,29.6608,1.48,30.87,1.54,17.91,0.9,3.7018,0.1925,1.6135,0.4786,0.032,0.0373,0.0044,11.9
"Isla Hermite","HER42PB","HER42PB1B",43,47.1,48.2,47.6,47.6,0.55,284.5,507.7,420.4,404,111.6,0.0782,0.0225,71.8271,28.1729,1.41,34.82,1.74,20.2,1.01,3.9915,0.2155,1.4849,0.4183,0.0285,0.0327,0.004,12.2
"Isla Hermite","HER42PB","HER42PB1B",44,48.4,49.6,49,49,0.6,304.2,519.1,443.4,421.4,107.4,0.0838,0.02239,74.2393,25.7607,1.29,39.42,1.97,22.86,1.14,4.6635,0.2635,1.3976,0.36,0.025,0.0302,0.0038,12.6
"Isla Hermite","HER42PB","HER42PB1B",45,49.8,51,50.4,50.4,0.6,322.4,535.7,461.1,438.1,106.6,0.1066,0.02721,76.5417,23.4583,1.17,38.94,1.95,22.59,1.13,3.9588,0.2098,1.563,0.3666,0.0237,0.0391,0.0046,11.8
"Isla Hermite","HER42PB","HER42PB1B",46,51.2,52.4,51.8,51.8,0.6,333.7,549.7,474.4,451.3,108,0.1055,0.02647,74.05,25.95,1.3,36.63,1.83,21.25,1.06,4.5593,0.2553,1.4483,0.3758,0.0259,0.0397,0.005,12.5
"Isla Hermite","HER42PB","HER42PB1B",47,52.6,53.8,53.2,53.2,0.58,339.6,571.5,483.5,464.4,116,0.1066,0.02777,74.6407,25.3593,1.27,30.82,1.54,17.88,0.89,4.2706,0.2349,1.4944,0.379,0.0256,0.0404,0.005,12.3
"Isla Hermite","HER42PB","HER42PB1B",48,54,55.1,54.5,54.5,0.58,345.3,599.3,493.6,477.1,127,0.1058,0.02928,75.7026,24.2974,1.21,40.85,2.04,23.69,1.18,3.9811,0.213,1.5272,0.3711,0.0244,0.0393,0.0047,11.9
"Isla Hermite","HER42PB","HER42PB1B",49,55.3,56.5,55.9,55.9,0.58,349,627.8,502.3,490,139.4,0.1066,0.03143,73.1292,26.8708,1.34,46.66,2.33,27.07,1.35,4.0765,0.2201,1.6484,0.4429,0.0299,0.0472,0.0057,12.1
"Isla Hermite","HER42PB","HER42PB1B",50,56.7,57.8,57.2,57.2,0.58,352.9,657.9,510.6,502.7,152.5,0.1062,0.03329,68.9888,31.0112,1.55,28.45,1.42,16.5,0.83,3.9811,0.213,1.7111,0.5306,0.0366,0.0564,0.0069,12.3
