"Location","Site","label","ID","section_depth","field_depth","depth","SH20_mean_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,-0.502441681907499,-0.918003911259959,-0.425805910854248,-0.506858586576872,-0.454061199883396,-0.479584500272953,-0.778636839399796,-1.09959238566453,0.022278148528667,-0.565663059714762,41757,6.770189803,0.147706346
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,-0.502441681907499,-0.784134747317152,-0.415617485240871,-0.416992370319059,-0.396025233118334,-0.479584500272953,-0.560975070191614,-1.09959238566453,-1.00020141351562,-0.701113964345898,41474,6.853436849,0.145912193
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,-0.502441681907499,-0.90525446707493,-0.425805910854248,-0.596724802834684,-0.434397436109774,-0.124887468716258,-0.778636839399796,-1.09959238566453,0.0370966929061204,-0.441863845804584,41764,6.650485437,0.150364964
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,-0.294810012048239,-0.806446274640953,-0.355942420933948,-0.623684667712028,-0.355503549876335,-0.479584500272953,-0.778636839399796,-0.864177819913854,-1.09405219457282,-0.0879437401554858,43019,6.544545773,0.152798992
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,-0.440921187134385,-0.828757801964754,-0.374863782787363,-0.524831829828434,-0.489010156549874,-0.479584500272953,-0.778636839399796,-1.030089037681,-1.27681424189475,-0.374866624159075,42788,6.772570391,0.147654427
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,-0.325570259434796,-0.85744405138107,-0.425805910854248,-0.479898721699528,-0.552618849890457,-0.479584500272953,-0.73510448555816,-1.09959238566453,0.219858740228046,-0.306412941173447,44017,6.928134006,0.144339009
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,-0.502441681907499,-0.924378633352474,-0.425805910854248,-0.551791694705778,-0.570212743793171,0.0327556564200502,-0.778636839399796,-1.09959238566453,-0.175302443170712,0.182958069106786,45887,6.793308424,0.14720368
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,-0.402470877901189,-0.851069329288556,-0.406884549000834,-0.399019127067496,-0.434954708767326,-0.479584500272953,-0.0124674117869933,-1.09959238566453,0.0568547520760583,-0.23213341282734,45491,7.11904337,0.140468311
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,-0.394780816054549,-0.800071552548438,-0.396696123387457,-0.70456426234406,-0.489408208448126,-0.479584500272953,-0.778636839399796,-0.80588468934702,0.427318361512394,0.0198343990133752,44406,6.688019391,0.149521098
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,-0.502441681907499,-0.892505022889901,-0.367586335920665,-0.70456426234406,-0.532477423838933,-0.479584500272953,0.0745972958962797,-1.09959238566453,0.506350598192146,-0.353019704057279,44754,7.107608696,0.140694296
